Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,988.384,371.224,-1571.073,0,1285.079,-1554.027,0,914.014,944.935,255,255
1,962.483,519.903,-1077.686,0,1285.079,-1554.027,0,901.33,910.032,255,255
1,697.303,1676.19,-580.511,0,1059.693,-603.239,0,616.916,655.898,255,255
1,683.093,3.788,-571.041,0,534.108,-876.922,0,612.211,636.058,255,255
1,665.801,1066.322,-774.646,0,1368.415,-1312.542,0,616.922,623.937,255,255
1,561.657,534.108,-876.922,0,1033.177,-744.342,0,516.379,536.981,255,255
1,559.616,970.675,-80.495,0,1059.693,-603.239,0,530.269,532.585,255,255
1,401.939,1.894,-1164.81,0,336.185,-1304.019,0,362.118,376.929,255,255
1,339.56,1701.759,-1608.006,0,1597.589,-1311.595,0,314.183,316.652,255,255
1,309.643,336.185,-1304.019,0,519.903,-1077.686,0,291.511,295.832,255,255
1,281.568,336.185,-1304.019,0,371.224,-1571.073,0,269.343,270.842,255,255
1,269.918,1313.489,-1559.709,0,1368.415,-1312.542,0,253.196,259.35,255,255
1,264.556,1505.73,-1700.812,0,1313.489,-1559.709,0,238.467,247.356,255,255
1,254.671,1368.415,-1312.542,0,1597.589,-1311.595,0,229.176,246.072,255,255
1,206.648,519.903,-1077.686,0,534.108,-876.922,0,201.266,200.174,255,255
1,205.819,221.598,-1663.879,0,371.224,-1571.073,0,176.071,191.759,255,255
1,175.258,824.837,-9.47,0,970.675,-80.495,0,162.214,163.664,255,255
1,166.236,2.841,-1590.96,0,140.156,-1646.833,0,148.247,155.683,255,255
1,152.086,1033.177,-744.342,0,1059.693,-603.239,0,143.573,141.941,255,255
1,140.219,1698.918,-1231.1,0,1597.589,-1311.595,0,129.41,134.351,255,255
1,140.017,1182.803,-721.614,0,1066.322,-774.646,0,127.985,135.658,255,255
1,88.503,140.156,-1646.833,0,221.598,-1663.879,0,83.207,80.459,255,255
1,63.662,1012.343,-34.092,0,970.675,-80.495,0,62.366,62.505,255,255
1,47.916,1033.177,-744.342,0,1066.322,-774.646,0,44.91,43.677,255,255
1,30.764,1285.079,-1554.027,0,1313.489,-1559.709,0,28.973,28.141,255,255
1,8.59,135.421,-1653.462,0,140.156,-1646.833,0,8.146,7.877,255,255
1,7.643,216.863,-1669.561,0,221.598,-1663.879,0,7.396,7.145,255,255
2,614.6,2.841,-456.454,0,296.411,-2.841,0,540.322,587.323,255,255
