Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,451.649,159.043,1273.856,0,542.260,1140.563,0,405.737,424.797,255,255
1,432.092,843.684,728.567,0,1237.504,639.200,0,403.832,403.426,255,255
1,394.288,1011.815,1407.149,0,1357.164,1289.003,0,365.000,367.827,255,255
1,381.606,605.877,1196.607,0,926.992,1061.799,0,348.264,359.387,255,255
1,379.445,1010.300,99.970,0,1349.591,3.029,0,352.868,353.195,255,255
1,363.088,1632.839,998.182,0,1964.556,976.977,0,332.395,341.089,255,255
1,361.573,1495.002,651.318,0,1825.204,611.936,0,332.543,340.659,255,255
1,360.812,230.233,266.586,0,431.687,98.455,0,262.396,342.665,255,255
1,354.824,1537.413,249.924,0,1872.160,271.130,0,335.418,345.374,255,255
1,350.640,843.684,728.567,0,1036.050,904.271,0,260.532,328.946,255,255
1,345.736,1625.265,1092.093,0,1950.924,1070.888,0,326.349,328.348,255,255
1,328.941,34.838,469.555,0,321.115,366.556,0,304.242,309.423,255,255
1,319.986,321.115,863.375,0,586.186,901.242,0,267.762,305.930,255,255
1,319.243,362.012,1414.723,0,621.024,1269.312,0,297.038,295.895,255,255
1,317.324,240.836,1092.093,0,536.201,1048.167,0,298.613,301.434,255,255
1,312.520,1287.489,866.404,0,1576.795,873.978,0,289.405,297.312,255,255
1,311.265,549.833,658.891,0,839.140,636.171,0,290.197,295.767,255,255
1,310.593,2167.525,160.557,0,1885.792,212.057,0,286.401,299.128,255,255
1,307.716,431.687,98.455,0,701.303,25.750,0,279.246,293.648,255,255
1,304.096,1276.886,307.483,0,1502.575,143.896,0,278.740,288.788,255,255
1,298.691,1900.939,742.199,0,2126.628,825.507,0,240.574,282.236,255,255
1,296.638,1039.079,1216.298,0,1316.268,1190.548,0,278.382,282.466,255,255
1,296.182,864.889,428.658,0,1128.446,349.894,0,275.074,278.957,255,255
1,291.422,1226.901,546.804,0,1491.972,528.628,0,265.694,275.536,255,255
1,291.315,1584.368,880.036,0,1852.469,823.993,0,273.896,273.724,255,255
1,288.133,449.864,828.537,0,586.186,901.242,0,154.499,268.472,255,255
1,288.034,1644.956,1264.768,0,1890.336,1163.284,0,265.538,270.720,255,255
1,282.746,631.627,957.286,0,893.669,961.830,0,262.081,267.613,255,255
1,274.824,1849.440,143.896,0,2041.806,48.470,0,214.734,254.275,255,255
1,274.627,1495.002,651.318,0,1576.795,873.978,0,237.208,260.066,255,255
1,273.766,0.000,725.538,0,249.924,671.009,0,255.804,260.175,255,255
1,270.387,930.021,233.263,0,1152.681,331.718,0,243.456,257.324,255,255
1,268.201,1702.514,458.952,0,1887.307,312.027,0,236.083,251.817,255,255
1,264.310,1036.050,904.271,0,1278.400,872.463,0,244.429,245.763,255,255
1,263.575,1744.926,474.099,0,1990.306,430.173,0,249.281,249.880,255,255
1,263.055,1349.591,1146.622,0,1591.942,1129.961,0,242.923,246.057,255,255
1,260.932,1011.815,1407.149,0,1039.079,1216.298,0,192.789,246.299,255,255
1,252.928,1051.197,1076.946,0,1278.400,1020.903,0,234.014,234.732,255,255
1,251.324,449.864,828.537,0,549.833,658.891,0,196.910,236.646,255,255
1,247.344,1281.430,663.435,0,1287.489,866.404,0,203.059,233.999,255,255
1,241.285,19.691,340.806,0,230.233,266.586,0,223.241,222.175,255,255
1,239.080,2167.525,1364.738,0,1947.895,1390.488,0,221.135,226.446,255,255
1,238.560,1632.839,115.117,0,1849.440,143.896,0,218.505,224.813,255,255
1,228.128,455.922,277.189,0,642.230,209.028,0,198.384,214.308,255,255
1,225.511,1870.645,616.480,0,2066.041,543.775,0,208.484,206.281,255,255
1,225.232,66.646,551.348,0,278.703,525.598,0,213.615,215.006,255,255
1,221.791,1676.765,1329.900,0,1879.733,1287.489,0,207.352,205.978,255,255
1,221.550,642.230,209.028,0,701.303,25.750,0,192.563,212.735,255,255
1,221.531,1276.886,307.483,0,1478.340,304.453,0,201.477,204.714,255,255
1,211.771,0.000,963.344,0,184.792,946.683,0,185.542,201.528,255,255
1,210.301,316.571,624.053,0,507.422,580.127,0,195.841,198.830,255,255
1,209.889,937.595,566.495,0,1119.358,502.878,0,192.575,195.803,255,255
1,208.849,431.687,98.455,0,455.922,277.189,0,180.369,196.264,255,255
1,208.482,249.924,671.009,0,290.821,851.257,0,184.830,194.400,255,255
1,203.310,146.925,1470.766,0,83.308,1298.091,0,184.021,190.288,255,255
1,198.094,463.496,1461.678,0,625.568,1376.855,0,182.927,183.150,255,255
1,198.094,1478.340,304.453,0,1523.781,466.525,0,168.322,189.508,255,255
1,196.072,2167.525,461.981,0,1990.306,430.173,0,180.051,190.262,255,255
1,195.934,749.773,271.130,0,930.021,233.263,0,184.183,184.183,255,255
1,194.222,2167.525,92.396,0,2041.806,48.470,0,133.172,183.275,255,255
1,193.899,1281.430,663.435,0,1457.134,619.509,0,181.112,182.703,255,255
1,192.752,507.422,580.127,0,516.510,407.452,0,172.914,180.439,255,255
1,191.649,1467.737,1278.400,0,1644.956,1264.768,0,177.743,179.850,255,255
1,190.654,1523.781,466.525,0,1702.514,458.952,0,178.894,180.951,255,255
1,190.654,521.054,398.364,0,699.788,375.644,0,180.172,180.822,255,255
1,188.791,1852.469,823.993,0,2013.026,892.154,0,174.427,176.957,255,255
1,188.316,699.788,375.644,0,864.889,428.658,0,173.404,182.247,255,255
1,186.801,0.000,1190.548,0,163.587,1140.563,0,171.053,174.777,255,255
1,182.472,1744.926,474.099,0,1825.204,611.936,0,159.511,166.260,255,255
1,182.454,2167.525,352.923,0,1996.365,368.070,0,171.829,173.897,255,255
1,175.248,354.438,436.231,0,516.510,407.452,0,164.607,164.618,255,255
1,171.806,1119.358,502.878,0,1128.446,349.894,0,153.254,160.286,255,255
1,170.184,230.233,266.586,0,369.585,310.512,0,146.111,158.173,255,255
1,169.772,1278.400,872.463,0,1278.400,1020.903,0,148.440,153.200,255,255
1,168.714,1926.689,1252.651,0,2087.246,1235.989,0,161.420,161.183,255,255
1,167.953,864.889,428.658,0,937.595,566.495,0,155.837,154.605,255,255
1,166.545,930.021,233.263,0,1010.300,99.970,0,155.601,154.553,255,255
1,165.443,184.792,946.683,0,290.821,851.257,0,142.647,156.251,255,255
1,162.556,1591.942,1129.961,0,1644.956,1264.768,0,144.857,154.389,255,255
1,162.521,1349.591,3.029,0,1481.369,77.249,0,151.242,154.086,255,255
1,160.684,1039.079,1216.298,0,1051.197,1076.946,0,139.878,151.216,255,255
1,159.429,1970.615,1061.799,0,2109.967,1019.388,0,145.663,146.376,255,255
1,156.811,1511.663,1396.547,0,1654.044,1361.709,0,146.581,146.684,255,255
1,156.570,2032.717,887.610,0,2114.511,1010.300,0,147.455,147.685,255,255
1,156.418,742.199,1470.766,0,625.568,1376.855,0,149.740,151.998,255,255
1,155.208,1278.400,1020.903,0,1349.591,1146.622,0,144.477,147.756,255,255
1,149.606,937.595,0.000,0,1010.300,99.970,0,123.612,141.892,255,255
1,149.453,321.115,863.375,0,449.864,828.537,0,133.379,138.112,255,255
1,148.826,19.691,340.806,0,34.838,469.555,0,129.637,139.097,255,255
1,148.306,1870.645,616.480,0,1900.939,742.199,0,129.318,135.212,255,255
1,147.634,1990.306,430.173,0,2066.041,543.775,0,136.533,136.892,255,255
1,145.384,1584.368,880.036,0,1632.839,998.182,0,127.702,134.457,255,255
1,145.232,1273.856,1470.766,0,1388.973,1398.061,0,136.154,137.559,255,255
1,144.066,1481.369,77.249,0,1611.633,43.926,0,134.458,132.917,255,255
1,142.830,536.201,1048.167,0,631.627,957.286,0,131.778,135.734,255,255
1,139.370,252.954,1470.766,0,362.012,1414.723,0,122.615,130.023,255,255
1,136.341,1467.737,1278.400,0,1511.663,1396.547,0,126.048,123.133,255,255
1,135.866,1388.973,1398.061,0,1511.663,1396.547,0,122.699,127.598,255,255
1,135.776,159.043,1273.856,0,202.969,1166.313,0,116.168,129.071,255,255
1,135.131,1152.681,331.718,0,1276.886,307.483,0,126.547,126.573,255,255
1,133.527,1887.307,312.027,0,1996.365,368.070,0,122.615,122.188,255,255
1,133.267,642.230,209.028,0,749.773,271.130,0,124.186,127.372,255,255
1,132.101,893.669,961.830,0,1016.359,948.198,0,123.445,125.109,255,255
1,131.232,1879.733,1287.489,0,1947.895,1390.488,0,123.510,123.507,255,255
1,130.650,1670.706,1470.766,0,1654.044,1361.709,0,110.323,124.489,255,255
1,127.316,839.140,636.171,0,937.595,566.495,0,120.616,119.441,255,255
1,126.321,163.587,1140.563,0,209.028,1052.711,0,98.908,117.991,255,255
1,125.738,1119.358,502.878,0,1226.901,546.804,0,116.168,114.331,255,255
1,125.218,699.788,375.644,0,749.773,271.130,0,115.852,117.368,255,255
1,123.399,278.703,525.598,0,354.438,436.231,0,117.142,116.998,255,255
1,122.341,184.792,946.683,0,209.028,1052.711,0,108.763,111.951,255,255
