Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,511.116,4347.923,454.394,0,4521.662,357.501,0,198.931,484.219,255,255
1,477.631,335.227,231.652,0,417.641,575.788,0,353.867,454.329,255,255
1,464.228,4273.304,1516.873,0,4465.976,1303.040,0,287.831,440.798,255,255
1,453.604,603.631,1546.943,0,819.690,1280.766,0,342.829,430.470,255,255
1,444.760,1300.813,1432.231,0,1374.318,1803.096,0,378.079,423.255,255,255
1,434.131,114.712,1516.873,0,242.789,1152.690,0,386.048,410.548,255,255
1,432.635,1184.987,1450.050,0,1246.241,1810.892,0,366.004,410.656,255,255
1,415.613,524.557,2005.791,0,620.336,2368.861,0,375.490,393.436,255,255
1,412.457,1520.214,1427.776,0,1526.896,1754.093,0,326.385,392.377,255,255
1,389.331,605.858,1549.170,0,667.112,1902.216,0,358.320,371.229,255,255
1,387.052,3105.023,652.634,0,3338.902,544.604,0,257.623,365.302,255,255
1,380.086,907.673,1712.886,0,1246.241,1810.892,0,352.468,357.142,255,255
1,371.941,2255.262,1140.439,0,2578.238,1191.669,0,327.014,350.686,255,255
1,364.139,2131.640,1141.553,0,2303.152,1431.117,0,336.547,343.432,255,255
1,352.765,3468.092,3279.875,0,3541.597,3062.702,0,229.275,333.751,255,255
1,350.220,3483.684,1728.478,0,3529.346,1503.508,0,229.557,330.391,255,255
1,347.835,3293.240,2980.287,0,3541.597,3062.702,0,261.674,325.967,255,255
1,347.532,3245.350,1154.917,0,3392.360,1101.459,0,156.428,330.535,255,255
1,345.607,213.832,3071.612,0,309.611,3210.825,0,168.980,322.849,255,255
1,344.368,2822.141,856.443,0,2983.628,1070.275,0,267.960,326.878,255,255
1,338.879,280.655,2082.637,0,394.253,2362.178,0,301.741,317.064,255,255
1,337.746,4333.445,2824.368,0,4382.448,3056.020,0,236.778,321.132,255,255
1,335.682,1286.335,1834.280,0,1316.405,2137.209,0,304.418,317.810,255,255
1,334.047,132.531,1863.236,0,134.759,1540.261,0,322.984,324.845,255,255
1,333.752,2774.251,2993.652,0,2963.582,3199.688,0,279.816,319.656,255,255
1,332.183,3652.968,988.974,0,3957.011,961.132,0,305.315,316.612,255,255
1,331.544,3302.149,2246.353,0,3499.276,2224.078,0,198.381,309.568,255,255
1,331.274,3069.384,2806.549,0,3109.478,3094.999,0,291.224,311.882,255,255
1,326.371,1514.645,3179.641,0,1778.594,3041.541,0,297.894,304.703,255,255
1,326.134,809.667,629.246,0,866.466,906.560,0,283.071,310.446,255,255
1,322.997,2655.084,2121.617,0,2705.201,2362.178,0,245.726,304.727,255,255
1,320.565,4061.700,2445.707,0,4096.225,2240.784,0,207.811,299.641,255,255
1,315.728,2755.318,2044.771,0,2931.284,2232.988,0,257.662,296.962,255,255
1,314.028,3747.633,1595.946,0,4023.833,1607.083,0,276.424,297.761,255,255
1,312.737,1986.858,2823.254,0,2211.828,2909.010,0,240.760,295.191,255,255
1,312.551,1678.361,1366.522,0,1970.153,1381.000,0,292.151,300.354,255,255
1,307.807,269.518,1889.965,0,337.454,1620.448,0,277.948,290.500,255,255
1,306.483,3064.929,1683.929,0,3308.832,1539.147,0,283.638,288.712,255,255
1,306.245,3126.183,2439.024,0,3270.966,2648.402,0,254.560,290.950,255,255
1,303.641,2733.044,1981.290,0,3015.926,1975.721,0,282.937,287.211,255,255
1,303.497,893.195,2337.677,0,1167.168,2273.082,0,281.484,285.361,255,255
1,301.447,2686.268,1125.961,0,2972.491,1129.302,0,286.243,292.383,255,255
1,300.985,1656.086,2640.606,0,1942.310,2607.195,0,288.167,291.276,255,255
1,300.578,2759.773,916.583,0,2978.060,1079.185,0,272.192,286.327,255,255
1,297.006,2707.428,1350.930,0,2975.832,1284.107,0,276.597,280.348,255,255
1,294.270,1970.153,2210.714,0,2244.125,2170.620,0,276.891,280.215,255,255
1,292.406,3425.771,0.000,0,3194.120,113.598,0,258.006,273.416,255,255
1,291.437,1316.405,2137.209,0,1579.240,2128.299,0,262.986,277.675,255,255
1,287.001,1597.060,1124.847,0,1874.374,1105.914,0,277.959,279.835,255,255
1,286.311,1383.228,2956.899,0,1514.645,3179.641,0,258.621,267.322,255,255
1,285.896,3194.120,2696.291,0,3293.240,2919.033,0,243.801,268.176,255,255
1,285.704,3573.895,2365.520,0,3715.336,2553.736,0,235.438,274.652,255,255
1,282.317,2768.682,2707.428,0,2998.107,2588.261,0,258.527,265.525,255,255
1,281.968,2244.125,2170.620,0,2271.968,2407.841,0,238.849,267.853,255,255
1,281.618,1803.096,834.169,0,1895.534,1074.730,0,257.710,263.944,255,255
1,277.677,2036.975,1407.729,0,2297.583,1435.572,0,262.091,264.120,255,255
1,275.476,1633.812,1435.572,0,1735.160,1660.541,0,246.744,264.016,255,255
1,275.029,4569.551,3252.033,0,4412.518,3053.792,0,252.900,261.687,255,255
1,274.843,0.000,1375.432,0,25.615,1137.098,0,239.706,259.375,255,255
1,274.270,864.239,2083.751,0,1110.369,2142.778,0,253.109,256.812,255,255
1,274.251,825.259,344.136,0,1052.456,448.825,0,250.156,254.614,255,255
1,273.361,4392.471,2681.813,0,4455.953,2880.053,0,208.156,260.471,255,255
1,270.956,3286.558,2646.174,0,3448.045,2813.231,0,232.349,257.359,255,255
1,270.784,3147.344,2426.774,0,3380.109,2510.302,0,247.299,258.162,255,255
1,269.987,3687.493,1140.439,0,3908.008,1128.188,0,220.855,255.707,255,255
1,269.591,2305.379,2728.589,0,2375.543,2963.582,0,245.244,254.565,255,255
1,269.479,4175.298,1915.581,0,4406.950,1877.715,0,234.726,251.766,255,255
1,268.557,4247.689,699.410,0,4479.341,750.640,0,237.249,255.636,255,255
1,267.732,2990.311,1190.556,0,3238.668,1148.235,0,251.937,258.152,255,255
1,266.185,3835.616,1401.047,0,4056.131,1511.304,0,246.543,249.744,255,255
1,263.155,3581.691,694.955,0,3821.138,661.544,0,241.767,244.961,255,255
1,262.751,1357.612,3299.922,0,1229.536,3254.260,0,135.973,248.916,255,255
1,262.461,1597.060,2003.564,0,1766.344,2143.891,0,219.884,247.455,255,255
1,262.434,1046.887,1222.853,0,1288.562,1228.422,0,241.739,251.701,255,255
1,262.276,1876.601,1778.594,0,2122.731,1759.661,0,246.857,251.113,255,255
1,261.492,301.815,1976.835,0,524.557,2005.791,0,224.616,243.873,255,255
1,260.537,217.173,1051.342,0,267.290,835.282,0,221.796,245.253,255,255
1,259.964,74.619,2138.323,0,246.130,2196.236,0,181.025,246.966,255,255
1,259.470,4166.388,322.976,0,4374.652,201.581,0,241.061,245.834,255,255
1,259.390,2424.546,44.548,0,2579.352,122.508,0,173.328,245.819,255,255
1,258.678,3613.988,2583.807,0,3646.286,2780.933,0,199.755,243.629,255,255
1,258.645,2598.285,2784.274,0,2804.321,2882.281,0,228.158,241.995,255,255
1,258.520,2834.391,2854.438,0,3069.384,2806.549,0,239.823,245.526,255,255
1,256.483,3530.460,261.722,0,3763.225,206.036,0,239.334,239.826,255,255
1,256.451,2641.720,2940.194,0,2718.566,3117.274,0,193.035,242.006,255,255
1,254.955,3278.762,929.948,0,3370.086,1100.345,0,193.327,241.826,255,255
1,254.810,3573.895,2365.520,0,3766.566,2255.262,0,221.989,236.567,255,255
1,253.860,2642.833,1600.401,0,2885.622,1618.220,0,243.442,244.847,255,255
