Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,494.245,2206.573,1428.139,0,2630.622,1422.081,0,424.093,470.005,255,255
1,402.517,2694.230,404.362,0,2757.837,143.874,0,268.141,382.667,255,255
1,399.748,1007.118,1314.554,0,1296.380,1420.566,0,308.077,382.375,255,255
1,385.141,1300.924,205.967,0,1417.537,492.201,0,309.077,370.451,255,255
1,336.723,127.215,928.366,0,148.417,1220.657,0,293.059,315.688,255,255
1,333.156,2055.126,546.721,0,2089.959,854.157,0,309.403,317.426,255,255
1,326.571,2586.703,1188.854,0,2630.622,1422.081,0,237.327,312.364,255,255
1,322.591,2432.228,954.112,0,2586.703,1188.854,0,281.009,303.423,255,255
1,318.898,1829.471,1149.478,0,1859.761,1443.283,0,295.363,302.516,255,255
1,314.785,2002.120,1388.763,0,2206.573,1428.139,0,208.210,295.197,255,255
1,306.066,723.913,127.215,0,970.771,90.868,0,249.519,290.850,255,255
1,300.743,483.114,775.405,0,555.808,1028.320,0,263.155,282.244,255,255
1,299.273,1715.887,931.395,0,1835.529,1140.391,0,240.819,283.468,255,255
1,296.415,1296.380,1420.566,0,1469.029,1441.769,0,173.946,275.177,255,255
1,283.780,1509.920,1031.349,0,1640.164,1258.519,0,261.858,265.486,255,255
1,268.097,478.570,1402.393,0,628.502,1384.219,0,151.029,251.889,255,255
1,265.265,832.955,1313.040,0,837.498,1075.269,0,237.814,248.745,255,255
1,263.966,1668.938,166.591,0,1814.327,74.209,0,172.256,248.592,255,255
1,262.908,454.339,298.349,0,478.570,543.692,0,246.537,246.297,255,255
1,260.372,1387.248,133.273,0,1594.730,159.019,0,209.073,241.269,255,255
1,260.291,657.277,772.376,0,673.936,1020.748,0,248.930,250.171,255,255
1,260.220,1826.443,811.752,0,1935.484,1026.806,0,241.119,242.375,255,255
1,256.304,2700.288,598.213,0,2779.040,807.209,0,223.341,241.865,255,255
1,256.178,881.418,548.236,0,934.424,340.754,0,214.145,243.695,255,255
1,248.732,1905.195,152.961,0,2012.721,352.870,0,226.993,230.925,255,255
1,247.889,2441.315,937.453,0,2535.211,731.486,0,226.360,231.584,255,255
1,247.110,2103.589,469.484,0,2232.319,648.190,0,220.244,229.052,255,255
1,245.595,1232.773,1014.690,0,1338.785,1214.599,0,226.279,232.867,255,255
1,244.663,2535.211,731.486,0,2719.976,851.128,0,220.119,231.241,255,255
1,244.018,137.816,1432.682,0,148.417,1220.657,0,212.290,228.596,255,255
1,244.018,90.868,449.796,0,160.533,648.190,0,210.271,228.644,255,255
1,236.141,2400.424,236.256,0,2473.118,360.442,0,143.898,227.890,255,255
1,234.886,124.186,122.672,0,207.481,318.037,0,212.382,222.657,255,255
1,234.178,478.570,772.376,0,484.628,548.236,0,224.222,223.521,255,255
1,233.829,1681.054,1258.519,0,1749.205,1455.399,0,208.342,218.561,255,255
1,233.049,284.719,917.765,0,348.327,1120.703,0,212.673,217.341,255,255
1,231.947,1020.748,395.275,0,1076.783,602.756,0,214.915,215.041,255,255
1,231.839,2311.071,1290.323,0,2345.903,1105.558,0,188.019,217.597,255,255
1,231.768,2485.234,104.498,0,2644.253,254.430,0,218.555,219.858,255,255
1,230.191,163.562,1228.230,0,348.327,1120.703,0,213.775,215.174,255,255
1,230.002,819.325,770.862,0,845.070,988.944,0,219.597,220.284,255,255
1,225.280,1344.843,1281.236,0,1469.029,1441.769,0,202.961,209.015,255,255
1,223.702,339.240,181.736,0,531.577,112.070,0,204.565,209.966,255,255
1,223.379,601.242,1284.265,0,617.901,1082.841,0,202.111,207.531,255,255
1,220.154,1800.697,546.721,0,1882.478,733.000,0,203.440,206.099,255,255
1,219.356,1255.490,96.926,0,1387.248,133.273,0,136.680,206.445,255,255
1,218.469,1007.118,1314.554,0,1052.552,1116.159,0,203.531,207.696,255,255
1,217.518,207.481,318.037,0,216.568,110.556,0,207.680,207.059,255,255
1,216.713,2217.174,340.754,0,2312.585,517.946,0,201.247,203.253,255,255
1,214.096,2610.934,392.246,0,2692.715,572.467,0,197.909,198.387,255,255
1,212.043,1338.785,1214.599,0,1375.133,1046.494,0,171.990,198.052,255,255
1,210.135,1140.391,823.868,0,1243.374,987.430,0,193.283,199.681,255,255
1,209.597,778.434,1496.290,0,832.955,1313.040,0,191.189,195.956,255,255
1,209.337,911.707,742.087,0,979.858,922.308,0,192.676,195.015,255,255
1,208.235,1935.484,1026.806,0,1947.600,845.070,0,182.139,197.258,255,255
1,206.138,531.577,112.070,0,723.913,127.215,0,192.932,196.049,255,255
1,205.789,1394.821,902.620,0,1443.283,726.942,0,182.240,190.360,255,255
1,204.686,1665.909,999.546,0,1709.829,1179.767,0,185.495,189.305,255,255
1,204.686,619.415,530.062,0,654.248,710.283,0,183.556,192.411,255,255
1,202.151,1994.548,1078.298,0,2147.509,1173.709,0,180.278,191.780,255,255
1,200.967,336.211,593.670,0,368.015,781.463,0,190.467,189.136,255,255
1,198.153,2267.151,1111.616,0,2311.071,1290.323,0,184.024,185.766,255,255
1,197.607,1873.391,428.593,0,2023.323,543.692,0,189.017,189.261,255,255
1,197.069,1994.548,1078.298,0,2142.965,984.401,0,175.625,185.467,255,255
1,196.182,1590.186,1426.624,0,1749.205,1455.399,0,161.601,185.549,255,255
1,194.865,832.955,1313.040,0,1007.118,1314.554,0,174.170,184.103,255,255
1,193.825,1590.186,1426.624,0,1640.164,1258.519,0,175.377,179.782,255,255
1,193.242,1260.033,742.087,0,1293.352,917.765,0,178.809,177.050,255,255
1,193.027,2713.918,1032.864,0,2719.976,851.128,0,181.837,181.670,255,255
1,191.164,673.936,1020.748,0,837.498,1075.269,0,172.410,176.219,255,255
1,190.796,416.477,1549.296,0,478.570,1402.393,0,159.487,180.871,255,255
1,190.473,483.114,775.405,0,657.277,772.376,0,174.190,181.520,255,255
1,190.169,654.248,710.283,0,819.325,770.862,0,175.841,175.661,255,255
1,190.080,198.395,636.075,0,292.291,786.006,0,176.907,180.751,255,255
1,190.061,2692.715,572.467,0,2694.230,404.362,0,168.112,181.503,255,255
1,190.061,1629.562,807.209,0,1676.511,975.314,0,174.538,177.616,255,255
1,189.542,216.568,110.556,0,339.240,181.736,0,141.827,178.093,255,255
1,187.248,2186.885,1347.872,0,2311.071,1290.323,0,136.873,178.517,255,255
1,186.836,2335.302,835.984,0,2441.315,937.453,0,146.747,176.253,255,255
1,183.395,2418.598,489.172,0,2521.581,622.444,0,168.426,172.508,255,255
1,181.799,1594.730,159.019,0,1611.389,330.153,0,171.943,170.676,255,255
1,181.387,1226.715,577.010,0,1260.033,742.087,0,168.405,172.754,255,255
1,179.308,283.205,1361.502,0,434.651,1302.438,0,162.556,169.033,255,255
1,179.156,1169.166,404.362,0,1290.323,318.037,0,148.765,166.637,255,255
1,177.470,2232.319,648.190,0,2245.949,808.723,0,161.111,163.492,255,255
1,176.387,2314.100,592.155,0,2412.540,711.798,0,154.935,168.147,255,255
1,176.368,2335.302,835.984,0,2350.447,1001.060,0,165.770,167.219,255,255
1,174.226,970.771,90.868,0,1134.333,83.295,0,163.737,165.099,255,255
1,173.814,1690.141,327.124,0,1847.645,360.442,0,160.990,166.523,255,255
1,173.510,2006.664,1247.918,0,2155.081,1214.599,0,152.111,164.567,255,255
1,173.358,2694.230,1176.738,0,2713.918,1032.864,0,145.215,164.219,255,255
1,172.775,1122.217,207.481,0,1272.149,157.504,0,158.042,161.487,255,255
1,172.192,2541.269,611.843,0,2700.288,598.213,0,159.602,161.120,255,255
1,172.014,2141.451,937.453,0,2245.949,808.723,0,165.804,165.188,255,255
1,171.825,121.157,767.833,0,127.215,928.366,0,160.647,163.723,255,255
1,171.260,531.577,112.070,0,580.039,262.002,0,157.570,158.900,255,255
1,169.029,1394.821,902.620,0,1528.093,931.395,0,136.344,158.697,255,255
1,168.447,484.628,1164.622,0,555.808,1028.320,0,153.768,154.064,255,255
1,168.168,127.215,928.366,0,284.719,917.765,0,157.861,161.393,255,255
1,167.864,2351.961,13.630,0,2353.476,162.048,0,148.425,157.626,255,255
1,166.565,2002.120,1388.763,0,2006.664,1247.918,0,140.918,156.219,255,255
1,166.197,1859.761,1443.283,0,2002.120,1388.763,0,152.443,154.804,255,255
1,165.893,90.868,449.796,0,224.141,371.043,0,154.802,157.808,255,255
1,165.418,1544.752,467.969,0,1611.389,330.153,0,153.081,150.676,255,255
1,164.943,1814.327,74.209,0,1956.686,74.209,0,142.360,161.257,255,255
1,164.271,157.504,714.827,0,292.291,786.006,0,152.428,154.507,255,255
1,162.693,163.562,1228.230,0,307.436,1273.663,0,150.877,154.254,255,255
1,161.654,2351.961,13.630,0,2406.482,151.446,0,148.209,150.444,255,255
1,161.179,1296.380,1420.566,0,1344.843,1281.236,0,147.518,153.006,255,255
1,160.874,137.816,1432.682,0,271.089,1466.000,0,137.374,151.056,255,255
1,160.596,1290.323,318.037,0,1310.011,467.969,0,151.219,151.494,255,255
1,159.208,2639.709,1402.393,0,2718.461,1294.866,0,133.281,150.083,255,255
1,158.777,1873.391,396.789,0,2012.721,352.870,0,146.089,152.326,255,255
1,157.675,596.698,280.176,0,630.017,424.050,0,147.682,147.118,255,255
1,156.788,1550.810,472.512,0,1570.498,614.872,0,143.714,148.123,255,255
1,156.483,2189.914,37.862,0,2245.949,171.134,0,144.574,143.893,255,255
1,156.071,843.556,246.857,0,970.771,180.221,0,143.611,144.797,255,255
1,155.704,1715.887,931.395,0,1781.009,802.665,0,144.264,148.595,255,255
