Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,583.383,159.043,152.984,0,624.053,192.366,0,466.675,552.310,255,255
1,547.847,1073.917,255.983,0,1452.590,10.603,0,451.226,520.760,255,255
1,393.946,1107.240,401.394,0,1479.855,425.629,0,373.402,378.207,255,255
1,391.923,98.455,421.085,0,321.115,705.847,0,361.479,371.964,255,255
1,372.087,783.096,113.602,0,937.595,202.969,0,178.483,353.405,255,255
1,370.680,0.000,586.186,0,321.115,705.847,0,342.686,344.296,255,255
1,364.083,1095.123,1440.473,0,1414.723,1417.752,0,320.407,343.945,255,255
1,350.165,722.508,1342.018,0,1011.815,1452.590,0,309.717,339.106,255,255
1,344.410,159.043,152.984,0,451.378,278.703,0,318.222,319.536,255,255
1,336.065,1388.973,1290.518,0,1713.117,1304.150,0,324.431,325.136,255,255
1,334.506,1979.703,1361.709,0,2126.628,1373.826,0,147.424,318.993,255,255
1,327.515,1505.604,1136.019,0,1805.513,1069.373,0,307.225,306.449,255,255
1,319.852,0.000,716.450,0,277.189,786.125,0,285.812,307.369,255,255
1,312.450,204.483,1217.813,0,460.467,1338.988,0,283.215,294.002,255,255
1,297.006,1096.637,798.243,0,1372.311,822.478,0,276.737,279.362,255,255
1,295.465,1452.590,10.603,0,1647.985,171.160,0,252.899,273.996,255,255
1,294.819,2102.393,0.000,0,2047.864,265.071,0,270.622,280.788,255,255
1,293.152,115.117,1222.357,0,130.264,1482.884,0,260.967,272.763,255,255
1,288.393,1373.826,825.507,0,1634.353,793.699,0,262.462,273.599,255,255
1,283.697,224.174,1116.328,0,477.128,1190.548,0,263.617,264.700,255,255
1,282.523,327.174,708.876,0,542.260,561.951,0,260.479,264.640,255,255
1,275.559,107.543,999.697,0,115.117,1222.357,0,222.789,259.861,255,255
1,274.438,1414.723,1417.752,0,1672.221,1443.502,0,258.782,261.563,255,255
1,269.222,1661.618,343.835,0,1906.998,355.953,0,245.679,254.382,255,255
1,259.551,1647.985,795.214,0,1891.851,760.376,0,246.341,248.731,255,255
1,249.315,451.378,278.703,0,671.009,242.351,0,222.619,234.407,255,255
1,247.864,960.315,516.510,0,989.094,736.141,0,221.508,231.468,255,255
1,246.958,1169.343,551.348,0,1405.635,555.892,0,236.336,235.849,255,255
1,244.923,107.543,999.697,0,302.939,964.859,0,198.477,232.257,255,255
1,244.727,564.980,963.344,0,784.611,1023.932,0,227.834,229.505,255,255
1,243.884,124.205,346.865,0,349.894,387.761,0,229.365,229.468,255,255
1,243.795,1658.588,704.332,0,1867.616,625.568,0,223.375,224.959,255,255
1,240.335,1498.031,1182.975,0,1716.147,1234.474,0,224.113,227.340,255,255
1,234.187,677.068,766.434,0,875.492,852.772,0,216.394,216.420,255,255
1,233.084,302.939,964.859,0,505.907,1034.535,0,214.595,215.706,255,255
1,232.565,463.496,1343.532,0,663.435,1422.296,0,214.894,219.778,255,255
1,229.320,1222.357,671.009,0,1425.326,725.538,0,210.166,212.109,255,255
