Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,580.225,1146.970,0.000,0,1371.212,374.242,0,436.282,553.056,255,255
1,519.492,71.212,404.545,0,150.000,833.333,0,435.966,489.450,255,255
1,387.073,203.030,866.667,0,387.879,640.909,0,291.780,371.865,255,255
1,382.089,1550.000,1440.909,0,1230.303,1377.273,0,325.969,367.925,255,255
1,360.491,1293.939,716.667,0,1424.242,519.697,0,236.169,338.012,255,255
1,360.205,1003.030,146.970,0,1040.909,404.545,0,260.346,348.080,255,255
1,338.068,1080.303,760.606,0,1148.485,1066.667,0,313.563,317.391,255,255
1,336.939,106.061,0.000,0,272.727,240.909,0,292.942,322.393,255,255
1,309.451,172.727,422.727,0,377.273,592.424,0,265.774,292.567,255,255
1,289.279,901.515,793.939,0,951.515,1039.394,0,250.495,267.524,255,255
1,287.180,1324.242,878.788,0,1396.970,1133.333,0,264.731,269.542,255,255
1,286.122,172.727,422.727,0,281.818,287.879,0,173.450,270.914,255,255
1,281.918,468.182,901.515,0,581.818,1136.364,0,260.897,268.517,255,255
1,278.350,0.000,159.091,0,71.212,404.545,0,255.576,266.848,255,255
1,274.216,481.818,95.455,0,730.303,115.152,0,249.264,257.355,255,255
1,254.386,1216.667,442.424,0,1419.697,513.636,0,215.157,243.933,255,255
1,253.175,434.848,193.939,0,550.000,387.879,0,225.549,233.447,255,255
1,250.861,1216.667,442.424,0,1371.212,374.242,0,168.917,236.818,255,255
1,244.129,598.485,1169.697,0,721.212,1336.364,0,206.978,226.167,255,255
1,230.860,890.909,1030.303,0,969.697,1227.273,0,212.143,219.807,255,255
1,230.555,503.030,1218.182,0,609.091,1403.030,0,213.115,215.908,255,255
1,219.151,115.152,1346.970,0,306.061,1415.152,0,202.719,202.533,255,255
1,218.936,3.030,839.394,0,53.030,1036.364,0,203.217,207.910,255,255
1,216.228,281.818,287.879,0,357.576,472.727,0,199.770,200.295,255,255
1,215.924,1228.788,1269.697,0,1350.000,1118.182,0,194.034,202.362,255,255
1,215.708,136.364,1550.000,0,57.576,1368.182,0,198.155,201.656,255,255
1,214.542,598.485,1169.697,0,795.455,1133.333,0,200.298,205.437,255,255
1,214.022,62.121,1045.455,0,256.061,1078.788,0,196.783,201.603,255,255
1,213.978,834.848,183.333,0,1003.030,146.970,0,172.068,195.312,255,255
1,210.105,313.636,1210.606,0,503.030,1218.182,0,189.545,197.970,255,255
1,207.765,1040.909,404.545,0,1216.667,442.424,0,179.793,193.924,255,255
1,202.009,1231.818,801.515,0,1293.939,716.667,0,105.159,191.494,255,255
1,194.738,1257.576,851.515,0,1289.394,1031.818,0,183.089,182.527,255,255
1,194.218,62.121,1045.455,0,96.970,1222.727,0,180.666,179.598,255,255
1,192.246,686.364,1377.273,0,848.485,1446.970,0,176.468,174.573,255,255
1,191.771,1000.000,1550.000,0,937.879,1384.848,0,176.448,178.824,255,255
1,191.035,410.606,666.667,0,456.061,836.364,0,175.679,177.443,255,255
1,179.694,527.273,748.485,0,689.394,733.333,0,162.828,171.863,255,255
1,178.546,587.879,434.848,0,634.848,593.939,0,165.880,165.354,255,255
1,177.443,389.394,1436.364,0,553.030,1457.576,0,165.005,165.823,255,255
1,177.184,1293.939,716.667,0,1324.242,878.788,0,164.929,166.016,255,255
1,176.619,437.879,1015.152,0,492.424,1166.667,0,161.034,163.320,255,255
1,174.001,1080.303,1354.545,0,1121.212,1200.000,0,159.868,165.209,255,255
1,173.544,892.424,350.000,0,987.879,468.182,0,151.916,166.348,255,255
1,171.598,283.333,148.485,0,434.848,193.939,0,158.186,159.689,255,255
1,170.989,678.788,636.364,0,800.000,539.394,0,155.227,159.922,255,255
1,170.818,977.273,510.606,0,1022.727,657.576,0,153.838,161.813,255,255
1,168.460,1080.303,760.606,0,1231.818,801.515,0,156.941,156.362,255,255
1,166.381,892.424,350.000,0,1031.818,412.121,0,152.610,155.143,255,255
1,166.381,883.333,692.424,0,1022.727,657.576,0,143.684,153.971,255,255
1,165.430,731.818,884.848,0,769.697,1033.333,0,153.240,153.453,255,255
1,165.385,712.121,369.697,0,853.030,310.606,0,152.798,152.059,255,255
1,165.170,968.182,0.000,0,1003.030,146.970,0,151.045,156.887,255,255
1,163.180,851.515,542.424,0,883.333,692.424,0,153.338,154.404,255,255
1,162.032,3.030,839.394,0,150.000,833.333,0,147.095,152.797,255,255
1,160.732,1371.212,374.242,0,1419.697,513.636,0,147.585,149.510,255,255
1,158.786,357.576,472.727,0,507.576,490.909,0,151.098,151.684,255,255
1,157.854,1148.485,1066.667,0,1289.394,1031.818,0,145.154,150.803,255,255
1,157.227,1080.303,1354.545,0,1119.697,1495.455,0,146.312,143.892,255,255
1,155.667,256.061,1078.788,0,313.636,1210.606,0,143.844,142.479,255,255
1,155.039,306.061,980.303,0,437.879,1015.152,0,136.347,143.143,255,255
1,153.999,851.515,542.424,0,977.273,510.606,0,129.720,143.625,255,255
1,149.866,601.515,431.818,0,712.121,369.697,0,126.857,141.535,255,255
1,144.585,345.455,1312.121,0,389.394,1436.364,0,131.783,131.164,255,255
1,143.806,1550.000,1037.879,0,1484.848,1148.485,0,128.368,137.029,255,255
1,143.070,96.970,1222.727,0,115.152,1346.970,0,125.566,129.894,255,255
1,140.192,1550.000,530.303,0,1424.242,519.697,0,126.204,134.064,255,255
1,140.040,234.848,909.091,0,250.000,1030.303,0,122.155,129.563,255,255
1,138.569,834.848,183.333,0,853.030,310.606,0,128.565,126.178,255,255
1,138.373,781.818,874.242,0,839.394,987.879,0,127.390,129.709,255,255
1,138.265,778.788,0.000,0,730.303,115.152,0,124.943,133.368,255,255
1,135.190,1127.273,1196.970,0,1228.788,1269.697,0,124.878,127.402,255,255
1,133.307,1228.788,1269.697,0,1230.303,1377.273,0,107.586,124.763,255,255
1,132.787,730.303,115.152,0,834.848,183.333,0,124.814,126.455,255,255
1,132.635,700.000,460.606,0,800.000,539.394,0,127.309,123.420,255,255
1,130.904,713.636,801.515,0,807.576,824.242,0,96.650,123.793,255,255
1,130.366,357.576,472.727,0,377.273,592.424,0,121.307,119.208,255,255
1,127.767,1022.727,657.576,0,1080.303,760.606,0,118.026,116.876,255,255
1,127.703,637.879,1550.000,0,606.061,1436.364,0,118.007,121.416,255,255
1,127.443,437.879,1015.152,0,468.182,901.515,0,117.607,120.087,255,255
1,125.624,434.848,193.939,0,481.818,95.455,0,109.112,111.267,255,255
1,125.364,456.061,836.364,0,527.273,748.485,0,113.110,117.603,255,255
1,124.369,900.000,1550.000,0,848.485,1446.970,0,115.191,115.930,255,255
1,123.266,507.576,490.909,0,550.000,387.879,0,111.423,113.149,255,255
1,122.441,795.455,1133.333,0,866.667,1222.727,0,114.291,114.341,255,255
1,122.010,836.364,1328.788,0,866.667,1222.727,0,110.305,111.397,255,255
1,120.800,721.212,1336.364,0,836.364,1328.788,0,115.400,115.615,255,255
1,120.603,306.061,1415.152,0,345.455,1312.121,0,110.305,112.784,255,255
1,117.053,0.000,1231.818,0,96.970,1222.727,0,97.395,111.395,255,255
1,116.102,1015.152,1190.909,0,1121.212,1200.000,0,106.450,105.793,255,255
1,115.950,313.636,1210.606,0,345.455,1312.121,0,106.385,107.457,255,255
1,115.950,498.485,646.970,0,527.273,748.485,0,105.518,104.581,255,255
1,114.910,234.848,909.091,0,306.061,980.303,0,100.709,109.602,255,255
1,114.022,807.576,824.242,0,901.515,793.939,0,98.706,107.248,255,255
1,113.655,437.879,0.000,0,481.818,95.455,0,105.082,106.052,255,255
1,113.332,283.333,148.485,0,286.364,43.939,0,104.589,105.085,255,255
1,112.812,883.333,692.424,0,901.515,793.939,0,103.131,104.693,255,255
1,111.924,769.697,1033.333,0,795.455,1133.333,0,103.264,103.849,255,255
1,111.664,601.515,431.818,0,700.000,460.606,0,102.606,103.705,255,255
1,111.557,71.212,404.545,0,172.727,422.727,0,103.131,103.166,255,255
1,111.467,1289.394,1031.818,0,1350.000,1118.182,0,105.507,101.760,255,255
1,109.997,510.606,1550.000,0,553.030,1457.576,0,101.696,105.457,255,255
1,109.629,540.909,562.121,0,634.848,593.939,0,99.182,101.750,255,255
1,108.222,492.424,1166.667,0,581.818,1136.364,0,94.390,101.207,255,255
1,105.128,678.788,636.364,0,689.394,733.333,0,97.548,95.819,255,255
1,103.309,498.485,646.970,0,540.909,562.121,0,94.863,93.874,255,255
1,103.093,272.727,240.909,0,283.333,148.485,0,93.031,95.269,255,255
1,99.239,966.667,1231.818,0,1016.667,1309.091,0,92.038,92.310,255,255
1,99.176,1396.970,1133.333,0,1484.848,1148.485,0,89.175,89.846,255,255
1,98.440,700.000,460.606,0,712.121,369.697,0,91.714,92.668,255,255
1,97.096,1096.970,1142.424,0,1148.485,1066.667,0,91.613,88.759,255,255
1,96.880,1119.697,1495.455,0,1201.515,1459.091,0,89.535,86.211,255,255
1,96.621,1016.667,1106.061,0,1096.970,1142.424,0,88.153,92.423,255,255
1,96.557,1206.061,1550.000,0,1201.515,1459.091,0,91.023,92.805,255,255
1,96.316,951.515,1039.394,0,1016.667,1106.061,0,93.216,91.917,255,255
1,96.038,410.606,666.667,0,498.485,646.970,0,90.059,89.347,255,255
1,93.743,1201.515,1459.091,0,1230.303,1377.273,0,86.735,86.336,255,255
1,92.120,713.636,801.515,0,731.818,884.848,0,85.294,84.430,255,255
1,90.668,769.697,1033.333,0,839.394,987.879,0,83.209,85.216,255,255
1,89.197,609.091,1403.030,0,686.364,1377.273,0,81.453,85.659,255,255
1,88.569,937.879,1384.848,0,953.030,1307.576,0,78.744,78.937,255,255
1,87.986,1015.152,1190.909,0,1016.667,1106.061,0,84.862,82.606,255,255
1,87.422,433.333,1550.000,0,375.758,1501.515,0,75.271,80.686,255,255
1,86.490,1550.000,1200.000,0,1484.848,1148.485,0,83.057,83.237,255,255
1,85.019,507.576,490.909,0,540.909,562.121,0,78.627,76.314,255,255
1,84.804,860.606,1375.758,0,937.879,1384.848,0,77.806,79.074,255,255
1,82.464,306.061,1415.152,0,369.697,1457.576,0,76.481,78.287,255,255
1,82.464,1016.667,1309.091,0,1080.303,1354.545,0,78.203,76.975,255,255
1,79.998,848.485,1446.970,0,860.606,1375.758,0,72.236,72.749,255,255
1,78.223,689.394,733.333,0,713.636,801.515,0,72.363,72.730,255,255
1,77.963,1257.576,851.515,0,1324.242,878.788,0,72.029,69.987,255,255
1,77.659,250.000,1030.303,0,306.061,980.303,0,75.119,71.806,255,255
1,76.036,987.879,468.182,0,1031.818,412.121,0,71.228,67.108,255,255
1,73.158,922.727,1246.970,0,953.030,1307.576,0,67.760,66.590,255,255
1,70.172,456.061,836.364,0,468.182,901.515,0,66.269,61.838,255,255
1,69.088,839.394,987.879,0,890.909,1030.303,0,66.736,64.385,255,255
1,68.137,890.909,1030.303,0,951.515,1039.394,0,61.284,61.941,255,255
1,67.357,866.667,1222.727,0,922.727,1246.970,0,61.078,61.241,255,255
1,67.097,1096.970,1142.424,0,1127.273,1196.970,0,62.398,62.044,255,255
1,66.837,150.000,833.333,0,203.030,866.667,0,62.636,61.484,255,255
1,66.774,953.030,1307.576,0,1016.667,1309.091,0,63.654,60.993,255,255
1,66.362,57.576,1368.182,0,115.152,1346.970,0,61.359,61.120,255,255
1,65.950,243.939,0.000,0,286.364,43.939,0,61.078,63.363,255,255
1,63.287,634.848,593.939,0,678.788,636.364,0,61.078,59.216,255,255
1,63.224,0.000,1378.788,0,57.576,1368.182,0,58.544,60.319,255,255
1,62.660,550.000,387.879,0,587.879,434.848,0,60.340,57.723,255,255
1,62.660,969.697,1227.273,0,1015.152,1190.909,0,58.210,56.422,255,255
1,62.444,0.000,1059.091,0,53.030,1036.364,0,57.695,59.078,255,255
1,62.184,492.424,1166.667,0,503.030,1218.182,0,52.596,56.968,255,255
1,61.924,731.818,884.848,0,781.818,874.242,0,51.113,57.340,255,255
1,61.817,553.030,1457.576,0,606.061,1436.364,0,57.115,57.181,255,255
1,61.557,1231.818,801.515,0,1257.576,851.515,0,56.245,53.151,255,255
1,61.449,1103.030,1550.000,0,1119.697,1495.455,0,57.035,56.893,255,255
1,60.884,327.273,0.000,0,286.364,43.939,0,60.035,57.169,255,255
1,60.669,781.818,874.242,0,807.576,824.242,0,56.245,58.181,255,255
1,59.262,853.030,310.606,0,892.424,350.000,0,55.711,54.733,255,255
1,58.266,836.364,1328.788,0,860.606,1375.758,0,52.857,52.602,255,255
1,55.604,203.030,866.667,0,234.848,909.091,0,53.030,50.338,255,255
1,55.344,686.364,1377.273,0,721.212,1336.364,0,53.740,49.825,255,255
