Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,969.845,1011.355,2154.428,0,1639.667,1995.458,0,648.111,917.822,255,255
1,695.343,1742.619,1969.720,0,1859.198,1854.656,0,163.800,655.395,255,255
1,641.251,2240.727,1878.880,0,2576.836,2081.756,0,392.592,606.153,255,255
1,370.449,1247.540,1663.891,0,1450.416,1856.170,0,279.517,346.944,255,255
1,365.558,2717.638,1692.657,0,2458.743,1850.114,0,303.017,347.880,255,255
1,361.446,1956.094,1718.395,0,2240.727,1878.880,0,326.759,345.657,255,255
1,359.223,1062.831,2045.420,0,1279.334,1984.860,0,224.813,343.327,255,255
1,344.362,1373.202,1395.912,0,1627.555,1503.407,0,276.135,329.980,255,255
1,339.890,723.694,2207.419,0,1011.355,2154.428,0,292.501,323.930,255,255
1,333.352,1956.094,302.801,0,2228.615,255.867,0,276.533,312.690,255,255
1,322.090,361.847,2278.577,0,585.920,2228.615,0,229.575,307.294,255,255
1,308.437,2434.519,205.905,0,2635.882,334.595,0,238.973,290.477,255,255
1,307.962,0.000,2112.036,0,257.381,2204.391,0,273.449,296.846,255,255
1,304.934,1303.558,1936.412,0,1557.911,1943.982,0,254.465,289.421,255,255
1,297.105,1890.992,1467.070,0,1956.094,1718.395,0,259.620,282.642,255,255
1,289.230,1330.810,1220.288,0,1545.799,1305.072,0,231.103,275.405,255,255
1,288.110,0.000,140.802,0,74.186,361.847,0,233.162,273.083,255,255
1,285.019,257.381,2110.522,0,522.332,2098.410,0,265.227,272.276,255,255
1,280.146,2380.015,1924.300,0,2576.836,2081.756,0,252.053,265.530,255,255
1,277.790,119.606,349.735,0,219.531,119.606,0,250.887,263.786,255,255
1,276.948,426.949,1598.789,0,654.050,1533.687,0,236.248,262.500,255,255
1,267.559,296.745,1544.285,0,476.911,1389.856,0,237.293,253.033,255,255
1,266.546,520.818,2093.868,0,717.638,2056.018,0,200.427,253.576,255,255
1,265.400,2287.661,964.421,0,2522.332,890.235,0,246.118,249.410,255,255
1,264.271,325.511,1781.983,0,529.902,1725.965,0,211.928,248.021,255,255
1,263.259,2207.419,610.144,0,2249.811,376.987,0,236.979,245.364,255,255
1,262.156,1951.552,885.693,0,2189.251,944.739,0,244.923,245.703,255,255
1,261.073,1619.985,549.584,0,1636.639,325.511,0,224.691,246.184,255,255
1,256.665,472.369,1918.244,0,714.610,1947.010,0,243.943,245.548,255,255
1,256.379,2452.687,1430.734,0,2469.341,1217.260,0,214.123,238.784,255,255
