Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,456.144,558.752,1137.190,0,576.923,1524.833,0,388.069,435.074,255,255
1,414.095,3529.679,1726.227,0,3553.907,1364.325,0,362.712,391.806,255,255
1,411.964,260.448,2000.303,0,316.475,1782.253,0,225.133,394.371,255,255
1,410.045,513.325,2038.159,0,576.923,1680.800,0,362.974,388.268,255,255
1,350.211,1835.251,225.621,0,2026.045,101.454,0,227.639,327.968,255,255
1,349.117,2634.767,1406.723,0,2807.389,1676.257,0,320.073,327.856,255,255
1,333.428,2993.640,1499.091,0,2999.697,1797.396,0,298.366,312.822,255,255
1,329.002,3500.909,852.514,0,3508.480,1125.076,0,272.667,316.177,255,255
1,327.783,1777.710,1043.307,0,1779.225,1326.469,0,283.166,309.309,255,255
1,318.590,3463.053,1396.124,0,3511.508,1688.371,0,296.237,299.200,255,255
1,295.940,2144.155,93.882,0,2334.949,148.395,0,198.428,280.851,255,255
1,294.641,272.562,563.295,0,387.644,722.290,0,196.273,277.484,255,255
1,292.043,2484.858,89.340,0,2642.338,190.793,0,187.331,275.045,255,255
1,289.426,2315.263,1621.744,0,2436.402,1857.965,0,265.471,269.641,255,255
1,285.036,2069.958,943.368,0,2189.582,1170.503,0,256.711,266.932,255,255
1,280.107,10.600,0.000,0,154.452,136.281,0,198.156,272.957,255,255
1,279.821,1123.561,199.879,0,1349.182,149.909,0,231.088,258.466,255,255
1,279.220,834.343,369.473,0,843.428,116.596,0,253.040,266.324,255,255
1,279.220,1232.586,1181.102,0,1296.184,1433.979,0,260.752,263.742,255,255
1,278.611,652.635,1473.349,0,828.286,1311.326,0,238.966,260.831,255,255
1,278.289,675.348,196.850,0,843.428,116.596,0,186.257,262.261,255,255
1,276.685,664.749,1903.392,0,791.944,1686.856,0,251.130,254.851,255,255
1,276.103,2827.075,1602.059,0,2948.213,1806.481,0,237.619,259.316,255,255
1,274.525,1562.689,124.167,0,1758.025,201.393,0,210.048,257.673,255,255
1,273.100,3373.713,1452.150,0,3411.569,1709.570,0,260.188,261.356,255,255
1,271.712,3201.090,1795.881,0,3287.402,2030.588,0,250.073,254.391,255,255
1,271.148,2407.632,1215.930,0,2481.829,1440.036,0,236.070,253.798,255,255
1,269.266,93.882,1671.714,0,316.475,1782.253,0,248.528,257.183,255,255
1,269.077,796.487,1683.828,0,1052.392,1685.342,0,255.910,257.588,255,255
1,268.316,2658.995,192.308,0,2792.247,110.539,0,156.341,247.569,255,255
1,267.815,2951.242,917.626,0,3086.008,1129.618,0,251.203,254.171,255,255
1,264.920,49.970,1385.524,0,118.110,1617.202,0,241.491,250.618,255,255
1,263.102,1131.133,237.735,0,1350.697,240.763,0,219.585,248.364,255,255
1,260.162,0.000,872.199,0,49.970,1105.391,0,238.486,246.130,255,255
1,259.060,501.211,507.268,0,738.946,470.927,0,240.496,244.498,255,255
1,257.564,49.970,367.959,0,175.651,555.724,0,225.946,241.851,255,255
1,255.879,1052.392,1685.342,0,1075.106,1915.506,0,231.282,241.357,255,255
1,255.055,3487.280,327.075,0,3529.679,110.539,0,220.647,240.921,255,255
1,254.840,704.119,1046.336,0,905.512,991.823,0,208.640,234.821,255,255
1,254.384,2212.296,1399.152,0,2422.774,1471.835,0,222.675,237.492,255,255
1,254.365,357.359,1429.437,0,476.984,1288.613,0,184.774,241.178,255,255
1,251.400,828.286,1311.326,0,893.398,1512.720,0,211.657,236.079,255,255
1,249.626,1555.118,1044.821,0,1573.289,1256.814,0,212.770,232.331,255,255
1,246.794,1871.593,1809.509,0,1930.648,2030.588,0,228.830,231.147,255,255
1,246.471,1909.449,1786.796,0,1921.563,1556.632,0,230.482,233.326,255,255
1,245.469,3154.149,1592.974,0,3296.487,1408.237,0,233.212,232.403,255,255
1,243.201,2675.651,946.396,0,2761.962,1153.846,0,224.689,223.772,255,255
1,241.991,3500.909,852.514,0,3513.022,639.007,0,213.850,225.897,255,255
1,240.433,2144.155,93.882,0,2227.438,299.818,0,222.139,226.569,255,255
1,240.021,2967.898,1173.531,0,3061.781,1373.410,0,220.829,225.130,255,255
1,239.160,655.663,1679.285,0,664.749,1903.392,0,224.291,227.486,255,255
1,238.013,1677.771,1550.575,0,1718.655,1771.654,0,224.827,226.516,255,255
1,236.302,402.786,149.909,0,552.695,201.393,0,158.503,223.440,255,255
1,236.257,1338.583,1112.962,0,1423.380,1312.841,0,217.122,220.878,255,255
1,234.788,298.304,331.617,0,343.731,537.553,0,210.887,221.263,255,255
1,233.901,30.285,1181.102,0,49.970,1385.524,0,205.367,223.418,255,255
1,233.704,903.998,146.881,0,1081.163,168.080,0,178.429,223.228,255,255
1,233.489,1818.595,2038.159,0,1620.230,1956.390,0,214.557,220.800,255,255
1,233.381,3316.172,1225.015,0,3388.855,1424.894,0,212.684,215.790,255,255
1,232.108,2315.263,1621.744,0,2534.827,1652.029,0,221.643,223.582,255,255
1,231.822,2145.669,1217.444,0,2212.296,1399.152,0,193.538,223.274,255,255
1,231.715,2487.886,1225.015,0,2560.569,1420.351,0,208.420,219.683,255,255
1,230.675,499.697,701.090,0,684.434,787.402,0,203.905,220.279,255,255
1,226.285,3223.804,522.411,0,3322.229,702.604,0,205.323,207.558,255,255
1,223.561,2021.502,1951.847,0,2079.043,1758.025,0,202.183,207.383,255,255
1,222.440,1824.652,2038.159,0,1829.194,1820.109,0,218.097,219.099,255,255
1,220.963,2867.959,1046.336,0,2945.185,911.569,0,155.325,203.878,255,255
1,219.538,1093.277,997.880,0,1131.133,1191.702,0,197.484,205.056,255,255
1,218.239,3469.110,475.469,0,3487.280,327.075,0,149.503,202.968,255,255
1,217.010,3529.679,1726.227,0,3529.679,1938.219,0,211.993,208.500,255,255
1,215.210,785.887,1122.047,0,846.457,1300.727,0,188.666,202.321,255,255
1,214.995,2731.678,476.984,0,2920.957,493.640,0,190.011,200.553,255,255
1,214.843,2980.012,105.996,0,3070.866,221.078,0,146.623,204.954,255,255
1,213.284,543.610,620.836,0,713.204,717.747,0,195.330,202.924,255,255
1,211.250,796.487,1683.828,0,893.398,1512.720,0,196.646,199.060,255,255
1,210.668,1535.433,1667.171,0,1674.743,1550.575,0,181.664,198.262,255,255
1,210.300,1168.988,1877.650,0,1243.186,1698.970,0,193.473,197.113,255,255
1,209.306,2627.196,1873.107,0,2772.562,1879.164,0,145.493,197.099,255,255
1,207.836,3381.284,911.569,0,3426.711,1099.334,0,193.182,196.242,255,255
1,207.595,1571.775,778.316,0,1668.686,944.882,0,192.707,193.128,255,255
1,207.468,1047.850,888.855,0,1237.129,844.942,0,194.306,196.233,255,255
1,204.180,469.412,1876.136,0,504.240,1691.399,0,187.991,189.398,255,255
1,203.679,2334.949,148.395,0,2484.858,89.340,0,161.122,190.882,255,255
1,203.249,301.333,1321.926,0,476.984,1288.613,0,178.782,192.049,255,255
1,202.406,1252.271,2038.159,0,1302.241,1856.451,0,188.454,190.105,255,255
1,200.803,1833.737,463.356,0,1989.703,476.984,0,156.560,191.182,255,255
1,200.480,2705.936,1698.970,0,2769.534,1873.107,0,185.387,183.726,255,255
1,200.265,2439.431,2038.159,0,2436.402,1857.965,0,180.219,188.490,255,255
1,199.485,994.852,1314.355,0,1043.307,1490.006,0,182.212,187.976,255,255
1,199.118,157.480,764.688,0,158.995,599.637,0,165.058,181.214,255,255
1,199.029,3014.839,457.299,0,3090.551,617.807,0,177.469,188.307,255,255
1,198.142,1181.102,399.758,0,1187.159,560.267,0,160.623,185.439,255,255
1,198.123,207.450,1356.753,0,233.192,1535.433,0,180.524,188.568,255,255
1,197.236,277.105,112.053,0,307.389,289.219,0,179.735,183.404,255,255
1,195.937,2079.043,1758.025,0,2154.755,1600.545,0,174.735,182.582,255,255
1,195.785,2413.689,1158.389,0,2427.317,993.337,0,165.613,179.077,255,255
1,195.462,1193.216,994.852,0,1244.700,1168.988,0,181.588,183.854,255,255
1,195.265,3231.375,987.280,0,3299.515,1149.303,0,175.769,180.459,255,255
1,194.638,0.000,1818.595,0,93.882,1671.714,0,174.321,188.272,255,255
1,193.447,3207.147,726.832,0,3290.430,878.256,0,172.815,184.161,255,255
1,192.389,372.502,558.752,0,387.644,722.290,0,164.237,177.316,255,255
1,191.224,1882.193,1349.182,0,2060.872,1376.439,0,180.746,183.875,255,255
1,187.846,501.211,507.268,0,543.610,620.836,0,121.224,172.679,255,255
1,187.650,2062.386,1552.090,0,2088.128,1411.266,0,143.157,175.830,255,255
1,186.351,1898.849,1061.478,0,2009.388,1200.787,0,177.837,175.253,255,255
1,186.117,3281.345,380.073,0,3320.715,216.535,0,168.209,175.780,255,255
1,186.072,451.242,755.603,0,523.925,905.512,0,166.600,178.505,255,255
1,185.338,0.000,602.665,0,158.995,599.637,0,159.023,174.874,255,255
1,184.603,2572.683,1711.084,0,2627.196,1873.107,0,170.948,167.426,255,255
1,184.039,1759.540,770.745,0,1910.963,695.033,0,169.296,174.539,255,255
1,182.936,1356.753,592.065,0,1418.837,748.031,0,167.868,168.208,255,255
1,182.766,1909.449,1786.796,0,2079.043,1758.025,0,172.017,171.355,255,255
1,182.157,1788.310,380.073,0,1901.878,271.048,0,157.429,169.858,255,255
1,182.049,934.282,1093.277,0,1013.022,1235.615,0,162.666,170.146,255,255
1,181.853,960.024,2038.159,0,1075.106,1915.506,0,168.189,173.505,255,255
1,181.593,3188.976,1276.499,0,3296.487,1408.237,0,170.040,171.943,255,255
1,181.055,1462.750,923.683,0,1520.291,767.717,0,166.242,170.994,255,255
1,180.535,3139.007,2038.159,0,3072.380,1885.221,0,166.820,170.461,255,255
1,180.212,425.500,2038.159,0,469.412,1876.136,0,167.868,170.527,255,255
1,180.123,407.329,266.505,0,489.098,411.872,0,166.786,168.711,255,255
1,180.006,3508.480,1125.076,0,3526.651,1267.414,0,143.493,166.001,255,255
1,179.952,1446.093,569.352,0,1490.006,729.861,0,166.407,164.332,255,255
1,179.540,3407.026,134.767,0,3434.282,289.219,0,156.838,168.425,255,255
1,179.433,49.970,1385.524,0,207.450,1356.753,0,160.087,167.235,255,255
1,179.325,1848.879,1234.101,0,2009.388,1200.787,0,163.929,168.706,255,255
1,178.976,3070.866,1450.636,0,3154.149,1592.974,0,164.913,171.906,255,255
1,178.546,3466.081,484.555,0,3513.022,639.007,0,161.428,162.700,255,255
1,177.488,3325.257,1974.561,0,3341.914,1806.481,0,168.903,167.494,255,255
1,177.139,1218.958,1612.659,0,1278.013,1461.236,0,162.532,171.747,255,255
1,176.100,49.970,367.959,0,165.051,263.477,0,155.436,163.825,255,255
1,175.903,3163.234,1623.259,0,3294.973,1727.741,0,168.141,166.917,255,255
1,175.213,2265.294,614.779,0,2390.975,523.925,0,155.081,164.855,255,255
1,173.528,1437.008,72.683,0,1562.689,124.167,0,135.818,162.802,255,255
1,173.116,1423.380,1312.841,0,1573.289,1256.814,0,160.037,162.915,255,255
1,172.812,578.437,1603.574,0,717.747,1555.118,0,147.496,162.788,255,255
1,172.597,2035.130,1552.090,0,2088.128,1411.266,0,150.466,164.657,255,255
1,172.578,355.845,1582.374,0,367.959,1747.426,0,165.495,161.945,255,255
1,171.646,2992.126,442.156,0,3142.035,404.300,0,154.615,164.726,255,255
1,171.253,3072.380,897.941,0,3169.291,1028.165,0,162.327,163.100,255,255
1,170.500,1343.125,1017.565,0,1496.063,975.167,0,158.706,162.312,255,255
1,170.043,1591.460,552.695,0,1685.342,639.007,0,127.529,154.804,255,255
1,169.980,1278.013,1461.236,0,1323.440,1605.088,0,150.854,159.861,255,255
1,169.505,1744.397,1477.892,0,1898.849,1490.006,0,154.926,160.590,255,255
1,169.479,1175.045,1344.640,0,1288.613,1443.065,0,150.283,163.364,255,255
1,169.416,1461.236,1520.291,0,1600.545,1447.608,0,157.130,157.596,255,255
1,169.416,277.105,112.053,0,402.786,149.909,0,131.259,158.137,255,255
1,169.093,785.887,1122.047,0,934.282,1093.277,0,151.158,159.601,255,255
1,168.636,582.980,2038.159,0,664.749,1903.392,0,157.633,157.971,255,255
1,168.618,1376.439,1851.908,0,1408.237,1698.970,0,156.208,159.031,255,255
1,168.592,3061.781,1373.410,0,3188.976,1276.499,0,159.908,159.439,255,255
1,168.466,1135.675,1196.245,0,1175.045,1344.640,0,153.529,157.441,255,255
1,168.466,2401.575,416.414,0,2548.455,408.843,0,147.076,155.618,255,255
1,168.206,1724.712,590.551,0,1871.593,635.978,0,153.745,158.790,255,255
1,167.623,1562.689,124.167,0,1588.431,278.619,0,156.582,157.857,255,255
1,167.490,1535.433,1667.171,0,1632.344,1788.310,0,155.133,156.187,255,255
1,167.490,1031.193,752.574,0,1119.019,622.350,0,157.072,159.776,255,255
1,166.952,2748.334,575.409,0,2796.790,722.290,0,154.667,152.430,255,255
1,166.907,884.313,595.094,0,1023.622,552.695,0,145.619,157.712,255,255
1,166.154,258.934,1175.045,0,419.443,1167.474,0,160.687,160.411,255,255
1,165.760,165.051,263.477,0,298.304,331.617,0,149.664,155.720,255,255
1,165.545,2702.907,1387.038,0,2814.961,1303.755,0,139.614,155.688,255,255
1,165.482,2484.858,89.340,0,2493.943,239.249,0,150.184,153.608,255,255
1,165.241,2898.243,1314.355,0,2943.671,1433.979,0,127.959,154.030,255,255
1,164.810,2807.389,1676.257,0,2849.788,1820.109,0,149.970,155.014,255,255
1,164.766,558.752,1137.190,0,631.435,1009.994,0,146.498,157.043,255,255
1,164.309,2702.907,1387.038,0,2822.532,1488.492,0,156.853,154.456,255,255
1,163.726,676.863,339.188,0,738.946,470.927,0,145.634,155.685,255,255
1,162.928,243.792,825.257,0,389.158,810.115,0,146.153,151.394,255,255
1,161.199,2472.744,586.008,0,2493.943,735.918,0,151.401,151.387,255,255
1,161.047,1446.093,569.352,0,1591.460,552.695,0,146.318,150.906,255,255
1,160.895,2931.557,255.906,0,3070.866,221.078,0,143.597,151.850,255,255
1,160.850,917.626,340.703,0,1000.909,454.270,0,140.832,152.689,255,255
1,160.742,367.959,1747.426,0,504.240,1691.399,0,147.348,148.411,255,255
1,160.375,1281.042,766.202,0,1418.837,748.031,0,138.988,149.631,255,255
1,160.312,846.457,1300.727,0,994.852,1314.355,0,149.019,150.108,255,255
1,160.223,2551.484,779.830,0,2658.995,688.976,0,140.759,152.423,255,255
1,160.178,1397.638,445.185,0,1515.748,363.416,0,143.653,153.252,255,255
1,159.533,1621.744,1364.325,0,1765.597,1393.095,0,146.701,147.749,255,255
1,159.488,1449.122,1443.065,0,1585.403,1387.038,0,147.348,148.652,255,255
1,159.336,823.743,811.629,0,887.341,692.005,0,135.480,150.671,255,255
1,159.228,2060.872,1376.439,0,2107.813,1241.672,0,142.708,148.133,255,255
1,158.968,1860.993,476.984,0,1989.703,476.984,0,128.710,150.169,255,255
1,158.968,154.452,136.281,0,277.105,112.053,0,125.023,147.761,255,255
1,158.709,3135.978,1661.114,0,3198.062,1792.853,0,145.634,144.522,255,255
1,158.018,2431.859,935.796,0,2574.197,907.026,0,145.217,148.756,255,255
1,157.929,3373.713,369.473,0,3469.110,475.469,0,142.604,148.659,255,255
1,157.239,2624.167,975.167,0,2668.080,1112.962,0,144.623,146.856,255,255
1,156.827,1168.988,1443.065,0,1187.159,1574.803,0,132.986,147.092,255,255
1,156.764,675.348,196.850,0,676.863,339.188,0,142.346,145.371,255,255
1,156.675,2521.199,268.019,0,2642.338,190.793,0,143.661,146.815,255,255
1,156.675,590.551,981.224,0,684.434,876.741,0,140.465,148.359,255,255
1,156.155,958.510,243.792,0,1081.163,168.080,0,144.139,150.018,255,255
1,155.940,2451.545,1468.807,0,2530.285,1582.374,0,138.194,145.629,255,255
1,155.895,2757.420,919.140,0,2837.674,1041.793,0,146.576,147.531,255,255
1,155.832,3622.047,15.142,0,3529.679,110.539,0,132.787,151.050,255,255
1,155.769,1606.602,1932.162,0,1632.344,1788.310,0,146.137,146.638,255,255
1,155.769,3187.462,136.281,0,3204.119,280.133,0,144.813,147.565,255,255
1,155.662,552.695,201.393,0,558.752,348.274,0,147.006,145.071,255,255
1,155.402,2242.580,423.985,0,2387.947,448.213,0,147.372,147.733,255,255
1,155.250,3325.257,702.604,0,3338.886,843.428,0,141.482,146.179,255,255
1,154.945,2609.025,557.238,0,2658.995,688.976,0,140.897,143.509,255,255
1,154.515,49.970,1105.391,0,193.822,1094.791,0,144.242,146.626,255,255
1,154.229,1676.257,284.676,0,1788.310,380.073,0,147.161,148.042,255,255
1,154.014,2683.222,334.646,0,2805.875,346.760,0,123.250,145.270,255,255
1,153.843,258.934,1175.045,0,261.962,1311.326,0,136.315,143.998,255,255
1,153.691,2910.357,386.130,0,2931.557,255.906,0,131.938,141.501,255,255
1,153.583,1809.509,1099.334,0,1848.879,1234.101,0,140.400,143.935,255,255
1,152.956,2360.690,281.647,0,2401.575,416.414,0,140.832,141.110,255,255
1,152.741,1882.193,1349.182,0,1898.849,1490.006,0,141.805,141.571,255,255
1,152.633,1314.355,1847.365,0,1332.526,1703.513,0,144.995,145.280,255,255
1,152.284,2863.416,0.000,0,2792.247,110.539,0,131.468,143.231,255,255
