Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,858.654,320.309,2243.677,0,1077.541,2333.030,0,762.485,823.858,255,255
1,818.821,1537.937,2776.768,0,1077.541,2333.030,0,639.428,790.876,255,255
1,815.256,674.693,2876.723,0,320.309,2321.672,0,658.536,779.659,255,255
1,574.673,0.000,104.498,0,263.517,311.222,0,334.927,544.261,255,255
1,544.143,453.582,1789.338,0,802.665,1692.413,0,362.290,523.025,255,255
1,507.567,102.226,1853.703,0,320.309,2243.677,0,446.811,479.258,255,255
1,493.059,308.193,2482.962,0,321.823,2801.000,0,318.329,476.582,255,255
1,465.278,821.596,0.000,0,792.064,328.638,0,329.963,444.127,255,255
1,450.111,1077.541,2333.030,0,1391.792,2229.290,0,330.932,434.726,255,255
1,438.179,1038.922,1772.679,0,1174.466,2012.721,0,275.668,417.099,255,255
1,423.478,308.193,2482.962,0,321.823,2801.000,0,318.329,404.961,255,255
1,395.572,98.440,1635.620,0,137.816,1320.612,0,317.460,378.075,255,255
1,380.575,265.031,313.494,0,573.982,370.286,0,314.127,359.154,255,255
1,353.319,431.622,1467.515,0,453.582,1789.338,0,322.572,334.276,255,255
1,347.155,551.265,1482.659,0,802.665,1692.413,0,327.412,331.834,255,255
1,329.706,916.250,1411.480,0,937.453,1718.158,0,307.411,316.276,255,255
1,320.413,143.874,972.285,0,315.008,793.579,0,247.433,308.558,255,255
1,318.685,44.677,351.355,0,249.886,566.409,0,297.253,302.930,255,255
1,313.110,1262.305,1144.177,0,1297.138,864.758,0,281.581,300.638,255,255
1,313.015,874.602,916.250,0,891.262,1212.328,0,296.546,299.802,255,255
1,311.658,592.155,1209.299,0,860.215,1281.236,0,277.545,292.748,255,255
1,298.481,1193.397,1361.502,0,1375.890,1551.567,0,263.493,284.959,255,255
1,294.349,123.429,1310.011,0,360.442,1188.096,0,266.530,283.182,255,255
1,291.952,102.226,1853.703,0,350.598,1778.737,0,259.439,280.545,255,255
1,288.282,1046.494,954.112,0,1297.138,864.758,0,266.094,274.796,255,255
1,282.722,0.000,708.012,0,243.071,613.358,0,260.851,264.161,255,255
1,279.545,1537.937,2392.852,0,1391.792,2229.290,0,219.342,270.272,255,255
1,271.291,1055.581,308.950,0,1101.772,56.792,0,256.354,259.430,255,255
1,263.975,539.906,655.005,0,725.428,520.218,0,229.316,253.289,255,255
1,260.861,1369.075,2126.306,0,1391.034,1910.495,0,216.925,245.696,255,255
1,257.527,1299.409,1349.387,0,1375.890,1551.567,0,216.163,246.229,255,255
1,257.407,137.816,1320.612,0,265.788,1522.793,0,239.278,243.687,255,255
1,253.507,1185.067,18.174,0,1260.033,212.025,0,207.842,241.205,255,255
1,251.280,573.224,967.742,0,592.155,1209.299,0,242.298,243.690,255,255
1,249.407,1013.933,868.545,0,1048.766,636.075,0,235.065,240.304,255,255
1,246.020,1081.327,592.912,0,1302.438,651.976,0,228.864,231.106,255,255
1,243.498,305.164,412.691,0,511.889,498.258,0,223.733,228.339,255,255
1,241.109,44.677,351.355,0,263.517,311.222,0,222.490,226.796,255,255
1,239.909,1044.980,1089.656,0,1262.305,1144.177,0,224.060,227.890,255,255
1,239.703,1297.138,864.758,0,1302.438,651.976,0,212.848,227.176,255,255
1,236.670,742.087,526.276,0,880.660,691.352,0,215.529,224.692,255,255
1,236.557,1082.841,463.426,0,1304.710,477.056,0,222.287,227.468,255,255
1,235.894,1327.427,397.547,0,1391.034,211.268,0,196.839,224.172,255,255
1,232.825,98.440,1635.620,0,102.226,1853.703,0,218.116,223.436,255,255
1,232.310,123.429,1310.011,0,153.718,1136.605,0,176.032,221.486,255,255
1,223.715,1262.305,1144.177,0,1299.409,1349.387,0,208.537,210.795,255,255
1,222.439,573.982,370.286,0,775.405,334.696,0,204.544,210.214,255,255
1,221.627,916.250,1411.480,0,1118.431,1405.422,0,202.272,210.495,255,255
1,221.520,368.015,952.597,0,573.224,967.742,0,205.768,211.596,255,255
1,220.373,1118.431,1405.422,0,1159.322,1607.603,0,206.274,207.984,255,255
1,219.736,1055.581,308.950,0,1266.848,302.135,0,211.377,212.712,255,255
1,218.994,1159.322,1607.603,0,1325.912,1728.760,0,205.989,208.166,255,255
1,218.934,357.413,964.713,0,393.003,1167.651,0,206.035,208.623,255,255
