Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,201.368,356.385,743.100,0,444.343,602.062,0,166.218,188.089,255,255
1,170.346,153.170,774.947,0,151.653,627.843,0,147.111,159.943,255,255
1,162.179,461.025,0.000,0,442.827,144.070,0,145.215,155.978,255,255
1,153.556,274.492,216.864,0,274.492,350.318,0,133.455,145.980,255,255
1,151.824,271.459,414.013,0,301.790,552.017,0,141.298,142.835,255,255
1,150.478,83.409,377.616,0,169.851,477.707,0,132.252,138.593,255,255
1,148.962,542.918,166.818,0,555.050,45.496,0,121.928,133.887,255,255
1,143.093,56.112,189.566,0,60.661,316.955,0,127.470,133.617,255,255
1,141.684,571.732,351.835,0,621.777,467.091,0,125.653,129.879,255,255
1,141.056,615.711,497.422,0,700.637,573.248,0,113.851,128.627,255,255
1,137.592,274.492,410.980,0,406.430,412.496,0,131.947,132.381,255,255
1,134.990,697.604,451.926,0,705.187,568.699,0,117.019,126.208,255,255
1,131.957,272.975,78.860,0,313.922,192.599,0,120.886,121.589,255,255
1,131.760,409.463,409.463,0,464.058,316.955,0,107.417,124.917,255,255
1,126.088,0.000,580.831,0,119.806,568.699,0,120.419,121.528,255,255
1,125.998,406.430,412.496,0,448.893,517.137,0,112.928,118.497,255,255
1,125.065,632.393,668.790,0,700.637,573.248,0,117.411,118.902,255,255
1,123.486,527.753,623.294,0,632.393,668.790,0,114.103,113.664,255,255
1,122.445,307.856,62.178,0,382.166,144.070,0,110.582,112.585,255,255
1,122.166,301.790,552.017,0,417.046,547.467,0,115.346,116.151,255,255
1,121.906,203.215,65.211,0,213.831,178.951,0,114.234,112.415,255,255
1,118.460,0.000,100.091,0,104.641,72.793,0,108.143,112.696,255,255
1,118.263,774.947,69.760,0,685.472,134.971,0,110.717,114.651,255,255
1,118.048,118.289,80.376,0,131.938,178.951,0,99.515,108.201,255,255
1,117.787,523.203,526.236,0,527.753,623.294,0,97.165,109.928,255,255
1,117.204,365.484,323.021,0,397.331,219.897,0,107.930,110.316,255,255
1,116.944,89.475,371.550,0,192.599,341.219,0,107.492,106.846,255,255
1,115.751,236.579,618.744,0,292.690,711.253,0,108.196,107.827,255,255
1,114.951,641.492,774.947,0,632.393,668.790,0,106.546,108.704,255,255
1,111.201,774.947,209.281,0,686.988,153.170,0,104.332,106.666,255,255
1,109.684,545.951,188.050,0,632.393,244.161,0,103.057,101.997,255,255
1,109.164,169.851,477.707,0,250.227,412.496,0,103.502,98.909,255,255
1,105.547,365.484,323.021,0,409.463,409.463,0,96.987,97.221,255,255
1,104.444,523.203,526.236,0,615.711,497.422,0,96.892,96.917,255,255
1,102.299,274.492,350.318,0,365.484,323.021,0,94.998,95.287,255,255
1,101.715,444.343,244.161,0,542.918,236.579,0,98.866,96.406,255,255
1,100.953,40.946,0.000,0,104.641,72.793,0,96.726,95.288,255,255
1,98.333,650.591,263.876,0,729.451,310.889,0,91.810,88.568,255,255
1,98.063,169.851,477.707,0,224.446,545.951,0,87.395,86.320,255,255
1,96.233,151.653,627.843,0,236.579,618.744,0,85.412,90.864,255,255
1,96.036,192.599,341.219,0,250.227,412.496,0,91.659,88.309,255,255
1,94.304,633.910,330.604,0,711.253,371.550,0,87.513,86.662,255,255
1,93.980,456.476,175.918,0,542.918,166.818,0,86.920,86.361,255,255
1,93.460,444.343,602.062,0,527.753,623.294,0,86.069,85.545,255,255
1,92.464,118.289,80.376,0,203.215,65.211,0,86.269,85.568,255,255
1,91.055,464.058,316.955,0,544.434,324.537,0,80.733,86.970,255,255
1,90.122,203.215,262.360,0,274.492,216.864,0,84.559,85.487,255,255
1,88.434,0.000,389.748,0,83.409,377.616,0,84.287,85.035,255,255
1,86.658,632.393,244.161,0,638.459,163.785,0,80.605,79.202,255,255
1,85.769,192.599,341.219,0,203.215,262.360,0,79.571,77.482,255,255
1,84.792,362.451,0.000,0,307.856,62.178,0,82.745,83.592,255,255
1,83.993,56.112,189.566,0,131.938,178.951,0,76.566,77.272,255,255
1,83.885,145.587,539.885,0,224.446,545.951,0,79.093,76.681,255,255
1,82.324,774.947,562.633,0,705.187,568.699,0,70.024,77.423,255,255
1,82.216,444.343,244.161,0,464.058,316.955,0,75.416,72.986,255,255
1,82.108,621.777,467.091,0,697.604,451.926,0,77.328,76.884,255,255
1,80.592,448.893,517.137,0,523.203,526.236,0,74.865,74.206,255,255
1,79.919,213.831,178.951,0,280.558,204.732,0,71.535,73.653,255,255
1,79.733,542.918,166.818,0,614.195,148.620,0,73.563,68.849,255,255
1,79.703,706.703,444.343,0,711.253,371.550,0,72.935,73.634,255,255
1,78.250,397.331,219.897,0,456.476,175.918,0,73.704,69.809,255,255
1,77.666,555.050,45.496,0,623.294,68.244,0,71.935,70.289,255,255
1,77.514,614.195,148.620,0,641.492,84.926,0,69.297,71.819,255,255
1,77.146,225.963,0.000,0,203.215,65.211,0,69.065,74.638,255,255
1,76.886,292.690,711.253,0,356.385,743.100,0,71.212,70.958,255,255
1,75.414,203.215,65.211,0,272.975,78.860,0,71.083,66.546,255,255
1,73.269,614.195,0.000,0,623.294,68.244,0,68.848,69.963,255,255
1,72.641,774.947,439.794,0,706.703,444.343,0,68.395,69.349,255,255
1,72.336,119.806,568.699,0,151.653,627.843,0,67.174,66.117,255,255
1,72.228,145.587,539.885,0,169.851,477.707,0,66.745,65.923,255,255
1,72.228,571.732,351.835,0,633.910,330.604,0,65.703,65.888,255,255
1,70.604,279.042,774.947,0,292.690,711.253,0,65.140,66.368,255,255
1,69.240,235.062,555.050,0,301.790,552.017,0,66.796,64.025,255,255
1,69.195,178.951,203.215,0,203.215,262.360,0,63.929,63.286,255,255
1,68.675,60.661,316.955,0,89.475,371.550,0,61.732,65.097,255,255
1,68.262,641.492,84.926,0,685.472,134.971,0,66.624,63.071,255,255
1,68.199,274.492,350.318,0,274.492,410.980,0,60.661,60.212,255,255
1,68.199,711.253,371.550,0,729.451,310.889,0,63.332,62.558,255,255
1,68.091,235.062,555.050,0,236.579,618.744,0,63.712,60.353,255,255
1,67.051,542.918,236.579,0,559.600,294.207,0,59.994,61.101,255,255
1,66.315,0.000,306.339,0,60.661,316.955,0,61.583,62.083,255,255
1,65.902,417.046,547.467,0,444.343,602.062,0,61.039,59.277,255,255
1,64.798,559.600,294.207,0,618.744,289.657,0,59.319,59.412,255,255
1,64.430,382.166,144.070,0,442.827,144.070,0,60.661,60.411,255,255
1,63.389,367.000,198.665,0,382.166,144.070,0,56.662,54.445,255,255
1,61.765,0.000,175.918,0,56.112,189.566,0,57.748,57.979,255,255
1,57.431,526.236,0.000,0,555.050,45.496,0,53.853,53.946,255,255
1,57.063,131.938,178.951,0,178.951,203.215,0,52.905,52.329,255,255
1,56.681,397.331,219.897,0,444.343,244.161,0,52.905,45.910,255,255
1,55.591,313.922,192.599,0,367.000,198.665,0,53.424,51.922,255,255
1,54.182,638.459,163.785,0,686.988,153.170,0,49.676,47.900,255,255
1,52.298,542.918,236.579,0,545.951,188.050,0,48.624,46.063,255,255
1,49.265,774.947,319.988,0,729.451,310.889,0,46.397,47.358,255,255
1,47.228,618.744,289.657,0,633.910,330.604,0,43.664,40.887,255,255
1,45.299,417.046,547.467,0,448.893,517.137,0,43.979,38.653,255,255
1,44.931,178.951,203.215,0,213.831,178.951,0,42.490,39.711,255,255
1,43.414,618.744,289.657,0,650.591,263.876,0,40.974,40.639,255,255
1,41.790,272.975,78.860,0,307.856,62.178,0,38.664,36.090,255,255
1,40.381,119.806,568.699,0,145.587,539.885,0,38.664,36.273,255,255
1,39.125,367.000,198.665,0,397.331,219.897,0,37.023,33.533,255,255
1,38.605,544.434,324.537,0,571.732,351.835,0,38.605,36.460,255,255
1,38.389,280.558,204.732,0,313.922,192.599,0,35.501,31.545,255,255
1,37.501,442.827,144.070,0,456.476,175.918,0,34.649,32.416,255,255
1,36.872,368.517,774.947,0,356.385,743.100,0,34.080,35.076,255,255
1,36.612,544.434,324.537,0,559.600,294.207,0,33.911,33.019,255,255
1,33.732,615.711,497.422,0,621.777,467.091,0,30.931,28.324,255,255
1,30.546,614.195,148.620,0,638.459,163.785,0,28.614,25.109,255,255
1,27.253,632.393,244.161,0,650.591,263.876,0,26.830,25.331,255,255
1,25.997,623.294,68.244,0,641.492,84.926,0,24.687,21.538,255,255
1,23.744,542.918,166.818,0,545.951,188.050,0,21.447,18.345,255,255
1,23.116,250.227,412.496,0,271.459,414.013,0,21.286,18.318,255,255
1,18.827,685.472,134.971,0,686.988,153.170,0,18.261,13.649,255,255
1,16.790,104.641,72.793,0,118.289,80.376,0,15.614,14.590,255,255
1,15.901,274.492,216.864,0,280.558,204.732,0,13.564,13.690,255,255
1,14.385,224.446,545.951,0,235.062,555.050,0,13.982,12.463,255,255
1,13.128,697.604,451.926,0,706.703,444.343,0,11.844,8.447,255,255
1,9.467,83.409,377.616,0,89.475,371.550,0,8.579,5.806,255,255
1,7.322,700.637,573.248,0,705.187,568.699,0,6.434,3.661,255,255
1,4.289,271.459,414.013,0,274.492,410.980,0,4.289,2.145,255,255
1,4.289,406.430,412.496,0,409.463,409.463,0,4.289,0.000,0,0
