Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,411.105,0.000,289.131,0,89.313,59.037,0,246.820,398.856,255,255
1,125.402,0.000,116.561,0,89.313,59.037,0,106.234,120.245,255,255
1,77.221,133.212,0.000,0,89.313,59.037,0,73.570,74.352,255,255
2,746.699,1301.847,2641.538,0,1631.850,2187.405,0,561.372,710.792,255,255
2,646.430,1248.865,4155.313,0,1447.169,3819.255,0,390.205,609.286,255,255
2,639.551,22.707,367.847,0,522.252,78.716,0,577.185,596.633,255,255
2,590.483,3975.174,422.343,0,4138.662,386.013,0,167.476,556.302,255,255
2,561.496,2201.029,3580.079,0,2590.070,3275.810,0,493.895,533.008,255,255
2,506.124,5554.042,19.679,0,5573.721,395.095,0,375.932,480.778,255,255
2,501.634,2985.165,608.538,0,3151.680,281.562,0,366.934,470.424,255,255
2,498.447,3984.257,3891.916,0,4282.470,3913.109,0,298.966,469.200,255,255
2,496.800,1289.737,1230.699,0,1645.474,933.999,0,463.228,478.208,255,255
2,488.756,4103.845,4321.829,0,4447.472,4052.377,0,436.674,471.787,255,255
2,477.451,2219.195,3312.140,0,2338.783,3032.092,0,304.514,454.072,255,255
2,475.588,1074.781,1114.139,0,1289.737,765.970,0,409.179,452.336,255,255
2,462.788,1341.205,2010.294,0,1624.281,1722.676,0,403.554,437.800,255,255
2,455.219,652.437,2638.510,0,673.630,2865.577,0,228.053,428.339,255,255
2,454.073,208.901,404.178,0,567.666,216.470,0,404.903,429.046,255,255
2,450.633,1068.725,2170.754,0,1341.205,2010.294,0,316.216,429.381,255,255
2,446.493,4629.125,3443.839,0,4794.127,3723.887,0,325.043,424.932,255,255
2,443.154,257.342,4302.150,0,502.573,4049.349,0,352.203,418.898,255,255
2,426.825,918.862,744.777,0,929.458,472.298,0,272.686,404.437,255,255
2,426.806,239.177,1400.242,0,584.317,1294.278,0,361.041,405.083,255,255
2,426.376,1418.408,4240.085,0,1780.200,4096.276,0,389.326,393.934,255,255
2,420.707,1395.701,3525.583,0,1722.676,3339.388,0,376.273,400.772,255,255
2,419.757,5996.064,484.408,0,6158.038,772.025,0,330.090,394.961,255,255
2,419.282,2279.746,3693.612,0,2344.838,4040.266,0,352.713,403.366,255,255
2,418.807,3295.489,504.087,0,3460.490,171.057,0,371.665,396.144,255,255
2,418.217,1177.717,3776.870,0,1447.169,3819.255,0,272.765,399.633,255,255
2,414.392,2777.778,1763.548,0,3019.982,1702.997,0,249.658,398.494,255,255
2,411.561,249.773,3914.623,0,584.317,3841.962,0,342.344,389.952,255,255
2,411.320,1507.720,4379.352,0,1822.586,4153.800,0,387.317,388.222,255,255
2,410.173,1356.343,2789.888,0,1659.098,2599.152,0,357.828,395.530,255,255
2,409.680,2459.885,4329.398,0,2765.668,4141.689,0,358.800,393.010,255,255
2,409.008,348.168,476.839,0,678.171,298.214,0,375.245,386.395,255,255
2,408.515,326.975,4508.023,0,622.162,4327.884,0,345.811,379.064,255,255
2,404.512,0.000,2764.154,0,333.031,2597.639,0,372.340,382.616,255,255
2,402.972,236.149,2016.349,0,408.719,1863.457,0,230.556,384.760,255,255
2,402.953,2058.734,3919.164,0,2204.057,3595.216,0,355.051,380.963,255,255
2,400.839,6307.902,2727.823,0,6445.655,2493.188,0,272.084,376.898,255,255
2,400.490,4774.447,1674.236,0,4795.640,1342.719,0,332.194,375.883,255,255
2,396.512,422.343,705.419,0,759.915,599.455,0,353.812,375.157,255,255
2,395.518,1024.826,4429.307,0,1357.856,4399.031,0,334.404,370.297,255,255
2,394.783,896.155,1898.274,0,1068.725,2170.754,0,322.530,369.195,255,255
2,392.743,3069.936,1124.735,0,3313.654,1044.505,0,256.584,379.227,255,255
2,391.084,3970.633,1374.508,0,3993.339,1706.025,0,332.294,370.614,255,255
2,385.549,2555.253,2232.819,0,2730.851,2302.452,0,188.901,363.161,255,255
2,385.029,4414.169,363.306,0,4442.931,52.982,0,311.654,368.523,255,255
2,384.725,4901.605,2334.242,0,4924.311,2475.023,0,142.601,362.932,255,255
2,379.861,261.883,3351.499,0,525.280,3315.168,0,265.891,354.151,255,255
2,378.777,1554.647,4536.785,0,1861.944,4364.214,0,352.437,354.686,255,255
2,377.675,1999.697,1802.906,0,2128.368,1503.179,0,326.179,358.640,255,255
2,376.763,1042.991,3540.721,0,1321.526,3312.140,0,360.320,365.714,255,255
2,375.794,1908.871,3684.529,0,2058.734,3919.164,0,278.411,354.460,255,255
2,369.891,4620.042,1362.398,0,4756.282,1374.508,0,136.777,351.401,255,255
2,369.802,1046.019,2412.958,0,1076.294,2194.974,0,220.076,354.892,255,255
2,367.034,2650.621,2904.935,0,2745.988,2977.596,0,119.894,350.872,255,255
2,365.521,1908.871,3684.529,0,2201.029,3580.079,0,310.269,349.235,255,255
2,364.025,6382.077,3642.144,0,6603.088,3914.623,0,350.843,354.864,255,255
2,363.792,5330.003,2767.181,0,5367.847,3063.881,0,299.104,343.401,255,255
