Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,376.999,622.539,1281.430,0,951.227,1258.709,0,329.473,357.470,255,255
1,350.666,1223.872,546.804,0,1316.268,316.571,0,248.081,330.917,255,255
1,323.966,967.889,701.303,0,1261.739,649.803,0,298.329,303.937,255,255
1,322.388,1279.915,861.860,0,1582.854,872.463,0,303.124,309.411,255,255
1,299.812,375.644,1417.752,0,616.480,1275.371,0,279.776,281.187,255,255
1,296.352,1101.181,283.248,0,1243.563,133.293,0,206.782,282.324,255,255
1,295.034,645.259,378.673,0,661.921,639.200,0,261.059,272.840,255,255
1,293.152,866.404,427.143,0,1126.931,348.379,0,272.173,276.526,255,255
1,282.549,820.963,810.360,0,967.889,701.303,0,182.977,264.837,255,255
1,282.074,1026.962,925.477,0,1273.856,866.404,0,253.864,264.501,255,255
1,278.302,1290.518,302.939,0,1487.428,125.719,0,264.915,266.914,255,255
1,278.094,1735.838,472.584,0,1996.365,430.173,0,263.957,265.863,255,255
1,274.196,204.483,196.910,0,431.687,104.514,0,245.273,261.731,255,255
1,262.769,1701.000,455.922,0,1885.792,310.512,0,235.144,248.248,255,255
1,262.276,1046.653,1083.005,0,1284.459,1026.962,0,244.321,246.096,255,255
1,252.300,49.985,951.227,0,75.735,731.596,0,221.135,237.845,255,255
1,248.473,624.053,963.344,0,861.860,967.889,0,237.850,237.935,255,255
1,246.869,1670.706,1337.473,0,1891.851,1278.400,0,228.899,230.731,255,255
1,242.236,1631.324,657.377,0,1734.323,851.257,0,219.542,226.083,255,255
1,240.676,614.965,949.712,0,804.302,830.051,0,223.980,230.257,255,255
1,237.565,1011.815,95.426,0,1229.930,51.500,0,222.495,223.677,255,255
1,237.521,218.116,266.586,0,318.085,366.556,0,141.379,219.583,255,255
1,237.143,1754.014,978.491,0,1967.586,984.550,0,213.658,219.889,255,255
1,236.418,675.553,1123.902,0,890.639,1081.490,0,219.228,221.783,255,255
1,235.334,1519.237,671.009,0,1582.854,872.463,0,211.260,220.545,255,255
1,234.796,1352.620,1146.622,0,1569.221,1129.961,0,217.241,221.949,255,255
1,223.153,1631.324,657.377,0,1831.263,610.421,0,205.379,211.212,255,255
1,223.090,63.617,551.348,0,274.159,527.113,0,211.932,210.663,255,255
1,222.786,1937.292,1408.664,0,2138.746,1357.164,0,207.933,209.766,255,255
1,219.972,2058.467,555.892,0,2085.732,748.258,0,194.288,204.769,255,255
1,219.883,368.070,1243.563,0,543.775,1139.049,0,204.439,208.163,255,255
1,218.090,316.571,624.053,0,508.937,580.127,0,197.317,199.106,255,255
1,217.874,1278.400,663.435,0,1279.915,861.860,0,198.431,205.740,255,255
1,213.913,1872.160,619.509,0,2058.467,555.892,0,196.869,198.200,255,255
1,211.923,322.630,867.919,0,374.129,1057.255,0,196.216,200.866,255,255
1,210.884,368.070,1243.563,0,371.100,1060.285,0,183.303,198.141,255,255
1,209.889,937.595,564.980,0,1122.387,507.422,0,193.549,192.535,255,255
1,206.061,1758.558,1076.946,0,1953.953,1069.373,0,195.542,196.266,255,255
1,205.174,1040.594,1214.783,0,1234.474,1220.842,0,193.975,195.030,255,255
1,204.394,1302.636,970.918,0,1491.972,980.006,0,189.555,195.972,255,255
1,202.468,1903.968,746.743,0,2085.732,748.258,0,181.769,186.689,255,255
1,202.315,890.639,1081.490,0,951.227,1258.709,0,187.290,187.869,255,255
1,201.903,1243.563,133.293,0,1285.974,302.939,0,174.867,187.881,255,255
1,200.953,1278.400,663.435,0,1458.649,616.480,0,186.264,186.608,255,255
1,199.223,451.378,221.145,0,634.656,212.057,0,183.503,189.963,255,255
1,198.399,49.985,0.000,0,92.396,137.837,0,144.214,183.582,255,255
1,198.354,461.981,1461.678,0,627.083,1381.400,0,183.584,181.005,255,255
1,196.884,695.244,371.100,0,866.404,427.143,0,180.102,190.642,255,255
1,196.776,926.992,231.748,0,1101.181,283.248,0,181.643,188.163,255,255
1,195.262,75.735,731.596,0,248.410,677.068,0,181.080,182.004,255,255
1,195.217,1852.469,820.963,0,2017.570,893.669,0,180.401,181.077,255,255
1,191.605,2167.525,477.128,0,1999.394,422.599,0,176.752,186.528,255,255
1,191.130,0.000,334.747,0,27.264,489.246,0,156.886,177.815,255,255
1,190.135,508.937,580.127,0,516.510,404.423,0,175.867,182.394,255,255
1,189.660,1520.751,463.496,0,1701.000,455.922,0,180.407,180.357,255,255
1,189.507,1696.456,263.556,0,1872.160,278.703,0,176.356,180.126,255,255
1,189.310,804.302,83.308,0,864.889,242.351,0,170.192,177.014,255,255
1,187.751,2020.600,210.542,0,2072.099,360.497,0,158.551,175.993,255,255
1,183.207,1491.972,980.006,0,1569.221,1129.961,0,168.683,172.206,255,255
1,182.687,1735.838,472.584,0,1831.263,610.421,0,167.646,169.888,255,255
1,182.041,351.409,442.290,0,516.510,404.423,0,169.388,171.381,255,255
