Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,955.333,357.413,0.000,0,590.641,743.601,0,779.319,930.175,255,255
1,747.539,742.087,40.891,0,1117.674,554.294,0,636.120,720.830,255,255
1,696.627,54.521,0.000,0,116.614,670.907,0,673.774,685.966,255,255
1,652.752,186.279,0.000,0,212.025,634.560,0,635.082,646.685,255,255
1,586.394,742.087,40.891,0,805.694,592.155,0,554.922,572.093,255,255
1,376.073,2194.457,2239.891,0,2002.120,1964.259,0,336.105,360.058,255,255
1,349.054,1741.633,2083.901,0,1858.246,2020.294,0,132.833,328.417,255,255
1,347.495,321.066,692.110,0,372.558,984.401,0,296.792,330.392,255,255
1,342.699,1523.550,0.000,0,1493.261,330.153,0,331.539,337.842,255,255
1,321.452,2824.474,2239.891,0,2745.722,1968.802,0,282.296,311.372,255,255
1,320.628,2568.529,199.909,0,2701.802,407.391,0,246.597,303.626,255,255
1,320.134,1290.323,0.000,0,1294.866,311.979,0,312.012,313.539,255,255
1,314.247,1700.742,25.746,0,1723.459,315.008,0,290.153,302.273,255,255
1,299.140,513.403,1420.566,0,598.213,1659.852,0,253.870,280.743,255,255
1,297.302,1700.742,25.746,0,1930.940,159.019,0,265.994,290.053,255,255
1,293.323,65.122,1129.789,0,137.816,1384.219,0,264.611,276.837,255,255
1,292.239,2351.961,608.814,0,2479.176,846.585,0,269.664,271.997,255,255
1,291.441,813.267,1843.102,0,829.926,1588.672,0,254.975,277.249,255,255
1,291.334,1063.153,1382.705,0,1316.068,1435.711,0,258.410,281.923,255,255
1,285.858,2835.075,0.000,0,2719.976,230.198,0,257.370,274.674,255,255
1,284.864,2403.453,0.000,0,2382.250,225.655,0,226.649,277.174,255,255
1,280.409,1284.265,567.924,0,1294.866,311.979,0,256.164,264.204,255,255
1,278.394,2342.874,2000.606,0,2532.182,2123.277,0,225.579,263.092,255,255
1,275.302,2370.135,236.256,0,2447.372,477.056,0,252.884,258.472,255,255
1,269.567,116.614,670.907,0,155.990,872.331,0,205.236,257.778,255,255
1,264.790,2692.715,2239.891,0,2532.182,2123.277,0,198.418,255.036,255,255
1,256.824,1493.261,330.153,0,1706.800,434.651,0,237.737,245.278,255,255
1,256.178,2239.891,845.070,0,2471.604,861.730,0,232.311,243.991,255,255
1,254.511,1405.422,542.178,0,1631.077,575.496,0,228.101,240.005,255,255
1,254.404,2532.182,2123.277,0,2573.073,1915.796,0,211.472,241.975,255,255
1,253.535,828.411,1906.709,0,1037.407,1811.298,0,229.745,242.761,255,255
1,249.556,2267.151,428.593,0,2370.135,236.256,0,218.172,233.592,255,255
1,248.650,1017.719,834.469,0,1019.234,1066.182,0,231.718,233.742,255,255
1,248.517,813.267,1843.102,0,1022.263,1790.095,0,215.613,234.243,255,255
1,247.262,1222.172,1070.725,0,1382.705,1172.194,0,189.913,234.375,255,255
1,245.165,1659.852,766.318,0,1732.546,981.372,0,227.008,224.841,255,255
1,235.837,109.041,1793.124,0,128.729,1973.345,0,181.293,222.664,255,255
1,235.514,1930.940,159.019,0,2050.583,310.465,0,193.003,224.112,255,255
1,235.388,1556.868,929.880,0,1587.157,713.312,0,218.676,221.079,255,255
1,234.348,449.796,934.424,0,660.306,991.973,0,218.235,222.606,255,255
1,230.970,1250.947,2142.965,0,1426.624,2106.618,0,179.398,218.329,255,255
1,230.907,620.930,1861.275,0,692.110,2062.699,0,213.631,219.382,255,255
1,230.818,2382.250,225.655,0,2568.529,199.909,0,188.050,218.154,255,255
1,230.217,1405.422,542.178,0,1425.110,330.153,0,212.937,217.765,255,255
1,229.823,1911.252,1691.655,0,1943.056,1512.949,0,181.515,216.062,255,255
1,229.285,914.736,617.901,0,1117.674,554.294,0,212.673,214.948,255,255
1,226.947,1796.153,495.229,0,1938.513,360.442,0,196.045,215.485,255,255
1,225.647,0.000,1020.748,0,162.048,895.048,0,205.085,218.497,255,255
1,225.540,789.035,910.192,0,973.800,811.752,0,209.352,213.508,255,255
1,224.526,1378.161,702.711,0,1582.614,690.595,0,204.811,212.777,255,255
1,223.855,832.955,2165.682,0,1001.060,2144.480,0,169.437,207.576,255,255
1,223.443,2058.155,321.066,0,2202.029,443.738,0,189.071,212.675,255,255
1,218.684,310.465,1356.959,0,502.802,1387.248,0,194.707,204.471,255,255
1,218.379,321.066,692.110,0,449.796,828.411,0,187.482,201.726,255,255
1,216.390,513.403,1879.449,0,564.895,2065.728,0,193.265,201.065,255,255
1,216.282,2105.104,1373.618,0,2124.792,1184.310,0,190.329,205.900,255,255
1,215.306,2782.069,938.967,0,2803.271,1111.616,0,173.946,205.070,255,255
1,214.894,146.903,1562.926,0,293.806,1426.624,0,200.396,208.523,255,255
1,214.482,2062.699,982.887,0,2217.174,1061.639,0,173.391,209.441,255,255
1,214.267,283.205,1821.899,0,449.796,1709.829,0,200.779,205.204,255,255
1,212.975,155.990,669.393,0,155.990,872.331,0,202.938,202.745,255,255
1,212.778,2729.063,1608.360,0,2769.953,1799.182,0,195.154,200.627,255,255
1,210.072,137.816,1384.219,0,146.903,1562.926,0,178.938,199.923,255,255
1,209.812,2573.073,1915.796,0,2745.722,1968.802,0,180.603,198.812,255,255
1,209.185,222.626,1929.426,0,293.806,2106.618,0,190.955,193.064,255,255
1,208.773,848.099,1111.616,0,1019.234,1066.182,0,177.063,195.675,255,255
1,206.676,1069.211,1400.878,0,1140.391,1578.071,0,190.955,198.111,255,255
1,206.542,1462.971,1202.484,0,1588.672,1048.008,0,199.156,198.212,255,255
1,205.842,507.345,1141.905,0,673.936,1046.494,0,191.979,191.287,255,255
1,203.146,1367.560,1049.523,0,1494.775,902.620,0,194.330,194.608,255,255
1,200.878,2021.808,1941.542,0,2183.856,1862.790,0,180.170,185.476,255,255
1,200.770,2186.885,461.911,0,2195.972,637.589,0,175.913,188.342,255,255
1,199.426,507.345,1141.905,0,601.242,1302.438,0,185.977,187.227,255,255
1,197.382,407.391,993.488,0,507.345,1141.905,0,178.938,183.004,255,255
1,196.613,377.101,1544.752,0,513.403,1420.566,0,184.392,187.664,255,255
1,196.442,377.101,1544.752,0,449.796,1709.829,0,180.374,181.296,255,255
1,196.379,1723.459,315.008,0,1899.137,268.060,0,181.843,181.567,255,255
1,196.012,146.903,1562.926,0,180.221,1740.118,0,180.297,182.050,255,255
1,195.599,2061.184,1011.661,0,2121.763,1181.281,0,180.113,179.805,255,255
1,194.991,1664.395,1500.833,0,1817.356,1435.711,0,166.246,185.232,255,255
1,194.040,2716.947,466.455,0,2791.156,628.502,0,178.231,182.108,255,255
1,193.977,2629.108,519.461,0,2677.571,692.110,0,179.322,183.901,255,255
1,193.432,957.141,1263.062,0,1085.870,1128.275,0,186.384,188.119,255,255
1,192.481,1203.998,1637.135,0,1356.959,1541.723,0,180.278,182.426,255,255
1,191.531,2544.298,737.544,0,2615.478,899.591,0,176.991,177.805,255,255
1,190.340,1063.153,1382.705,0,1211.570,1285.779,0,177.263,183.445,255,255
1,190.232,280.176,1835.529,0,434.651,1921.854,0,176.959,177.709,255,255
1,190.080,2342.874,2000.606,0,2482.205,1893.079,0,175.997,177.912,255,255
1,189.345,1520.521,1996.062,0,1643.192,1877.934,0,170.301,179.627,255,255
1,188.547,2244.434,1897.622,0,2368.620,1817.356,0,147.868,176.876,255,255
1,188.287,449.796,1194.911,0,505.831,1359.988,0,174.328,173.191,255,255
1,187.095,2688.172,1203.998,0,2748.751,1358.473,0,165.929,176.652,255,255
1,187.032,1700.742,510.374,0,1755.263,673.936,0,172.410,174.011,255,255
1,184.542,1735.575,1575.042,0,1834.015,1447.827,0,160.854,179.347,255,255
1,184.263,1600.788,1379.676,0,1764.350,1353.930,0,165.576,172.738,255,255
1,183.376,784.492,938.967,0,832.955,1101.015,0,169.139,169.887,255,255
1,183.332,1426.624,2106.618,0,1581.100,2115.705,0,154.742,170.328,255,255
1,183.287,854.157,1397.849,0,943.511,1543.238,0,170.651,171.686,255,255
1,182.856,1949.114,1519.007,0,2006.664,1678.025,0,169.112,166.521,255,255
1,182.463,2903.226,746.630,0,2779.040,872.331,0,176.700,178.856,255,255
1,182.122,2046.040,1216.114,0,2073.300,1378.161,0,164.324,173.719,255,255
1,181.450,2105.104,1373.618,0,2259.579,1356.959,0,155.371,171.208,255,255
1,181.038,2482.205,1449.341,0,2630.622,1491.746,0,154.356,173.759,255,255
1,178.484,1120.703,1144.934,0,1211.570,1285.779,0,167.614,166.288,255,255
1,178.250,1322.126,1874.905,0,1487.203,1885.507,0,165.417,167.666,255,255
1,177.856,1637.135,1169.166,0,1777.980,1104.044,0,155.172,169.423,255,255
1,177.211,181.736,1055.581,0,269.574,1158.564,0,135.356,167.109,255,255
1,177.014,417.992,2032.410,0,564.895,2065.728,0,150.634,168.313,255,255
1,175.974,449.796,828.411,0,590.641,743.601,0,164.408,169.896,255,255
1,175.715,2903.226,433.136,0,2763.895,345.298,0,164.708,170.033,255,255
1,175.177,460.397,1718.916,0,507.345,1873.391,0,161.452,158.089,255,255
1,175.024,137.816,1384.219,0,287.748,1323.641,0,161.708,166.707,255,255
1,174.182,837.498,1940.027,0,993.488,1968.802,0,158.621,166.963,255,255
1,173.940,2669.998,1185.825,0,2797.213,1107.073,0,149.618,165.475,255,255
1,173.662,1182.796,839.013,0,1226.715,991.973,0,159.141,161.806,255,255
1,173.358,1858.246,1965.773,0,2002.120,1964.259,0,143.882,153.555,255,255
1,173.358,2585.189,1682.569,0,2656.368,1826.443,0,160.519,160.223,255,255
1,173.250,1220.657,1659.852,0,1275.178,1806.755,0,156.694,162.011,255,255
