Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,556.363,3099.454,2283.105,0,3484.798,2170.620,0,401.426,526.050,255,255
1,505.804,981.178,2503.620,0,1169.395,2274.195,0,296.751,477.887,255,255
1,501.303,3105.023,653.748,0,3370.086,641.497,0,265.346,475.411,255,255
1,494.206,1300.813,1432.231,0,1528.010,1755.207,0,394.882,473.028,255,255
1,473.809,5.569,3047.110,0,346.364,2968.037,0,349.848,442.789,255,255
1,449.196,2636.151,557.969,0,3005.903,547.945,0,369.887,432.572,255,255
1,444.760,3072.725,2812.117,0,3226.417,3080.521,0,309.293,422.228,255,255
1,441.255,3247.578,1158.258,0,3429.112,1095.890,0,191.949,413.801,255,255
1,436.405,64.595,3299.922,0,309.611,3210.825,0,260.713,409.716,255,255
1,421.149,1183.873,1450.050,0,1250.696,1815.347,0,371.358,398.308,255,255
1,417.524,332.999,232.765,0,417.641,575.788,0,353.311,398.538,255,255
1,417.360,3295.467,2980.287,0,3581.691,3120.615,0,318.772,394.938,255,255
1,416.991,2772.024,2993.652,0,2921.261,3260.942,0,306.130,397.099,255,255
1,411.889,524.557,2004.678,0,620.336,2368.861,0,376.567,392.427,255,255
1,408.371,3567.212,392.026,0,3656.309,518.989,0,155.106,386.062,255,255
1,387.710,2608.308,1133.757,0,2972.491,1128.188,0,364.226,373.931,255,255
1,387.085,5.569,3047.110,0,340.795,3050.451,0,335.243,367.211,255,255
1,385.925,907.673,1711.772,0,1250.696,1815.347,0,358.319,363.523,255,255
1,385.720,2122.731,1758.548,0,2293.128,1553.625,0,266.512,364.753,255,255
1,384.172,4269.963,3084.976,0,4336.786,2825.482,0,267.960,361.669,255,255
1,383.222,606.972,1550.284,0,668.226,1899.989,0,355.029,365.770,255,255
1,377.430,2632.810,1367.636,0,2974.719,1284.107,0,351.964,355.656,255,255
1,371.362,2126.072,1139.325,0,2299.811,1433.344,0,341.515,351.364,255,255
1,369.121,4569.551,574.674,0,4345.696,456.621,0,253.077,353.550,255,255
1,366.293,2258.603,1140.439,0,2578.238,1195.011,0,324.260,347.859,255,255
1,364.666,3194.120,113.598,0,3498.162,55.685,0,309.509,342.346,255,255
1,364.098,2209.600,747.299,0,2543.713,683.818,0,340.090,347.688,255,255
1,361.219,4062.813,1539.147,0,4393.585,1543.602,0,330.802,344.348,255,255
1,355.380,1970.153,1381.000,0,2296.470,1437.799,0,331.223,337.794,255,255
1,345.192,1318.632,624.791,0,1607.083,759.550,0,318.377,319.682,255,255
1,341.041,1037.978,355.273,0,1239.559,366.411,0,201.889,323.282,255,255
