Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,358.759,115.117,349.894,0,428.658,439.261,0,326.029,337.910,255,255
1,353.740,1431.384,0.000,0,1207.210,139.352,0,263.957,339.799,255,255
1,352.934,724.023,1342.018,0,1014.844,1452.590,0,311.132,341.376,255,255
1,334.569,1370.797,239.321,0,1646.471,225.689,0,276.011,317.374,255,255
1,333.548,172.675,157.528,0,452.893,286.277,0,308.380,309.119,255,255
1,330.823,0.000,722.508,0,284.762,780.067,0,290.521,313.777,255,255
1,319.010,172.675,157.528,0,395.335,122.690,0,225.369,297.894,255,255
1,318.078,1099.667,413.511,0,1146.622,140.866,0,276.658,294.861,255,255
1,316.069,1363.223,410.482,0,1658.588,436.231,0,296.485,302.090,255,255
1,309.591,92.396,425.629,0,193.881,654.347,0,250.222,294.148,255,255
1,308.793,207.513,1217.813,0,460.467,1343.532,0,282.473,287.790,255,255
1,297.956,2091.790,0.000,0,2047.864,265.071,0,268.686,285.291,255,255
1,285.471,112.087,1223.872,0,128.749,1479.855,0,256.525,264.405,255,255
1,284.001,722.508,698.273,0,984.550,742.199,0,265.698,270.130,255,255
1,283.633,943.653,56.044,0,1146.622,140.866,0,219.980,268.424,255,255
1,282.308,104.514,1001.212,0,207.513,1217.813,0,239.843,272.928,255,255
1,277.378,1396.547,795.214,0,1640.412,789.155,0,243.941,261.977,255,255
1,266.623,104.514,1001.212,0,112.087,1223.872,0,222.789,255.029,255,255
1,259.981,395.335,122.690,0,627.083,190.851,0,241.564,243.370,255,255
1,258.251,2155.407,1369.282,0,1973.644,1449.561,0,198.702,242.437,255,255
1,254.335,1784.308,448.349,0,1870.645,627.083,0,198.494,242.029,255,255
1,252.408,961.830,518.025,0,984.550,742.199,0,225.323,235.322,255,255
1,251.045,1099.667,413.511,0,1326.871,416.540,0,227.224,237.520,255,255
1,248.231,1190.548,1460.164,0,1240.533,1243.563,0,222.294,235.650,255,255
1,246.438,104.514,1001.212,0,304.453,963.344,0,203.494,235.329,255,255
1,245.722,564.980,957.286,0,783.096,1023.932,0,228.071,229.237,255,255
1,244.682,1658.588,705.847,0,1870.645,627.083,0,226.212,225.417,255,255
1,242.477,452.893,286.277,0,672.523,245.380,0,223.406,229.371,255,255
1,234.707,1207.210,139.352,0,1370.797,239.321,0,191.715,218.747,255,255
1,233.363,284.762,780.067,0,304.453,963.344,0,184.333,217.039,255,255
1,232.475,728.567,1525.295,0,716.450,1340.503,0,185.189,222.648,255,255
1,231.310,304.453,963.344,0,504.393,1039.079,0,213.802,214.997,255,255
1,230.512,942.139,205.998,0,978.491,418.055,0,215.150,217.812,255,255
1,228.629,1190.548,1460.164,0,1395.032,1435.929,0,205.915,217.689,255,255
1,227.241,680.097,766.434,0,870.948,854.287,0,210.100,208.054,255,255
1,223.001,731.596,555.892,0,926.992,519.540,0,198.748,209.206,255,255
1,221.487,0.000,587.701,0,193.881,654.347,0,205.016,206.277,255,255
1,221.245,760.376,401.394,0,926.992,519.540,0,204.253,208.594,255,255
