Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,450.397,303.030,295.455,0,410.606,78.788,0,241.903,431.831,255,255
1,340.534,568.182,80.303,0,866.667,33.333,0,302.158,317.893,255,255
1,326.530,1072.727,516.667,0,1160.606,803.030,0,299.544,304.127,255,255
1,310.858,543.939,675.758,0,687.879,857.576,0,231.897,293.039,255,255
1,308.133,218.182,1015.152,0,492.424,1024.242,0,274.393,287.057,255,255
1,291.726,0.000,436.364,0,216.667,396.970,0,220.219,274.504,255,255
1,286.068,769.697,813.636,0,818.182,1072.727,0,263.588,264.884,255,255
1,285.190,595.455,306.061,0,780.303,345.455,0,189.000,269.399,255,255
1,280.062,1368.182,792.424,0,1390.909,1053.030,0,261.595,264.830,255,255
1,279.928,286.364,506.061,0,469.697,371.212,0,227.586,271.362,255,255
1,272.397,227.273,919.697,0,465.152,857.576,0,245.856,257.416,255,255
1,261.898,986.364,772.727,0,1051.515,995.455,0,232.061,247.659,255,255
1,258.519,1251.515,318.182,0,1296.970,513.636,0,200.670,240.599,255,255
1,254.107,1471.212,501.515,0,1350.000,666.667,0,204.859,242.919,255,255
1,244.173,0.000,672.727,0,219.697,704.545,0,221.989,232.586,255,255
1,243.133,896.970,1413.636,0,1098.485,1412.121,0,201.521,229.375,255,255
1,239.932,1072.727,516.667,0,1296.970,518.182,0,224.248,226.984,255,255
1,238.220,37.879,968.182,0,150.000,815.152,0,189.709,226.821,255,255
1,236.831,1030.303,466.667,0,1174.242,304.545,0,216.799,224.385,255,255
1,235.450,219.697,704.545,0,234.848,495.455,0,209.639,221.236,255,255
1,229.040,303.030,295.455,0,480.303,186.364,0,208.150,218.119,255,255
1,219.303,1172.727,810.606,0,1368.182,792.424,0,196.298,203.462,255,255
1,218.245,634.848,400.000,0,651.515,607.576,0,208.244,206.148,255,255
1,212.006,859.091,339.394,0,978.788,474.242,0,180.309,200.191,255,255
1,211.252,362.121,610.606,0,554.545,583.333,0,194.347,196.925,255,255
1,210.893,769.697,813.636,0,946.970,771.212,0,182.278,193.299,255,255
1,209.325,1098.485,1412.121,0,1277.273,1434.848,0,180.227,198.499,255,255
1,205.318,1080.303,139.394,0,1174.242,304.545,0,189.999,190.672,255,255
1,204.824,850.000,1146.970,0,887.879,1334.848,0,191.659,191.317,255,255
1,203.910,859.091,339.394,0,962.121,180.303,0,189.539,192.865,255,255
1,203.049,469.697,371.212,0,480.303,186.364,0,185.153,191.217,255,255
1,202.807,681.818,1224.242,0,845.455,1140.909,0,183.634,192.120,255,255
1,200.709,866.667,33.333,0,962.121,180.303,0,175.247,186.365,255,255
1,198.674,103.030,1089.394,0,177.273,1256.061,0,182.455,185.039,255,255
1,197.114,474.242,868.182,0,492.424,1024.242,0,157.116,186.486,255,255
1,196.253,1080.303,139.394,0,1262.121,131.818,0,181.976,184.530,255,255
1,195.321,824.242,1078.788,0,996.970,1030.303,0,179.403,183.906,255,255
1,193.133,410.606,78.788,0,568.182,80.303,0,157.583,181.684,255,255
1,192.183,1050.000,1348.485,0,1222.727,1304.545,0,178.228,178.465,255,255
1,190.946,1042.424,1274.242,0,1196.970,1189.394,0,176.305,176.153,255,255
1,190.560,366.667,1201.515,0,387.879,1375.758,0,175.529,180.225,255,255
1,190.560,986.364,772.727,0,1160.606,803.030,0,176.858,181.680,255,255
1,189.412,539.394,153.030,0,595.455,306.061,0,162.976,177.666,255,255
1,185.235,1340.909,39.394,0,1374.242,204.545,0,168.482,172.882,255,255
1,183.244,1296.970,518.182,0,1350.000,666.667,0,157.670,171.076,255,255
1,182.940,1274.242,1077.273,0,1325.758,1236.364,0,167.224,173.425,255,255
1,182.743,0.000,1174.242,0,103.030,1304.545,0,166.115,172.686,255,255
1,178.439,1172.727,810.606,0,1203.030,972.727,0,164.929,167.803,255,255
1,177.722,618.182,909.091,0,689.394,1056.061,0,163.313,165.419,255,255
1,172.226,656.061,1072.727,0,681.818,1224.242,0,153.689,160.768,255,255
1,169.931,500.000,1240.909,0,559.091,1095.455,0,156.999,158.312,255,255
1,168.523,493.939,442.424,0,554.545,583.333,0,153.390,155.814,255,255
1,167.420,615.152,1275.758,0,634.848,1421.212,0,146.782,154.644,255,255
1,163.395,474.242,868.182,0,618.182,909.091,0,149.640,155.750,255,255
1,162.184,1051.515,995.455,0,1203.030,972.727,0,153.210,153.605,255,255
1,162.140,487.879,1463.636,0,631.818,1425.758,0,148.840,146.514,255,255
1,161.360,737.879,1416.667,0,877.273,1363.636,0,149.140,148.904,255,255
1,160.231,954.545,1160.606,0,1042.424,1274.242,0,143.652,152.873,255,255
