Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,496.787,1284.070,0.000,0,1058.449,242.277,0,331.064,469.129,255,255
1,477.039,3238.946,578.437,0,3426.711,439.128,0,233.801,452.195,255,255
1,470.247,221.078,0.000,0,101.454,416.414,0,433.256,453.027,255,255
1,456.315,131.738,2238.038,0,257.420,2634.767,0,416.161,432.851,255,255
1,447.731,334.646,0.000,0,313.446,408.843,0,409.392,429.925,255,255
1,436.021,2949.727,2713.507,0,3201.090,2631.738,0,264.328,413.012,255,255
1,433.753,2042.701,2630.224,0,2421.260,2645.366,0,378.861,410.060,255,255
1,432.132,2677.165,2978.498,0,2492.429,2666.566,0,362.532,420.374,255,255
1,404.768,1679.285,2978.498,0,1535.433,2739.249,0,279.166,385.746,255,255
1,393.953,1717.141,301.333,0,1942.762,112.053,0,294.502,372.808,255,255
1,390.512,2066.929,470.927,0,2113.870,143.852,0,330.426,370.830,255,255
1,389.930,2562.084,390.672,0,2610.539,40.884,0,353.128,366.184,255,255
1,388.846,2015.445,625.379,0,2348.577,752.574,0,356.588,372.442,255,255
1,372.297,1420.351,731.375,0,1541.490,910.055,0,215.873,356.927,255,255
1,371.043,531.496,1898.849,0,655.663,2201.696,0,327.313,350.121,255,255
1,366.392,2350.091,213.507,0,2610.539,40.884,0,312.461,350.985,255,255
1,364.752,1812.538,2721.078,0,2060.872,2768.019,0,252.732,343.208,255,255
1,354.494,1306.784,348.274,0,1582.374,275.591,0,285.014,330.601,255,255
1,349.172,2036.644,1832.223,0,2324.349,1683.828,0,323.720,334.651,255,255
1,347.379,2728.649,2978.498,0,2872.502,2724.107,0,292.247,329.445,255,255
1,347.075,649.606,249.849,0,894.912,136.281,0,270.319,330.661,255,255
1,344.028,978.195,1845.851,0,1046.336,2153.240,0,314.851,325.716,255,255
1,343.078,1006.965,2652.938,0,1324.955,2649.909,0,318.004,328.279,255,255
1,340.758,1477.892,2665.051,0,1617.202,2386.432,0,311.506,325.478,255,255
1,340.364,2804.361,142.338,0,2993.640,404.300,0,323.189,323.710,255,255
1,336.672,772.259,1371.896,0,955.482,1577.832,0,275.645,317.437,255,255
1,335.722,1299.213,2347.062,0,1324.955,2649.909,0,303.939,314.608,255,255
1,330.221,2445.488,2645.366,0,2630.224,2410.660,0,298.688,316.284,255,255
1,329.594,3435.796,1865.536,0,3437.311,1664.143,0,201.399,311.175,255,255
1,329.119,3428.225,2110.842,0,3435.796,1865.536,0,245.423,310.494,255,255
1,327.371,2330.406,460.327,0,2348.577,752.574,0,292.811,309.051,255,255
1,327.022,1783.767,903.998,0,1974.561,1109.933,0,280.734,307.961,255,255
1,317.202,837.371,1880.678,0,916.111,2135.070,0,266.299,303.132,255,255
1,316.987,2201.696,2978.498,0,2060.872,2768.019,0,253.244,306.202,255,255
1,316.745,460.327,1264.385,0,707.147,1414.294,0,288.778,298.822,255,255
1,309.980,2366.747,2366.747,0,2421.260,2645.366,0,283.902,290.900,255,255
1,308.725,2952.756,2300.121,0,2957.299,2023.016,0,277.142,292.231,255,255
1,308.206,143.852,1270.442,0,162.023,997.880,0,273.167,288.978,255,255
1,307.534,635.978,2219.867,0,823.743,2395.518,0,257.117,288.087,255,255
1,307.363,3455.482,1185.645,0,3455.482,1435.494,0,249.849,287.647,255,255
1,305.957,1535.433,2739.249,0,1812.538,2721.078,0,277.700,286.545,255,255
1,301.629,955.482,2481.829,0,1209.873,2403.089,0,266.299,289.485,255,255
1,300.501,3105.694,1923.077,0,3328.286,2072.986,0,268.366,283.808,255,255
1,299.443,2492.429,2666.566,0,2749.849,2695.336,0,259.023,279.358,255,255
1,297.042,1888.250,2362.205,0,2141.127,2375.833,0,253.244,280.692,255,255
1,294.121,3201.090,2631.738,0,3449.425,2730.164,0,267.128,276.121,255,255
1,292.930,2895.215,0.000,0,3051.181,215.021,0,265.630,279.201,255,255
1,290.967,2345.548,763.174,0,2403.089,1003.937,0,247.544,269.556,255,255
1,285.923,162.023,997.880,0,199.879,761.660,0,239.235,267.323,255,255
1,285.860,1000.909,2669.594,0,1049.364,2913.386,0,248.560,266.146,255,255
1,285.429,2066.929,470.927,0,2330.406,460.327,0,263.690,275.798,255,255
1,283.629,3400.969,205.936,0,3426.711,439.128,0,234.609,264.293,255,255
1,283.154,422.471,1685.342,0,425.500,1924.591,0,239.268,262.751,255,255
1,282.356,1751.969,726.832,0,2004.846,688.976,0,255.695,267.718,255,255
1,282.356,764.688,1903.392,0,835.857,2156.269,0,262.701,264.424,255,255
1,282.007,931.254,1270.442,0,1090.248,1415.809,0,215.431,265.002,255,255
1,281.810,511.811,1143.247,0,735.918,1279.528,0,262.290,268.418,255,255
1,280.259,3279.830,1814.052,0,3328.286,2072.986,0,263.429,265.074,255,255
1,276.103,2663.537,2294.064,0,2867.959,2351.605,0,212.366,259.892,255,255
1,274.087,199.879,761.660,0,408.843,914.597,0,258.952,258.114,255,255
1,273.334,401.272,2344.034,0,495.154,2577.226,0,251.381,255.715,255,255
1,273.271,1212.901,1274.985,0,1456.693,1303.755,0,245.483,257.835,255,255
1,271.389,1267.414,1995.760,0,1511.205,2062.386,0,252.732,255.262,255,255
1,269.875,1606.602,1576.317,0,1639.915,1818.595,0,244.557,255.440,255,255
1,268.620,1803.452,2569.655,0,2042.701,2630.224,0,246.797,248.852,255,255
1,267.733,2113.870,143.852,0,2350.091,213.507,0,246.276,253.625,255,255
1,266.954,1050.878,529.982,0,1125.076,293.761,0,247.599,254.370,255,255
1,266.631,490.612,0.000,0,533.010,245.306,0,248.943,257.941,255,255
1,266.264,1574.803,522.411,0,1582.374,275.591,0,246.936,251.802,255,255
1,265.440,308.904,1421.866,0,460.327,1264.385,0,218.470,254.802,255,255
1,265.072,3449.425,2730.164,0,3473.652,2493.943,0,237.460,249.624,255,255
1,264.275,1156.875,914.597,0,1161.417,664.749,0,249.890,251.932,255,255
1,263.881,649.606,249.849,0,840.400,377.044,0,229.305,250.018,255,255
1,262.905,769.231,2542.399,0,978.195,2627.196,0,225.514,249.387,255,255
1,261.721,913.083,757.117,0,1032.707,923.683,0,205.071,248.126,255,255
1,259.992,2156.269,1014.537,0,2403.089,1003.937,0,247.048,250.553,255,255
1,258.325,62.084,2183.525,0,186.251,2054.815,0,178.840,245.660,255,255
1,257.026,189.279,2059.358,0,422.471,2056.329,0,233.212,244.546,255,255
1,254.491,274.076,629.921,0,467.898,757.117,0,231.831,243.924,255,255
1,253.586,307.389,2978.498,0,275.591,2754.391,0,226.351,240.926,255,255
