Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,382.089,1550.000,1440.909,0,1230.303,1377.273,0,325.969,367.925,255,255
1,360.205,1003.030,146.970,0,1040.909,404.545,0,260.346,347.613,255,255
1,358.519,1372.727,0.000,0,1368.182,245.455,0,245.497,342.088,255,255
1,338.068,1080.303,760.606,0,1148.485,1066.667,0,313.563,317.391,255,255
1,336.939,106.061,0.000,0,272.727,240.909,0,292.942,322.393,255,255
1,309.451,172.727,422.727,0,377.273,592.424,0,265.774,292.567,255,255
1,289.279,901.515,793.939,0,951.515,1039.394,0,250.495,267.581,255,255
1,284.410,1348.485,916.667,0,1480.303,831.818,0,156.765,267.130,255,255
1,283.738,71.212,404.545,0,131.818,615.152,0,219.153,266.088,255,255
1,281.918,468.182,901.515,0,581.818,1136.364,0,260.897,268.517,255,255
1,274.216,481.818,95.455,0,730.303,115.152,0,249.264,258.333,255,255
1,251.920,434.848,193.939,0,548.485,386.364,0,223.473,232.549,255,255
1,250.082,9.091,184.848,0,71.212,404.545,0,228.311,236.954,255,255
1,247.571,736.364,121.212,0,784.848,342.424,0,226.463,229.908,255,255
1,241.295,203.030,866.667,0,251.515,666.667,0,205.793,227.568,255,255
1,239.260,1348.485,916.667,0,1396.970,1133.333,0,222.025,222.297,255,255
1,237.010,131.818,615.152,0,150.000,833.333,0,218.938,222.082,255,255
1,230.860,890.909,1030.303,0,969.697,1227.273,0,212.143,219.807,255,255
1,230.555,503.030,1218.182,0,609.091,1403.030,0,213.115,215.908,255,255
1,224.736,1146.970,0.000,0,1200.000,201.515,0,208.376,213.076,255,255
1,218.936,3.030,839.394,0,53.030,1036.364,0,203.217,207.910,255,255
1,216.228,281.818,287.879,0,357.576,472.727,0,199.770,200.295,255,255
1,215.924,1228.788,1269.697,0,1350.000,1118.182,0,194.034,202.362,255,255
1,214.022,62.121,1045.455,0,256.061,1078.788,0,196.783,201.603,255,255
1,210.105,313.636,1210.606,0,503.030,1218.182,0,189.545,197.970,255,255
1,207.980,1330.303,0.000,0,1236.364,168.182,0,192.639,201.617,255,255
1,207.765,1040.909,404.545,0,1216.667,442.424,0,179.793,193.886,255,255
1,206.662,598.485,1169.697,0,689.394,1319.697,0,175.398,191.379,255,255
1,205.039,1413.636,719.697,0,1430.303,537.879,0,182.580,190.290,255,255
1,201.337,1240.909,677.273,0,1309.091,534.848,0,157.903,185.675,255,255
1,194.738,1257.576,851.515,0,1289.394,1031.818,0,183.089,182.527,255,255
1,194.218,62.121,1045.455,0,96.970,1222.727,0,180.666,179.598,255,255
1,192.918,678.788,1150.000,0,689.394,1319.697,0,170.028,179.053,255,255
1,192.246,686.364,1377.273,0,848.485,1446.970,0,176.468,174.573,255,255
1,191.771,1000.000,1550.000,0,937.879,1384.848,0,176.448,178.832,255,255
1,191.035,410.606,666.667,0,456.061,836.364,0,175.679,177.443,255,255
1,190.058,9.091,184.848,0,146.970,289.394,0,173.033,181.967,255,255
1,181.317,587.879,434.848,0,637.879,595.455,0,168.209,168.287,255,255
1,179.694,527.273,748.485,0,689.394,733.333,0,162.828,171.863,255,255
1,179.497,57.576,1368.182,0,125.758,1518.182,0,164.769,165.002,255,255
1,177.443,389.394,1436.364,0,553.030,1457.576,0,165.005,165.823,255,255
1,177.184,1293.939,716.667,0,1324.242,878.788,0,164.929,166.016,255,255
1,176.619,437.879,1015.152,0,492.424,1166.667,0,161.034,163.320,255,255
1,174.324,125.758,1518.182,0,209.091,1386.364,0,155.950,165.111,255,255
1,174.001,1080.303,1354.545,0,1121.212,1200.000,0,159.868,165.209,255,255
1,171.598,283.333,148.485,0,434.848,193.939,0,158.186,159.689,255,255
1,170.989,680.303,636.364,0,801.515,539.394,0,155.227,161.216,255,255
1,170.603,1200.000,201.515,0,1230.303,354.545,0,156.002,160.400,255,255
1,170.146,887.879,354.545,0,987.879,468.182,0,151.371,160.560,255,255
1,169.563,978.788,510.606,0,1024.242,657.576,0,153.838,158.171,255,255
1,168.460,1080.303,760.606,0,1231.818,801.515,0,156.941,156.362,255,255
1,167.896,883.333,692.424,0,1024.242,657.576,0,145.154,154.831,255,255
1,167.268,890.909,350.000,0,1031.818,410.606,0,153.390,156.729,255,255
1,166.856,1236.364,168.182,0,1368.182,245.455,0,152.798,159.173,255,255
1,166.568,850.000,539.394,0,883.333,692.424,0,156.619,154.377,255,255
1,165.430,731.818,884.848,0,769.697,1033.333,0,153.240,153.453,255,255
1,165.170,968.182,0.000,0,1003.030,146.970,0,151.045,156.858,255,255
1,162.032,3.030,839.394,0,150.000,833.333,0,147.095,152.797,255,255
1,160.732,1371.212,374.242,0,1419.697,513.636,0,147.585,149.510,255,255
1,158.786,357.576,472.727,0,507.576,490.909,0,151.098,151.684,255,255
1,158.015,850.000,539.394,0,978.788,510.606,0,131.966,145.210,255,255
1,157.854,1148.485,1066.667,0,1289.394,1031.818,0,145.154,150.803,255,255
1,157.854,1230.303,354.545,0,1371.212,374.242,0,142.279,146.122,255,255
1,157.227,1080.303,1354.545,0,1119.697,1495.455,0,146.312,143.892,255,255
1,155.667,256.061,1078.788,0,313.636,1210.606,0,143.844,142.479,255,255
1,155.039,306.061,980.303,0,437.879,1015.152,0,136.347,143.143,255,255
1,151.014,131.818,615.152,0,251.515,666.667,0,130.312,141.379,255,255
1,148.916,251.515,666.667,0,387.879,639.394,0,139.064,141.635,255,255
1,147.723,601.515,431.818,0,710.606,371.212,0,124.796,139.678,255,255
1,145.258,146.970,289.394,0,172.727,422.727,0,135.798,134.138,255,255
1,144.693,796.970,100.000,0,898.485,128.788,0,105.518,139.140,255,255
1,144.585,345.455,1312.121,0,389.394,1436.364,0,131.783,131.164,255,255
1,143.806,1550.000,1037.879,0,1484.848,1148.485,0,128.368,137.029,255,255
1,143.070,96.970,1222.727,0,115.152,1346.970,0,125.566,129.781,255,255
1,141.752,146.970,289.394,0,281.818,287.879,0,134.857,133.826,255,255
1,140.623,1413.636,719.697,0,1480.303,831.818,0,130.444,129.542,255,255
1,140.192,1550.000,530.303,0,1424.242,519.697,0,126.204,134.064,255,255
1,140.085,836.364,183.333,0,851.515,312.121,0,129.676,129.235,255,255
1,140.040,234.848,909.091,0,250.000,1030.303,0,122.155,129.563,255,255
1,138.373,781.818,874.242,0,839.394,987.879,0,127.390,129.709,255,255
1,137.574,1368.182,245.455,0,1371.212,374.242,0,128.824,127.028,255,255
1,135.190,1127.273,1196.970,0,1228.788,1269.697,0,124.878,127.402,255,255
1,134.759,1293.939,716.667,0,1413.636,719.697,0,119.735,126.486,255,255
