Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,943.204,1966.556,1055.539,0,2122.427,1175.091,0,196.440,880.511,255,255
1,359.338,1016.192,699.153,0,1258.323,762.712,0,250.334,332.155,255,255
1,344.793,2012.712,1008.626,0,2092.161,783.898,0,238.358,311.072,255,255
1,321.259,0.000,442.645,0,89.286,289.800,0,177.013,295.251,255,255
1,313.410,267.857,288.287,0,403.299,156.628,0,188.888,288.575,255,255
1,299.512,1517.857,120.309,0,1654.056,157.385,0,141.155,277.617,255,255
1,296.361,1643.462,1129.691,0,1841.707,1025.272,0,224.063,278.887,255,255
1,293.670,76.423,251.211,0,277.694,260.291,0,201.476,270.160,255,255
1,293.003,277.694,431.295,0,510.745,323.093,0,256.944,275.200,255,255
1,292.309,1061.592,170.248,0,1282.536,149.062,0,221.958,272.682,255,255
1,288.830,865.617,1433.868,0,911.017,1434.625,0,45.406,269.213,255,255
1,286.462,708.232,917.070,0,783.142,723.366,0,207.685,270.905,255,255
1,266.162,176.301,1598.063,0,254.994,1439.921,0,176.639,245.290,255,255
1,253.473,677.966,573.547,0,884.534,493.341,0,221.592,236.438,255,255
1,252.726,1282.536,149.062,0,1436.895,193.705,0,160.684,236.087,255,255
1,249.940,1933.263,72.639,0,2058.868,226.241,0,198.419,237.978,255,255
1,249.300,139.982,820.975,0,144.522,684.019,0,137.030,232.575,255,255
1,241.661,2036.168,675.696,0,2095.944,779.358,0,119.662,226.212,255,255
1,240.274,1953.692,352.603,0,2058.868,226.241,0,164.406,223.851,255,255
1,239.875,277.694,431.295,0,420.702,515.285,0,165.848,223.197,255,255
1,239.312,1620.006,1010.896,0,1771.338,861.077,0,212.948,223.251,255,255
1,238.644,270.127,1546.610,0,450.212,1567.040,0,181.240,219.131,255,255
1,237.381,659.806,1232.597,0,870.914,1225.787,0,211.218,220.319,255,255
1,236.665,515.285,1095.642,0,691.586,1013.166,0,194.639,217.533,255,255
1,236.522,1321.883,1337.016,0,1481.538,1206.870,0,205.979,223.383,255,255
1,233.715,401.786,852.754,0,491.828,712.772,0,166.441,214.095,255,255
1,232.264,942.797,1163.741,0,1065.375,1331.719,0,207.948,215.768,255,255
1,231.140,1058.565,575.817,0,1239.407,465.345,0,211.914,217.523,255,255
1,224.872,139.982,820.975,0,171.762,995.763,0,177.654,212.317,255,255
1,220.193,708.232,917.070,0,895.127,851.998,0,197.899,209.070,255,255
1,218.407,121.065,1094.128,0,162.682,1259.080,0,170.120,209.565,255,255
1,217.185,821.731,767.252,0,953.390,613.650,0,202.305,205.469,255,255
1,215.900,582.627,394.219,0,739.255,277.694,0,195.219,200.890,255,255
1,215.058,1409.655,504.691,0,1571.580,425.242,0,180.366,198.939,255,255
1,211.964,1635.139,592.464,0,1794.038,477.452,0,196.154,197.868,255,255
1,211.901,1741.828,730.932,0,1903.753,773.305,0,167.377,194.879,255,255
1,210.267,420.702,515.285,0,574.304,396.489,0,194.180,198.437,255,255
1,205.772,1984.715,454.752,0,2046.762,544.038,0,108.727,190.339,255,255
1,204.778,1153.148,939.770,0,1207.627,1107.748,0,176.592,187.974,255,255
1,202.096,1583.686,922.367,0,1741.828,820.975,0,187.854,190.111,255,255
1,201.080,853.511,1003.329,0,984.413,1128.178,0,180.894,190.410,255,255
1,200.735,1243.947,1180.387,0,1405.115,1094.128,0,182.800,192.259,255,255
1,200.659,1834.897,542.524,0,1976.392,441.132,0,174.073,184.019,255,255
1,199.092,1004.086,1102.452,0,1122.881,1160.714,0,132.314,186.170,255,255
1,199.060,92.312,516.798,0,245.157,427.512,0,177.013,186.168,255,255
1,198.855,1000.303,1008.626,0,1043.432,849.728,0,164.648,185.420,255,255
1,197.028,1481.538,1206.870,0,1643.462,1129.691,0,179.378,184.614,255,255
1,195.774,916.314,156.628,0,1055.539,171.762,0,140.045,179.274,255,255
1,194.283,277.694,260.291,0,403.299,156.628,0,162.857,180.485,255,255
1,193.903,918.584,504.691,0,1021.489,363.196,0,174.958,185.461,255,255
1,193.795,678.723,1499.697,0,828.541,1430.841,0,164.884,178.175,255,255
1,192.510,1635.896,217.918,0,1712.318,372.276,0,172.241,176.285,255,255
1,192.184,1150.121,299.637,0,1274.213,171.005,0,178.732,182.470,255,255
1,191.006,1741.828,730.932,0,1837.167,581.114,0,177.581,179.831,255,255
1,190.522,1870.460,87.772,0,1893.160,251.967,0,165.757,176.796,255,255
1,188.360,870.914,1225.787,0,924.637,1374.849,0,158.447,171.404,255,255
1,186.466,1952.179,884.534,0,2092.161,783.898,0,172.402,176.890,255,255
1,186.080,1359.715,357.143,0,1523.910,307.960,0,171.403,174.772,255,255
1,185.745,582.627,394.219,0,639.377,528.148,0,145.456,167.642,255,255
1,183.744,658.293,1222.004,0,730.176,1069.915,0,168.220,169.373,255,255
1,183.605,226.241,820.975,0,264.831,980.630,0,164.252,169.317,255,255
1,181.904,537.984,1389.982,0,665.860,1274.970,0,171.988,175.336,255,255
1,181.872,314.770,690.829,0,444.915,590.194,0,164.515,173.073,255,255
