Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,328.775,573.248,162.269,0,700.637,113.740,0,136.319,312.094,255,255
1,282.175,373.066,341.219,0,473.157,141.037,0,223.810,260.326,255,255
1,275.176,467.091,410.980,0,603.579,194.116,0,256.240,260.976,255,255
1,269.782,509.554,774.947,0,430.695,615.711,0,177.693,256.042,255,255
1,264.738,774.947,721.868,0,717.319,500.455,0,228.790,251.790,255,255
1,226.431,66.727,371.550,0,222.930,244.161,0,201.562,215.474,255,255
1,224.941,306.339,600.546,0,344.252,398.847,0,205.231,214.580,255,255
1,224.778,724.901,295.723,0,738.550,492.872,0,197.621,213.061,255,255
1,192.161,138.004,21.231,0,283.591,84.926,0,158.910,178.382,255,255
1,190.536,0.000,307.856,0,104.641,181.984,0,163.687,177.622,255,255
1,190.187,580.831,404.914,0,724.901,295.723,0,180.773,179.794,255,255
1,184.820,90.992,9.099,0,104.641,181.984,0,173.422,172.464,255,255
1,176.456,263.876,764.331,0,301.790,603.579,0,165.163,163.512,255,255
1,173.226,138.004,21.231,0,283.591,84.926,0,158.910,163.433,255,255
1,166.056,245.678,456.476,0,298.756,600.546,0,153.537,156.000,255,255
1,165.625,414.013,774.947,0,427.662,618.744,0,156.798,158.652,255,255
1,161.919,118.289,737.034,0,263.876,764.331,0,148.124,151.086,255,255
1,156.329,263.876,222.930,0,306.339,87.959,0,141.493,144.018,255,255
1,154.121,711.253,262.360,0,717.319,118.289,0,144.198,144.358,255,255
1,153.664,118.289,737.034,0,162.269,606.612,0,137.637,142.898,255,255
1,144.044,104.641,181.984,0,222.930,244.161,0,133.635,132.797,255,255
1,142.769,162.269,606.612,0,298.756,600.546,0,136.622,136.259,255,255
1,141.900,461.025,417.046,0,521.686,533.819,0,131.589,128.788,255,255
1,140.903,430.695,615.711,0,521.686,533.819,0,122.417,133.710,255,255
1,135.681,81.893,509.554,0,162.269,606.612,0,126.018,127.240,255,255
1,131.392,608.129,194.116,0,711.253,262.360,0,123.660,125.944,255,255
1,129.355,608.129,194.116,0,700.637,113.740,0,122.548,122.624,255,255
1,128.860,306.339,600.546,0,427.662,618.744,0,122.680,120.552,255,255
1,125.047,467.091,410.980,0,580.831,404.914,0,113.901,118.255,255,255
1,121.538,130.422,453.443,0,245.678,456.476,0,115.296,114.731,255,255
1,117.356,312.405,86.442,0,421.595,78.860,0,109.453,110.879,255,255
1,116.988,285.108,279.042,0,300.273,389.748,0,111.741,110.113,255,255
1,116.728,741.583,0.000,0,741.583,109.190,0,109.190,111.800,255,255
1,116.423,473.157,141.037,0,573.248,162.269,0,102.318,108.686,255,255
1,115.472,608.129,497.422,0,717.319,500.455,0,109.232,107.619,255,255
1,114.970,285.108,279.042,0,373.066,341.219,0,107.716,108.907,255,255
1,108.276,66.727,371.550,0,130.422,453.443,0,103.747,101.807,255,255
1,103.815,580.831,404.914,0,608.129,497.422,0,96.452,95.116,255,255
1,102.407,521.686,533.819,0,608.129,497.422,0,93.792,94.438,255,255
1,96.969,0.000,539.885,0,81.893,509.554,0,87.329,92.548,255,255
1,96.448,245.678,456.476,0,300.273,389.748,0,86.216,88.315,255,255
1,95.865,298.756,0.000,0,312.405,86.442,0,87.513,92.175,255,255
1,93.568,454.959,0.000,0,421.595,78.860,0,85.627,90.434,255,255
1,85.312,421.595,78.860,0,473.157,141.037,0,80.776,75.862,255,255
1,84.576,81.893,509.554,0,130.422,453.443,0,74.186,74.684,255,255
1,81.803,0.000,338.186,0,66.727,371.550,0,74.603,76.218,255,255
1,79.874,401.880,367.000,0,461.025,417.046,0,77.477,75.848,255,255
1,70.820,344.252,398.847,0,401.880,367.000,0,65.843,64.380,255,255
1,64.906,263.876,222.930,0,285.108,279.042,0,59.994,58.835,255,255
1,62.967,774.947,327.571,0,724.901,295.723,0,59.319,59.891,255,255
1,52.038,90.992,9.099,0,138.004,21.231,0,48.553,45.238,255,255
1,49.848,89.475,774.947,0,118.289,737.034,0,47.620,47.206,255,255
1,49.741,222.930,244.161,0,263.876,222.930,0,46.123,45.376,255,255
1,47.748,300.273,389.748,0,344.252,398.847,0,44.911,43.321,255,255
1,47.076,573.248,162.269,0,603.579,194.116,0,43.979,41.314,255,255
1,40.274,711.253,262.360,0,724.901,295.723,0,36.048,35.299,255,255
1,39.493,373.066,341.219,0,401.880,367.000,0,38.664,33.136,255,255
1,38.909,774.947,498.938,0,738.550,492.872,0,36.899,37.475,255,255
1,35.248,774.947,107.674,0,741.583,109.190,0,33.398,32.027,255,255
1,28.033,717.319,118.289,0,741.583,109.190,0,25.914,21.974,255,255
1,25.261,717.319,500.455,0,738.550,492.872,0,22.545,20.175,255,255
1,24.004,283.591,84.926,0,306.339,87.959,0,22.949,20.681,255,255
1,18.566,700.637,113.740,0,717.319,118.289,0,17.291,15.653,255,255
1,15.273,272.975,774.947,0,263.876,764.331,0,13.982,13.675,255,255
1,9.467,461.025,417.046,0,467.091,410.980,0,8.579,5.806,255,255
1,9.099,90.992,0.000,0,90.992,9.099,0,9.099,9.099,255,255
1,6.694,306.339,87.959,0,312.405,86.442,0,6.253,3.033,255,255
1,5.806,301.790,603.579,0,306.339,600.546,0,5.468,3.212,255,255
1,5.806,603.579,194.116,0,608.129,194.116,0,4.550,3.212,255,255
1,4.289,298.756,600.546,0,301.790,603.579,0,4.289,0.000,0,0
1,4.289,427.662,618.744,0,430.695,615.711,0,4.289,0.000,0,0
