Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,599.753,1636.626,1490.988,0,1717.376,1138.188,0,361.923,554.203,255,255
1,585.185,191.300,1055.516,0,263.879,918.529,0,155.026,552.057,255,255
1,490.414,1514.540,1962.990,0,1722.663,1771.209,0,283.011,454.436,255,255
1,482.331,721.942,1832.252,0,1066.090,2006.729,0,385.850,443.155,255,255
1,465.104,133.622,1281.903,0,171.113,1589.041,0,309.417,438.536,255,255
1,433.719,733.958,280.702,0,978.130,257.150,0,245.305,408.235,255,255
1,415.065,358.087,603.701,0,605.624,375.391,0,336.749,376.037,255,255
1,407.184,384.042,1996.155,0,656.573,1821.197,0,323.857,385.735,255,255
1,369.940,544.100,971.401,0,728.671,699.351,0,328.752,347.211,255,255
1,366.118,1640.471,1524.153,0,1722.663,1771.209,0,260.369,342.790,255,255
1,360.790,1664.504,603.220,0,1734.679,319.635,0,292.139,331.541,255,255
1,352.170,171.593,1590.002,0,268.685,1822.639,0,252.084,327.582,255,255
1,348.239,1214.612,1971.161,0,1514.540,1962.990,0,300.039,313.569,255,255
1,336.209,1188.176,523.913,0,1241.048,242.730,0,286.110,311.395,255,255
1,335.478,1229.512,233.117,0,1478.491,80.269,0,292.152,305.721,255,255
1,331.169,1125.210,635.905,0,1198.270,919.010,0,292.380,309.604,255,255
1,328.436,347.993,1838.500,0,516.703,1668.830,0,239.272,303.590,255,255
1,319.366,133.622,1281.903,0,195.145,1173.276,0,124.840,299.620,255,255
1,307.645,1660.658,670.512,0,1780.822,836.818,0,205.176,284.112,255,255
1,295.586,199.471,1180.485,0,388.368,1037.731,0,236.772,279.166,255,255
1,292.549,392.213,1328.046,0,605.624,1179.043,0,260.280,273.203,255,255
1,291.508,1400.625,1256.909,0,1608.267,1132.901,0,241.854,268.927,255,255
1,288.174,1780.822,836.818,0,1781.303,1089.161,0,252.344,265.541,255,255
1,287.614,566.210,1470.320,0,732.036,1309.301,0,231.139,266.179,255,255
1,282.122,1409.277,1402.547,0,1636.626,1490.988,0,243.945,256.957,255,255
1,280.765,1516.462,568.613,0,1565.008,331.651,0,241.884,262.809,255,255
1,277.774,1261.716,1601.538,0,1409.277,1402.547,0,247.733,261.844,255,255
1,276.638,750.781,950.733,0,777.698,712.329,0,239.919,258.257,255,255
1,273.835,1389.570,1664.504,0,1606.825,1778.899,0,245.533,257.084,255,255
1,271.403,1425.138,1638.068,0,1640.471,1524.153,0,243.608,251.704,255,255
1,265.447,1266.042,491.228,0,1291.516,253.785,0,238.806,254.437,255,255
1,264.002,1337.179,894.497,0,1420.332,1026.196,0,155.753,242.160,255,255
1,262.526,1478.491,80.269,0,1493.872,295.121,0,215.402,241.208,255,255
1,260.123,858.928,1259.793,0,1077.626,1194.905,0,228.121,239.228,255,255
1,253.223,301.370,701.754,0,517.183,632.540,0,226.641,235.886,255,255
1,253.172,911.319,1715.453,0,1079.548,1591.444,0,208.995,228.042,255,255
1,251.035,1066.090,2006.729,0,1092.045,1774.573,0,233.602,238.616,255,255
1,249.130,898.822,918.529,0,936.794,708.484,0,213.450,228.271,255,255
1,248.849,301.370,701.754,0,358.087,603.701,0,113.275,229.336,255,255
1,247.049,1074.261,1394.857,0,1077.626,1194.905,0,199.980,230.231,255,255
1,243.550,1564.047,1042.538,0,1781.303,1089.161,0,222.202,229.373,255,255
1,243.268,263.879,918.529,0,301.370,701.754,0,219.993,234.486,255,255
1,239.381,337.419,973.324,0,544.100,971.401,0,206.690,222.432,255,255
1,237.319,1564.047,1042.538,0,1648.642,855.564,0,205.221,219.485,255,255
1,234.184,566.210,1470.320,0,761.836,1507.330,0,199.096,220.606,255,255
1,234.174,1081.951,1193.944,0,1255.467,1288.152,0,197.441,219.551,255,255
1,230.433,1514.540,1962.990,0,1606.825,1778.899,0,205.927,214.505,255,255
1,229.361,1041.096,263.879,0,1229.512,233.117,0,190.911,208.566,255,255
1,225.337,526.316,629.656,0,684.932,532.084,0,186.224,209.912,255,255
1,222.276,1011.776,964.672,0,1198.270,919.010,0,192.002,199.869,255,255
1,216.090,699.832,1128.575,0,884.403,1104.062,0,186.192,194.136,255,255
1,214.517,572.939,1656.333,0,656.573,1821.197,0,184.864,200.997,255,255
1,214.495,1353.040,1199.231,0,1461.187,1040.135,0,192.373,201.133,255,255
1,214.333,911.319,1715.453,0,1085.316,1759.193,0,179.410,199.249,255,255
1,212.752,1707.763,155.732,0,1734.679,319.635,0,166.098,195.753,255,255
1,211.770,1087.719,1560.202,0,1184.331,1409.277,0,179.199,198.123,255,255
1,209.128,834.895,1452.535,0,1014.179,1435.232,0,180.117,188.719,255,255
1,208.349,1204.037,1138.669,0,1363.134,1035.328,0,189.713,194.330,255,255
1,207.282,347.993,1838.500,0,384.042,1996.155,0,161.723,197.031,255,255
1,207.109,83.153,2092.286,0,234.078,2001.442,0,176.156,194.105,255,255
1,206.002,392.213,1328.046,0,501.322,1472.242,0,180.824,196.181,255,255
1,202.598,1565.008,331.651,0,1734.679,319.635,0,170.096,188.912,255,255
1,200.812,202.355,1288.152,0,366.739,1318.914,0,167.237,189.385,255,255
1,199.722,234.078,2001.442,0,268.685,1822.639,0,182.121,192.242,255,255
1,197.325,892.574,1101.658,0,918.049,930.065,0,173.474,185.237,255,255
1,196.079,1377.073,772.410,0,1508.291,732.036,0,137.290,180.983,255,255
1,193.938,693.103,558.520,0,849.315,533.045,0,158.276,178.943,255,255
1,193.246,674.838,1157.895,0,732.036,1309.301,0,161.850,182.913,255,255
1,193.101,1261.716,1601.538,0,1425.138,1638.068,0,167.455,175.239,255,255
1,192.251,358.087,603.701,0,517.183,632.540,0,161.689,179.623,255,255
