Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,625.662,2888.081,202.938,0,2562.472,542.178,0,470.218,607.780,255,255
1,553.417,1977.889,180.221,0,2171.740,486.143,0,362.169,533.003,255,255
1,403.520,1157.050,292.291,0,1373.618,31.804,0,338.756,379.872,255,255
1,387.866,1641.678,2763.895,0,1891.564,2753.294,0,250.111,367.811,255,255
1,385.984,2888.081,693.624,0,2662.426,920.794,0,320.197,372.193,255,255
1,365.605,1973.345,551.265,0,1979.403,234.742,0,316.581,345.807,255,255
1,341.159,2253.521,2776.011,0,2556.414,2816.901,0,305.640,320.138,255,255
1,323.872,121.157,2697.259,0,265.031,2845.676,0,206.706,305.880,255,255
1,306.738,2141.451,829.926,0,2259.579,613.358,0,246.690,288.994,255,255
1,304.704,1496.290,539.149,0,1502.347,269.574,0,269.642,280.899,255,255
1,296.567,546.721,295.320,0,567.924,546.721,0,252.293,279.117,255,255
1,295.509,1481.145,81.781,0,1597.759,263.517,0,215.932,274.736,255,255
1,294.945,2888.081,743.601,0,2753.294,963.199,0,257.664,286.298,255,255
1,292.481,828.411,165.076,0,1043.465,99.955,0,224.698,272.313,255,255
1,278.394,1146.449,658.791,0,1258.519,428.593,0,256.029,262.416,255,255
1,277.659,988.944,636.075,0,1079.812,399.818,0,253.128,256.396,255,255
1,265.068,0.000,154.475,0,152.961,290.777,0,204.878,250.756,255,255
1,264.560,2138.422,1181.281,0,2380.736,1199.455,0,242.995,246.246,255,255
1,262.577,828.411,165.076,0,951.083,369.529,0,238.431,249.110,255,255
1,261.798,1902.166,787.521,0,2030.895,584.583,0,240.323,254.435,255,255
1,261.170,1496.290,539.149,0,1641.678,345.298,0,242.314,246.206,255,255
1,260.005,1703.771,2049.069,0,1732.546,2235.348,0,188.488,244.456,255,255
1,258.580,1906.709,802.665,0,2141.451,829.926,0,236.319,247.708,255,255
1,252.997,1335.756,1219.143,0,1559.897,1158.564,0,232.183,238.486,255,255
1,252.585,2183.856,1461.457,0,2377.707,1532.637,0,206.506,235.164,255,255
1,247.674,227.169,0.000,0,346.812,174.163,0,211.299,237.329,255,255
1,246.375,963.199,2806.300,0,1170.680,2857.792,0,213.775,232.585,255,255
1,244.627,2568.529,2815.387,0,2798.728,2819.930,0,230.243,232.424,255,255
1,242.351,1824.928,2342.874,0,2030.895,2406.482,0,215.565,230.820,255,255
1,239.385,1043.465,99.955,0,1157.050,292.291,0,223.372,225.617,255,255
1,238.892,1488.717,2205.058,0,1534.151,1993.033,0,216.838,225.440,255,255
1,238.676,68.151,1461.457,0,80.267,1240.345,0,221.443,225.855,255,255
1,236.724,763.289,2174.769,0,951.083,2168.711,0,187.891,228.610,255,255
1,236.186,1500.833,1803.726,0,1703.771,1853.703,0,209.001,219.235,255,255
1,233.543,2523.096,2657.883,0,2568.529,2815.387,0,163.926,223.511,255,255
1,233.353,1258.519,428.593,0,1263.062,639.103,0,210.559,220.509,255,255
1,231.553,1373.618,943.511,0,1512.949,782.977,0,212.565,218.355,255,255
1,230.298,2483.720,681.508,0,2562.472,542.178,0,160.047,214.176,255,255
1,229.912,1341.814,1402.393,0,1394.821,1605.331,0,209.746,218.105,255,255
1,229.482,2159.624,982.887,0,2374.678,990.459,0,215.187,219.838,255,255
1,228.702,2315.614,2533.697,0,2526.124,2507.951,0,212.079,213.257,255,255
1,228.398,2171.740,486.143,0,2259.579,613.358,0,154.594,216.831,255,255
1,227.834,1821.899,357.413,0,1979.403,234.742,0,199.639,221.828,255,255
1,225.369,2386.794,1207.027,0,2392.852,1400.878,0,193.946,209.545,255,255
1,224.330,1731.031,1564.440,0,1905.195,1590.186,0,176.056,212.313,255,255
1,224.204,649.705,0.000,0,639.103,213.539,0,213.802,217.852,255,255
1,222.385,89.353,1982.432,0,121.157,1785.552,0,199.432,216.533,255,255
1,216.876,2138.422,1181.281,0,2159.624,982.887,0,199.524,199.628,255,255
1,216.650,30.289,722.399,0,87.839,910.192,0,196.414,202.231,255,255
1,216.542,2099.046,2945.631,0,2061.184,2757.837,0,191.572,204.438,255,255
1,213.558,2186.885,2055.126,0,2224.746,2250.492,0,199.001,201.382,255,255
1,213.101,1512.949,782.977,0,1514.463,608.814,0,174.170,202.341,255,255
1,212.644,240.800,829.926,0,386.188,960.170,0,195.195,203.615,255,255
1,212.581,2047.554,2750.265,0,2064.213,2573.073,0,177.974,200.355,255,255
1,212.303,1864.304,1213.085,0,1874.905,1408.451,0,195.653,201.898,255,255
1,210.243,1473.573,2401.939,0,1632.591,2468.575,0,172.416,196.982,255,255
1,208.988,1653.794,651.219,0,1818.870,545.207,0,196.186,193.793,255,255
1,208.907,115.099,2503.408,0,121.157,2697.259,0,193.946,194.510,255,255
1,208.907,2841.133,2663.941,0,2859.306,2470.089,0,194.701,194.559,255,255
1,208.602,1500.833,1803.726,0,1512.949,1618.961,0,185.161,190.743,255,255
1,208.083,2033.924,0.000,0,1977.889,180.221,0,188.732,194.838,255,255
1,206.891,2173.255,1514.463,0,2259.579,1679.540,0,186.285,194.747,255,255
1,206.613,640.618,2945.631,0,686.052,2757.837,0,193.211,195.485,255,255
1,205.314,1244.889,1052.552,0,1425.110,1107.073,0,188.287,191.959,255,255
1,205.072,119.643,1776.465,0,233.227,1621.990,0,191.740,194.672,255,255
1,204.471,2432.228,639.103,0,2562.472,542.178,0,162.352,194.631,255,255
1,204.077,390.731,475.541,0,492.201,313.494,0,191.195,187.630,255,255
1,204.059,1170.680,2857.792,0,1347.872,2848.705,0,177.425,192.780,255,255
1,204.014,1911.252,1720.430,0,1943.056,1891.564,0,174.064,192.162,255,255
1,203.736,2723.005,2429.199,0,2736.635,2618.507,0,189.798,188.461,255,255
1,203.432,1709.829,1737.089,0,1731.031,1564.440,0,173.946,193.176,255,255
1,202.025,1534.151,1993.033,0,1700.742,2029.381,0,170.510,189.407,255,255
1,201.720,2268.666,1803.726,0,2398.910,1924.883,0,177.883,186.649,255,255
1,200.726,1584.128,1615.932,0,1709.829,1737.089,0,174.584,187.673,255,255
