Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,636.133,166.667,1787.879,0,466.667,2124.242,0,450.711,608.368,255,255
1,509.685,2527.273,2784.848,0,2887.879,2809.091,0,361.420,479.149,255,255
1,500.594,596.970,163.636,0,906.061,272.727,0,327.777,476.066,255,255
1,465.916,148.485,493.939,0,278.788,118.182,0,397.709,439.315,255,255
1,463.495,315.152,1606.061,0,666.667,1769.697,0,387.737,437.443,255,255
1,457.434,1190.909,172.727,0,1575.758,6.061,0,419.388,429.359,255,255
1,421.464,1884.848,2881.818,0,2263.636,2851.515,0,379.998,403.696,255,255
1,414.275,406.061,590.909,0,606.061,421.212,0,262.292,393.840,255,255
1,410.725,1403.030,2184.848,0,1560.606,1845.455,0,374.190,394.325,255,255
1,392.543,69.697,1966.667,0,124.242,2293.939,0,331.787,378.803,255,255
1,391.986,278.788,118.182,0,596.970,163.636,0,321.412,363.671,255,255
1,390.552,2772.727,418.182,0,2893.939,239.394,0,216.003,358.431,255,255
1,388.131,1575.758,6.061,0,1660.606,333.333,0,338.093,361.920,255,255
1,387.002,1215.152,1887.879,0,1293.939,1618.182,0,280.970,361.910,255,255
1,384.098,475.758,2778.788,0,775.758,2648.485,0,327.076,366.918,255,255
1,378.342,1396.970,2278.788,0,1687.879,2084.848,0,349.629,360.424,255,255
1,374.792,493.939,1187.879,0,751.515,1015.152,0,310.129,359.470,255,255
1,359.692,1530.303,1396.970,0,1575.758,1730.303,0,336.418,339.570,255,255
1,352.718,115.152,2827.273,0,154.545,2530.303,0,299.571,337.434,255,255
1,351.248,742.424,2360.606,0,1048.485,2263.636,0,321.055,327.151,255,255
1,343.843,1163.636,284.848,0,1190.909,563.636,0,280.119,322.832,255,255
1,334.625,769.697,1015.152,0,818.182,1312.121,0,300.902,319.708,255,255
1,329.085,1972.727,2518.182,0,2266.667,2463.636,0,298.957,306.760,255,255
1,327.220,915.152,278.788,0,1190.909,172.727,0,295.451,310.170,255,255
1,325.319,990.909,836.364,0,1060.606,542.424,0,302.089,310.049,255,255
1,323.975,0.000,15.152,0,278.788,118.182,0,297.217,314.985,255,255
1,323.955,2160.606,1254.545,0,2245.455,1536.364,0,294.314,294.708,255,255
1,315.835,1033.333,1387.879,0,1293.939,1351.515,0,263.131,298.482,255,255
1,307.694,1293.939,1618.182,0,1536.364,1763.636,0,282.713,293.187,255,255
1,301.381,2448.485,1057.576,0,2727.273,1027.273,0,280.430,281.578,255,255
1,299.883,2542.424,2675.758,0,2824.242,2696.970,0,282.615,277.140,255,255
1,297.348,1303.030,1357.576,0,1536.364,1257.576,0,253.859,282.551,255,255
1,297.133,2742.424,1218.182,0,2821.212,1415.152,0,212.143,273.811,255,255
1,295.358,312.121,2781.818,0,530.303,2881.818,0,240.007,277.830,255,255
1,295.301,2160.606,1254.545,0,2436.364,1230.303,0,276.821,274.524,255,255
1,294.622,2154.545,245.455,0,2272.727,57.576,0,221.958,271.199,255,255
1,294.407,2542.424,2675.758,0,2663.636,2439.394,0,265.632,273.017,255,255
1,287.270,1115.152,2303.030,0,1384.848,2303.030,0,269.697,268.055,255,255
1,286.965,2778.788,848.485,0,2872.727,1024.242,0,199.287,261.442,255,255
1,286.571,2084.848,648.485,0,2169.697,412.121,0,251.132,270.510,255,255
1,283.756,2472.727,1296.970,0,2478.788,1515.152,0,218.266,262.260,255,255
1,282.895,75.758,1166.667,0,327.273,1181.818,0,251.971,266.407,255,255
1,281.944,754.545,2145.455,0,1015.152,2196.970,0,265.649,265.573,255,255
1,281.640,148.485,493.939,0,278.788,603.030,0,169.940,256.086,255,255
1,280.080,1524.242,2827.273,0,1766.667,2821.212,0,242.500,261.247,255,255
1,279.775,1363.636,2536.364,0,1384.848,2303.030,0,234.296,266.158,255,255
1,276.441,466.667,2124.242,0,687.879,2021.212,0,244.029,261.382,255,255
1,275.275,1760.606,2775.758,0,1996.970,2712.121,0,244.780,252.179,255,255
1,275.059,2396.970,1730.303,0,2415.152,1487.879,0,243.105,251.370,255,255
1,274.413,2436.364,233.333,0,2551.515,393.939,0,197.621,260.887,255,255
1,272.460,1293.939,1351.515,0,1336.364,1124.242,0,231.198,251.329,255,255
1,271.509,1196.970,1651.515,0,1215.152,1887.879,0,237.062,251.362,255,255
1,271.420,1293.939,1590.909,0,1309.091,1372.727,0,218.707,252.523,255,255
1,269.949,166.667,1787.879,0,315.152,1606.061,0,234.746,253.808,255,255
