Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1555.338,492.201,2112.676,0,941.239,2753.294,0,782.321,1478.437,255,255
1,1491.021,859.458,1955.929,0,941.239,2753.294,0,801.548,1416.917,255,255
1,1035.248,756.474,2876.723,0,300.621,2264.880,0,762.990,985.772,255,255
1,939.423,422.535,2876.723,0,300.621,2264.880,0,623.871,898.048,255,255
1,708.467,1537.937,2620.021,0,1358.473,2140.694,0,511.822,675.020,255,255
1,636.391,0.000,106.012,0,258.973,283.962,0,314.218,609.600,255,255
1,524.141,823.868,0.000,0,809.481,320.309,0,320.632,498.888,255,255
1,517.061,1400.878,0.000,0,1325.912,410.420,0,417.210,492.044,255,255
1,484.598,76.480,1657.580,0,114.342,1313.040,0,346.614,462.365,255,255
1,481.332,1274.421,0.000,0,1325.912,410.420,0,413.637,464.498,255,255
1,480.790,1323.641,1379.676,0,1455.399,1092.685,0,315.791,450.454,255,255
1,452.427,1296.380,861.730,0,1455.399,1092.685,0,280.406,428.457,255,255
1,409.664,420.264,1469.786,0,436.923,1792.367,0,323.011,389.772,255,255
1,406.420,588.369,1104.801,0,865.516,1122.974,0,277.742,386.868,255,255
1,404.439,1053.309,441.466,0,1121.460,87.839,0,360.134,382.558,255,255
1,368.222,1409.208,1568.984,0,1487.203,1862.032,0,303.250,349.307,255,255
1,365.928,216.568,516.432,0,324.095,819.325,0,321.412,349.598,255,255
1,353.267,555.051,1477.359,0,814.024,1687.869,0,333.739,338.079,255,255
1,347.808,97.683,1859.761,0,232.470,2098.289,0,273.977,331.340,255,255
1,338.488,89.353,993.488,0,95.411,1201.726,0,208.327,321.617,255,255
1,320.650,46.191,814.024,0,174.163,977.586,0,207.676,303.071,255,255
1,310.552,809.481,320.309,0,1053.309,441.466,0,272.271,293.753,255,255
1,304.476,693.624,1422.081,0,869.302,1403.907,0,176.615,286.840,255,255
1,295.855,693.624,1422.081,0,899.591,1483.417,0,214.906,279.809,255,255
1,292.629,985.915,1918.068,0,1192.640,2025.594,0,233.017,277.420,255,255
1,290.532,1050.280,931.395,0,1294.109,860.972,0,253.795,277.107,255,255
1,287.252,399.818,688.323,0,627.745,758.746,0,238.558,269.316,255,255
1,279.671,658.034,1263.819,0,878.389,1235.045,0,222.225,262.922,255,255
1,275.768,492.201,2112.676,0,567.924,1904.437,0,221.579,261.593,255,255
1,275.463,1259.276,1141.148,0,1297.138,1350.901,0,213.143,257.453,255,255
1,271.668,1079.812,489.929,0,1307.739,476.299,0,228.334,257.929,255,255
1,269.674,218.083,1623.504,0,384.674,1793.124,0,237.747,255.797,255,255
1,268.388,258.973,283.962,0,486.900,333.182,0,233.181,252.946,255,255
1,267.596,114.342,1313.040,0,262.002,1513.706,0,249.140,253.725,255,255
1,264.105,1041.951,1066.182,0,1259.276,1141.148,0,229.892,247.883,255,255
1,263.567,899.591,1483.417,0,935.938,1722.702,0,242.030,246.144,255,255
1,261.510,1007.118,861.730,0,1055.581,630.774,0,235.985,246.830,255,255
1,258.047,1294.109,860.972,0,1300.167,645.919,0,215.139,247.499,255,255
1,256.941,357.413,1912.010,0,492.201,2112.676,0,241.732,242.788,255,255
1,256.210,1358.473,2140.694,0,1520.521,2211.873,0,176.991,243.989,255,255
1,255.036,49.977,346.812,0,216.568,516.432,0,237.747,245.832,255,255
1,250.183,601.242,923.065,0,810.995,863.244,0,218.117,237.442,255,255
1,247.230,49.977,346.812,0,254.430,351.355,0,204.503,235.466,255,255
1,244.072,567.924,371.801,0,778.434,349.841,0,211.653,230.794,255,255
1,242.745,1296.380,861.730,0,1309.253,1088.142,0,226.778,235.581,255,255
1,241.638,365.743,963.956,0,578.525,970.014,0,212.868,227.692,255,255
1,239.801,1492.503,1992.276,0,1520.521,2211.873,0,221.377,227.649,255,255
1,236.575,567.924,1904.437,0,766.318,1834.015,0,210.523,227.117,255,255
1,233.587,232.470,2098.289,0,300.621,2264.880,0,179.992,219.491,255,255
1,227.995,280.933,501.287,0,426.321,642.890,0,202.951,216.019,255,255
1,227.273,76.480,1657.580,0,97.683,1859.761,0,203.290,215.431,255,255
1,223.712,817.053,2876.723,0,941.239,2753.294,0,175.091,214.132,255,255
1,223.232,495.229,489.172,0,519.461,654.248,0,166.845,207.602,255,255
1,221.919,1101.772,592.155,0,1300.167,645.919,0,205.550,209.150,255,255
1,217.841,365.743,963.956,0,393.003,1162.350,0,200.259,204.936,255,255
1,211.501,881.418,1231.259,0,1068.454,1232.773,0,187.042,201.300,255,255
1,208.558,1380.433,1908.981,0,1492.503,1992.276,0,139.635,198.763,255,255
1,207.943,747.388,539.906,0,778.434,349.841,0,192.584,200.735,255,255
1,207.218,1331.213,2090.716,0,1380.433,1908.981,0,188.283,196.845,255,255
1,202.845,857.943,985.915,0,1023.777,1067.697,0,184.903,193.304,255,255
1,202.693,1163.865,1612.146,0,1320.612,1662.123,0,164.522,192.797,255,255
1,202.285,1300.167,645.919,0,1307.739,476.299,0,169.789,189.714,255,255
1,199.417,1023.777,1067.697,0,1068.454,1232.773,0,171.015,188.460,255,255
1,197.491,89.353,993.488,0,211.268,1119.188,0,175.111,186.254,255,255
1,197.450,1019.234,1830.229,0,1194.154,1855.217,0,176.696,189.397,255,255
