 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,15174.418,66.606,4480.018,437.626,0.996,1.117,0.895,1.429,0,1,119850,88.904,68.935,909.338,995.197,-782.388,-0.898,-0.167,0.420,-0.943,-46.570,294338768546.500,0.016,1.710E-4,1.799E-6,5.910E-7,5.784E-13,4.796E-9,-1.921E-13,5.536,3.855,1.682,47.298
2,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,34576.682,238.420,4478.504,692.407,0.906,2.418,0.414,1.675,0,1,241485,222.080,64.502,7942.948,1038.607,-565.338,0.176,-0.103,-1.281,-1.095,-4.650,1.182E13,0.037,8.394E-4,2.073E-5,3.642E-6,5.269E-12,-1.395E-8,3.121E-11,6.728,5.224,1.504,66.036
3,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,73702.024,356.494,4424.008,908.413,1.000,1.411,0.709,1.746,0,1,435285,343.183,118.191,9864.394,4048.890,-2392.388,0.262,0.040,-1.179,-1.029,-19.723,2.469E13,0.032,2.993E-4,2.622E-6,1.111E-6,1.870E-12,1.895E-8,3.116E-13,6.303,5.428,0.874,64.008
4,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,13556.608,587.345,4499.697,447.076,0.852,2.275,0.440,1.386,0,1,144330,597.259,54.362,3278.247,325.230,-387.742,-0.478,-0.535,-1.184,-0.608,-7.357,1.345E12,0.025,4.475E-4,3.635E-6,2.582E-6,7.752E-12,4.483E-8,-1.565E-12,6.207,4.409,1.798,65.507
5,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,52549.041,784.136,4449.743,809.569,1.000,1.675,0.597,1.400,0,1,330225,802.334,105.304,10957.482,2836.025,1638.017,-0.212,-0.332,-1.570,-1.167,10.984,2.533E13,0.042,7.033E-4,2.043E-5,4.507E-6,-6.796E-12,-7.811E-10,-4.271E-11,6.774,5.692,1.081,52.563
6,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,2722.321,940.054,4517.863,176.826,1.000,1.630,0.614,1.595,0,1,54825,940.741,26.526,461.346,93.972,13.794,0.006,-0.295,-1.430,-0.910,2.147,7441120177.636,0.010,4.515E-5,5.401E-7,7.436E-8,-1.484E-14,-4.969E-10,-1.315E-15,4.755,3.602,1.153,51.649
7,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36820.076,1020.285,4460.339,694.915,0.958,1.515,0.660,1.312,0,1,296565,997.366,88.465,6216.581,2564.160,72.281,0.493,-0.213,-1.264,-1.434,1.133,3.962E12,0.030,1.519E-4,6.175E-6,2.452E-6,6.470E-12,1.475E-8,7.014E-12,6.070,5.431,0.639,56.477
8,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,2165.482,1155.767,4517.863,154.898,1.000,1.296,0.771,1.864,0,1,49980,1152.809,24.730,271.832,104.086,-66.402,0.169,-0.087,-1.360,-1.067,-19.184,2287859571.848,0.008,1.832E-5,2.414E-7,3.857E-8,-5.878E-16,7.398E-12,3.675E-15,4.241,3.309,0.932,43.829
9,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,32894.710,1267.787,4472.449,628.157,1.000,1.897,0.527,1.506,0,1,269535,1264.629,81.690,7313.611,1372.557,-408.113,0.002,-0.554,-1.612,-0.913,-3.911,9.693E12,0.032,4.950E-4,3.967E-6,8.504E-7,-1.034E-12,-1.838E-8,-1.171E-12,6.448,5.223,1.224,58.819
10,Croped_MAX_File_149_10-21-19_COQF_2_1_Distal_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,15222.540,1407.054,4483.046,399.863,1.000,1.247,0.802,1.450,0,1,180540,1408.140,65.494,2117.016,1296.911,-49.177,0.118,-0.276,-1.525,-1.467,-3.419,123172647608.234,0.019,2.093E-5,2.636E-7,1.547E-7,-1.944E-14,5.282E-10,-2.444E-14,5.234,4.878,0.356,34.014
