 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,236839.910,353.681,1301.121,1986.348,0.754,2.095,0.477,1.719,0,1,1034790,419.417,202.148,31331.793,8974.595,-7760.872,-0.198,-0.424,-0.800,-1.158,-17.385,7.665E14,0.039,6.918E-4,5.464E-6,6.363E-7,1.024E-12,1.474E-8,-6.002E-13,6.708,5.525,1.183,65.908
2,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,95699.567,826.265,1335.959,1099.536,0.995,1.347,0.743,1.323,0,1,525555,818.692,157.756,15215.060,7012.746,-25.031,0.072,-0.301,-1.693,-1.367,-0.175,3.536E13,0.042,2.436E-4,4.079E-6,1.447E-6,-3.435E-12,-2.203E-8,-7.497E-13,6.536,5.977,0.559,36.408
3,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,38881.391,1144.350,1421.539,925.900,0.570,4.270,0.234,1.604,0,1,261375,1129.929,56.019,16490.181,568.349,-2063.518,0.032,-0.266,-1.300,-0.865,-7.266,7.071E13,0.065,0.004,1.737E-5,2.383E-6,-6.412E-12,-7.485E-8,1.392E-11,7.682,4.793,2.889,78.187
4,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,20813.830,1495.759,1432.899,638.996,0.641,3.937,0.254,1.403,0,1,189210,1509.044,49.607,9093.574,406.484,365.874,-0.173,-0.579,-1.535,-0.940,2.407,1.438E13,0.050,0.002,1.946E-5,5.807E-6,4.598E-11,9.384E-8,-4.119E-11,7.269,4.998,2.271,73.228
5,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,58435.653,1830.506,1401.091,1065.226,0.647,3.144,0.318,1.288,0,1,374595,1821.945,89.411,21564.692,1136.689,-1465.282,0.073,-0.816,-1.361,-0.097,-4.082,1.595E14,0.061,0.003,2.558E-5,4.036E-6,-1.885E-11,-1.092E-7,3.643E-11,7.534,5.338,2.196,74.564
6,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,14821.136,2103.151,1411.693,454.077,0.903,1.118,0.894,1.107,0,1,102255,2081.227,78.785,2014.538,1272.836,953.972,0.641,-0.764,-1.307,-0.947,34.378,428486385933.719,0.032,4.008E-4,1.799E-5,1.818E-6,-6.902E-12,-2.721E-8,7.780E-12,6.385,5.333,1.052,28.169
7,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,181790.634,1216.298,1301.878,1470.056,1.000,1.746,0.573,1.546,0,1,1008270,1231.552,178.571,34291.853,12417.592,2029.844,-0.206,0.005,-1.392,-1.620,5.257,4.991E14,0.046,4.869E-4,5.084E-6,1.360E-6,3.177E-12,2.599E-8,-1.644E-12,6.776,6.028,0.748,61.074
8,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,71765.498,575.583,1313.238,943.415,1.000,1.082,0.924,1.363,0,1,514590,573.547,157.563,9388.118,7677.244,-1219.526,-0.071,-0.121,-1.514,-1.546,-27.476,4.568E12,0.033,3.352E-5,3.110E-10,1.369E-7,-7.677E-16,-7.363E-10,4.560E-16,5.964,5.709,0.254,47.521
9,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,15123.982,1556.347,1373.826,433.517,1.000,1.609,0.621,1.409,0,1,193800,1560.000,96.510,2594.436,1027.580,-194.416,-0.211,0.210,-1.367,-1.591,-6.969,505086911876.837,0.019,6.939E-5,1.307E-7,1.229E-7,8.856E-15,8.438E-10,1.282E-14,5.436,4.744,0.692,61.230
10,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,55517.312,2002.424,1335.201,906.417,0.849,1.964,0.509,1.356,0,1,435795,1997.305,137.754,10313.542,2932.134,270.532,-0.059,0.161,-1.297,-1.519,2.096,2.387E13,0.030,2.884E-4,1.056E-7,7.908E-8,4.816E-16,4.106E-12,7.212E-15,6.246,5.336,0.910,64.386
11,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,54790.021,330.960,1260.982,840.138,0.975,1.168,0.856,1.347,0,1,413610,337.269,207.365,7370.229,4959.917,-466.401,0.023,-0.136,-1.448,-1.522,-10.578,2.763E12,0.030,3.905E-5,2.191E-6,2.124E-7,-5.511E-14,1.017E-9,1.339E-13,5.852,5.545,0.307,34.817
12,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,52832.989,1713.117,1276.128,923.060,0.779,2.257,0.443,1.133,0,1,430440,1720.628,198.109,14996.422,3621.037,732.651,-0.156,-0.026,-1.509,-1.740,3.670,5.662E13,0.043,7.100E-4,1.242E-6,1.011E-6,1.126E-12,2.674E-8,-1.199E-13,6.807,5.770,1.037,63.707
13,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,48703.261,1421.539,1235.989,761.374,1.000,1.578,0.634,1.714,0,1,394740,1438.822,247.979,7369.743,3347.255,-1891.417,-0.224,-0.324,-1.212,-1.242,-21.621,1.204E13,0.027,1.957E-4,1.937E-6,1.801E-7,6.677E-14,1.672E-9,-8.284E-14,6.042,5.220,0.822,63.491
14,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,61606.367,2019.085,1203.423,906.075,0.943,1.431,0.699,1.334,0,1,400095,1989.816,268.616,9294.755,4788.564,320.343,0.331,0.227,-1.342,-1.588,4.046,8.288E12,0.035,1.294E-4,2.280E-6,3.983E-6,-1.125E-11,4.531E-8,-4.190E-12,6.222,5.738,0.484,55.260
15,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,55141.048,597.546,1166.313,805.318,1.000,1.615,0.619,1.470,0,1,457980,602.838,309.962,9605.771,3478.075,61.544,-0.128,0.007,-1.390,-1.490,0.575,1.720E13,0.029,1.791E-4,6.504E-7,7.214E-8,1.401E-14,8.640E-10,-6.925E-15,6.071,5.338,0.733,60.818
