 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,446990.247,305.164,1870.362,2661.278,0.793,1.212,0.825,1.213,0,1,1328040,363.931,519.831,45427.034,33626.300,-12540.497,-0.255,-1.153,-1.618,0.542,-32.401,1.020E15,0.060,4.356E-4,8.685E-5,3.479E-5,1.070E-9,-8.909E-8,1.585E-9,7.009,6.481,0.528,34.649
2,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,436070.424,1010.904,1992.276,3608.025,0.421,1.800,0.556,1.284,0,1,1841355,1021.629,265.390,78943.074,21419.832,-2283.096,-0.192,-0.221,-1.289,-1.311,-2.269,6.131E15,0.055,9.821E-4,1.722E-6,3.479E-6,6.604E-12,1.027E-7,-5.377E-12,7.104,6.159,0.945,61.282
3,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,8071.173,1501.590,2199.758,358.274,0.790,1.353,0.739,1.070,0,1,97665,1502.084,47.282,1826.808,659.844,-51.076,-0.058,-0.201,-1.874,-1.505,-2.501,134019647054.340,0.025,1.439E-4,5.468E-7,2.262E-7,5.608E-14,-9.240E-10,-5.642E-14,5.907,5.169,0.738,31.286
4,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,121377.235,1947.600,2127.063,1390.451,0.789,2.449,0.408,1.859,0,1,604605,1920.389,109.547,24648.461,4233.804,496.941,0.130,0.161,-1.199,-1.428,1.394,2.526E14,0.048,0.001,2.431E-5,3.420E-6,4.525E-12,-3.899E-8,3.086E-11,7.030,5.757,1.273,61.681
5,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,129469.051,2197.486,2015.750,1294.234,0.971,1.531,0.653,1.361,0,1,720120,2193.669,249.001,10325.330,20390.538,-307.947,-0.073,-0.244,-1.603,-1.384,-88.249,7.323E13,0.043,1.961E-4,1.007E-6,1.661E-6,1.805E-12,2.326E-8,1.166E-12,6.504,6.012,0.492,48.126
6,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,79658.971,2470.847,2122.520,1075.290,0.866,1.484,0.674,1.226,0,1,430185,2479.615,147.200,14845.029,3653.901,-1055.451,-0.254,-0.610,-1.499,-0.732,-5.341,5.579E13,0.043,7.008E-4,6.538E-6,4.460E-6,1.098E-11,5.072E-9,-2.143E-11,6.799,5.763,1.036,50.421
7,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,9653.756,2625.322,2192.185,342.306,1.000,1.131,0.884,1.341,0,1,106335,2624.948,59.251,1449.651,539.320,65.064,-0.006,-0.262,-1.702,-1.059,4.068,89920715411.927,0.019,7.479E-5,2.094E-6,3.707E-7,-3.226E-13,-3.123E-9,-5.075E-14,5.454,4.732,0.722,13.563
8,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,44085.258,2738.907,2125.549,720.197,1.000,1.155,0.866,1.466,0,1,284325,2729.259,125.238,3819.440,4182.608,-383.676,0.149,-0.076,-1.411,-1.264,-57.663,204918749296.775,0.028,8.915E-6,5.253E-6,9.269E-7,-1.755E-12,2.145E-9,1.050E-12,5.640,5.487,0.154,51.041
9,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,90454.940,2807.815,2001.363,1193.140,0.798,2.484,0.403,1.521,0,1,445485,2779.523,288.891,2246.979,20013.358,-599.922,0.399,-0.462,-0.909,-1.112,-88.068,1.413E14,0.050,0.002,5.439E-5,1.797E-5,4.737E-10,5.311E-7,-3.018E-10,7.171,5.586,1.585,66.514
10,MAX_File_104_05-30-2019_DYF_6_5_Chat_YFP_Pr_GFP-g_nNOS-r_VIP-b.lif...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,84730.118,1640.921,2020.294,1176.437,0.769,2.153,0.465,1.312,0,1,603840,1653.904,228.273,4474.059,17868.392,680.625,-0.110,-0.084,-1.591,-1.401,87.099,1.095E14,0.037,4.971E-4,2.553E-7,5.545E-7,-1.592E-13,1.201E-8,-1.348E-13,6.570,5.564,1.006,70.614
