 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,199424.573,333.990,2073.614,1996.323,0.629,2.217,0.451,1.599,0,1,888420,311.817,151.909,38102.801,5376.552,-5085.750,0.375,0.567,-1.100,-0.633,-8.633,1.043E15,0.049,0.001,1.133E-5,1.131E-5,1.215E-10,4.140E-7,-4.046E-11,7.132,5.593,1.539,73.144
2,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,187260.229,1024.689,2117.540,2210.507,0.482,4.164,0.240,1.548,0,1,1001640,990.371,110.437,66430.285,3136.437,-1444.676,0.148,0.219,-1.229,-1.163,-1.307,4.021E15,0.069,0.004,2.564E-5,8.969E-6,1.243E-10,3.186E-7,5.524E-11,7.732,5.522,2.210,77.033
3,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,92746.812,1471.524,2098.606,1100.728,0.962,1.485,0.673,1.354,0,1,462570,1465.542,135.529,16249.179,6050.843,-1054.230,0.107,-0.059,-1.378,-1.488,-5.841,5.017E13,0.048,5.069E-4,2.226E-6,4.584E-7,1.132E-13,4.689E-9,4.490E-13,6.824,6.094,0.730,58.400
4,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,31977.862,1737.352,2147.077,656.589,0.932,1.366,0.732,1.210,0,1,244545,1747.460,99.486,6235.012,2149.229,-184.017,-0.248,-0.545,-1.640,-1.193,-2.574,4.115E12,0.034,2.814E-4,4.397E-6,2.072E-6,-1.692E-12,-1.109E-8,-6.022E-12,6.354,5.582,0.772,41.486
5,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,3260.191,1845.653,2201.606,196.364,1.000,1.690,0.592,1.617,0,1,56355,1845.105,26.528,578.131,117.860,-65.309,-0.057,-0.085,-1.522,-1.061,-7.922,12900258111.305,0.012,7.208E-5,7.634E-7,8.820E-8,-2.289E-14,-7.420E-10,-2.808E-16,5.061,3.845,1.216,46.245
6,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,20852.833,1944.108,2177.370,566.443,0.817,2.443,0.409,1.361,0,1,205785,1930.646,58.075,5790.895,637.472,-341.789,0.320,-0.737,-1.424,-0.753,-3.778,5.561E12,0.031,6.382E-4,4.051E-6,2.541E-6,7.308E-12,5.238E-8,3.610E-12,6.500,4.880,1.620,69.738
7,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,3819.999,2072.857,2195.547,206.707,1.000,1.216,0.822,1.680,0,1,67065,2071.647,34.115,431.016,172.638,-33.649,0.130,-0.024,-1.280,-0.994,-7.299,4780937883.365,0.009,1.585E-5,5.972E-7,7.176E-8,-1.222E-14,-2.135E-10,8.446E-15,4.379,3.693,0.685,35.965
8,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,218731.052,2137.988,1494.244,3509.185,0.223,9.727,0.103,1.099,0,1,1358895,2116.155,795.881,1011.525,159396.714,2560.290,0.465,-0.168,-0.610,-0.975,89.074,3.412E16,0.118,0.014,5.199E-5,4.499E-5,2.176E-9,5.196E-6,2.296E-11,8.554,4.874,3.680,85.927
9,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,42426.074,804.302,2084.217,699.988,1.000,1.030,0.971,1.494,0,1,372300,799.614,147.680,4481.138,4399.386,-1150.082,-0.010,-0.080,-1.287,-1.397,-43.982,1.972E12,0.024,3.822E-5,2.130E-7,5.853E-8,5.473E-15,2.982E-10,3.570E-15,5.589,5.206,0.383,58.613
10,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,43655.815,1193.578,2064.526,704.120,1.000,1.060,0.944,1.381,0,1,342720,1192.135,162.208,4998.157,4718.691,-658.213,0.185,-0.130,-1.551,-1.425,-39.007,620693751133.802,0.028,1.542E-5,3.887E-7,2.635E-7,-4.630E-14,8.579E-10,7.051E-14,5.693,5.491,0.201,35.470
