 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,9911.632,74.062,3264.840,371.558,0.902,2.148,0.466,1.414,0,1,124185,81.181,44.687,2020.272,330.234,-613.383,-0.338,-0.597,-1.247,-0.722,-17.988,541593406909.050,0.019,2.828E-4,1.768E-6,3.764E-7,1.435E-13,-4.760E-10,-2.714E-13,5.840,3.799,2.041,60.837
2,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,1296.165,180.978,3288.228,142.648,0.800,2.895,0.345,1.296,0,1,38250,181.572,15.466,515.649,22.703,15.745,-0.044,-0.296,-1.777,-1.048,1.828,9332514433.308,0.014,1.668E-4,1.873E-7,2.750E-8,-6.347E-16,-1.981E-10,-1.869E-15,5.434,3.165,2.270,67.146
3,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,23452.527,267.847,3234.213,516.414,1.000,1.405,0.712,1.753,0,1,277185,246.245,66.630,3415.035,1455.791,-711.575,0.460,0.138,-1.219,-1.237,-17.997,1.625E12,0.018,7.632E-5,2.513E-6,3.878E-7,2.473E-13,2.869E-9,2.923E-13,5.398,4.611,0.787,61.278
4,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,78421.094,284.553,3142.332,883.665,1.000,1.249,0.801,1.849,0,1,900150,277.853,150.601,7024.698,8844.822,-351.227,0.142,0.113,-1.515,-1.296,-79.448,3.426E12,0.018,4.698E-6,2.982E-7,1.874E-8,9.914E-16,-2.530E-11,-9.899E-16,4.987,4.809,0.178,59.436
5,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,69422.358,534.581,3191.335,958.235,0.950,1.503,0.666,1.319,0,1,523005,524.805,129.250,12843.630,3477.331,-352.632,0.110,-0.605,-1.580,-0.839,-2.153,4.614E13,0.031,3.225E-4,6.092E-6,1.722E-6,-4.002E-12,-2.341E-8,3.885E-12,6.300,5.354,0.946,48.910
6,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,87519.057,833.055,3165.163,1043.668,1.000,1.225,0.816,1.372,0,1,616335,863.771,158.188,13034.012,6463.471,1586.987,-0.350,-0.152,-1.416,-1.207,12.892,3.282E13,0.032,1.402E-4,9.026E-6,1.432E-6,-1.683E-12,3.600E-9,-4.867E-12,6.122,5.555,0.567,53.303
7,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,22525.986,1008.464,3228.088,483.590,1.000,1.126,0.888,1.784,0,1,370005,1020.275,77.077,2327.994,1667.919,216.239,-0.245,0.044,-1.230,-1.344,16.616,230415710992.976,0.011,4.549E-6,1.208E-7,2.929E-8,1.602E-15,5.109E-11,-6.851E-16,4.373,4.084,0.289,62.870
8,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,5882.977,1038.534,3270.409,272.471,0.996,1.824,0.548,1.717,0,1,118320,1043.800,33.846,1074.971,207.254,231.513,-0.138,-0.184,-1.343,-1.016,14.042,114453800457.024,0.011,6.910E-5,5.631E-7,9.622E-8,-6.347E-17,-2.123E-11,-2.240E-14,4.939,3.478,1.462,59.261
9,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,44010.079,1196.124,3211.382,705.436,1.000,1.439,0.695,1.669,0,1,533460,1193.625,97.336,7848.601,2338.742,718.963,-0.066,-0.123,-1.508,-1.060,7.313,1.730E13,0.019,1.139E-4,1.585E-8,1.499E-8,8.756E-17,1.567E-10,-2.137E-16,5.576,4.665,0.911,65.410
10,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,11330.592,1281.323,3263.726,392.192,0.926,2.302,0.434,1.631,0,1,163710,1284.989,40.612,2603.247,386.512,154.229,-0.058,-0.110,-1.454,-1.219,3.961,820033251652.403,0.018,1.869E-4,2.584E-6,3.121E-7,-2.546E-13,-3.755E-9,-1.172E-13,5.677,4.278,1.399,59.952
