 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,1039867.124,1181.281,2729.820,6349.777,0.324,5.354,0.187,1.188,0,1,4712145,1129.012,272.824,383446.046,11996.543,-5694.558,0.283,-0.278,-0.844,-1.041,-0.878,6.508E17,0.084,0.006,4.120E-5,4.396E-5,1.870E-9,3.464E-6,3.481E-11,8.027,5.522,2.505,81.942
2,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,291754.910,2351.961,2542.026,2127.693,0.810,2.284,0.438,1.587,0,1,1290045,2338.894,427.910,13167.791,68416.005,-4133.039,0.279,-0.065,-1.347,-1.424,-85.745,4.026E15,0.063,0.002,7.355E-7,1.212E-6,-4.513E-13,5.244E-8,-1.051E-12,7.415,6.206,1.209,73.577
3,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,1259258.999,2652.582,1817.356,6037.891,0.434,4.076,0.245,1.501,0,1,6895200,2624.250,1415.744,21946.362,256809.669,11898.608,0.037,-0.326,-1.192,-0.495,87.107,3.842E17,0.040,0.001,6.575E-6,5.467E-6,3.277E-11,1.851E-7,5.188E-13,6.902,5.106,1.796,77.731
4,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,260174.352,2137.665,2557.171,1778.973,1.000,1.890,0.529,2.386,0,1,1088085,2143.747,440.758,11662.381,44265.036,-12449.518,-0.238,-0.172,-1.218,-1.210,-71.315,1.831E15,0.051,0.001,1.535E-5,2.828E-6,1.701E-11,9.640E-8,-7.617E-12,7.157,5.807,1.351,77.062
5,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,51234.404,689.081,2773.739,746.697,1.000,1.048,0.954,1.598,0,1,445995,691.614,172.732,4998.088,5764.680,-380.772,0.078,0.103,-1.419,-1.459,-67.595,520749671188.212,0.024,5.870E-6,1.507E-7,2.119E-8,-1.198E-15,-4.973E-11,-1.517E-18,5.411,5.266,0.145,53.389
6,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,6536.756,825.382,2841.890,269.979,1.000,1.140,0.877,1.470,0,1,110925,826.512,109.607,610.016,827.995,56.473,-0.163,0.107,-1.331,-1.555,76.305,6685579290.465,0.013,4.898E-6,1.932E-7,5.824E-8,-5.003E-15,-1.286E-10,-3.625E-15,4.604,4.355,0.249,20.001
7,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,16073.539,615.629,2795.699,417.850,1.000,1.315,0.760,1.703,0,1,191505,605.343,154.402,1360.845,2015.160,-572.634,0.381,-0.105,-1.386,-1.258,-59.870,333174377638.630,0.018,4.744E-5,5.824E-7,1.449E-7,-3.655E-14,9.645E-10,2.089E-14,5.296,4.700,0.595,54.728
8,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,70615.312,437.680,2710.132,918.395,1.000,1.041,0.961,1.357,0,1,451860,445.546,249.694,8044.295,9162.337,-2245.969,-0.059,-0.145,-1.561,-1.495,-51.988,9.682E12,0.038,1.049E-4,1.670E-6,1.879E-7,9.934E-14,1.817E-9,-3.483E-14,6.275,5.877,0.398,48.355
9,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,72216.244,1060.881,2703.317,871.224,1.000,1.052,0.951,1.646,0,1,523005,1054.511,254.191,7378.501,7465.555,-786.968,0.076,0.003,-1.438,-1.295,-46.583,1.300E12,0.028,9.084E-6,2.576E-7,4.060E-9,-9.424E-17,-3.056E-12,9.141E-17,5.653,5.499,0.154,54.725
10,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,58665.664,844.313,2686.658,821.533,1.000,1.184,0.845,1.398,0,1,468690,847.789,271.559,5753.571,7772.813,-54.281,-0.026,-0.123,-1.579,-1.480,-88.461,1.917E12,0.029,1.861E-5,4.141E-7,2.303E-8,2.216E-15,9.499E-11,-3.864E-16,5.732,5.515,0.217,41.574
