 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,364095.189,725.538,1398.061,3623.377,0.348,5.759,0.174,1.428,0,1,1686315,675.060,151.856,153181.174,4410.647,-6195.583,-0.023,-0.206,-1.013,-1.133,-2.381,3.758E16,0.093,0.008,2.744E-5,2.946E-6,-2.601E-11,-2.520E-7,-4.989E-12,8.188,5.584,2.604,81.806
2,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,49914.648,1602.545,1439.715,841.660,0.885,1.766,0.566,1.551,0,1,279480,1637.623,83.439,8336.994,2992.717,2635.334,-0.278,0.167,-1.184,-1.444,22.301,1.575E13,0.041,7.213E-4,2.442E-5,4.257E-6,2.991E-11,9.019E-8,-3.146E-11,6.755,5.604,1.150,54.280
3,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,29779.929,1819.146,1434.414,625.928,0.955,1.073,0.932,1.206,0,1,239190,1819.498,114.190,4192.544,2902.181,-253.595,-0.032,-0.422,-1.745,-1.219,-10.729,459789958308.276,0.030,3.360E-5,2.200E-6,1.259E-6,-1.117E-13,-4.853E-9,2.091E-12,5.828,5.542,0.286,38.662
4,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,59587.389,1994.093,1393.517,910.207,0.904,1.139,0.878,1.140,0,1,294780,1973.923,172.619,7070.019,5540.237,1667.096,0.424,-0.661,-1.500,-0.636,32.677,3.967E12,0.043,1.549E-4,8.117E-6,9.443E-6,-7.869E-11,-1.134E-7,2.539E-11,6.467,6.035,0.432,34.476
5,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,123003.953,2071.342,1157.982,1760.614,0.499,4.351,0.230,1.535,0,1,659940,2062.383,417.168,1984.028,39365.340,-99.653,-0.248,-0.313,-1.342,-0.978,-89.847,9.222E14,0.063,0.003,6.644E-5,2.496E-5,9.406E-10,8.931E-7,-3.850E-10,7.579,5.423,2.155,76.725
6,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,243020.736,1372.311,1303.393,1836.549,0.905,1.421,0.704,1.224,0,1,966450,1375.737,243.744,43715.705,22712.607,-1584.158,0.046,-0.135,-1.536,-1.612,-4.289,4.360E14,0.069,4.830E-4,1.140E-5,7.903E-7,2.365E-12,5.535E-9,1.771E-13,7.183,6.705,0.478,45.856
7,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,39420.550,864.132,1378.370,688.175,1.000,1.174,0.852,1.275,0,1,304215,860.914,153.679,4472.304,5608.424,-443.972,0.089,-0.226,-1.567,-1.561,-70.995,632528250412.575,0.033,2.247E-5,3.822E-7,4.503E-7,1.120E-13,1.999E-9,-1.495E-13,5.923,5.716,0.208,43.647
8,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,103759.420,415.783,1350.348,1226.224,0.867,2.481,0.403,1.731,0,1,663255,422.174,184.303,25314.354,4185.402,5091.544,-0.024,-0.161,-1.312,-1.189,12.866,3.649E14,0.044,0.001,6.802E-7,2.734E-7,1.162E-13,5.932E-9,1.995E-14,6.999,5.434,1.565,74.383
9,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,8328.285,43.169,1352.620,321.304,1.000,1.200,0.833,1.288,0,1,108375,50.307,174.491,678.263,1399.052,-113.596,-0.422,-0.199,-1.324,-1.626,-81.253,61898619382.269,0.019,4.863E-5,5.151E-7,4.516E-7,1.432E-13,-1.441E-9,1.641E-13,5.388,4.838,0.550,36.159
10,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10599.636,728.567,1342.775,385.289,0.897,1.283,0.779,1.223,0,1,164985,725.082,180.521,963.665,1973.372,-71.697,0.368,0.026,-1.303,-1.662,-85.959,171595975372.716,0.018,3.821E-5,1.137E-7,7.051E-8,1.914E-15,-3.626E-10,-6.016E-15,5.264,4.741,0.523,49.172
11,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,97007.314,256.740,1263.254,1088.001,1.000,1.611,0.621,1.645,0,1,601035,237.839,270.364,15683.039,6857.703,2536.076,0.228,-0.124,-1.300,-1.467,14.944,6.228E13,0.038,2.868E-4,2.136E-6,6.604E-7,5.911E-13,6.312E-9,5.156E-13,6.447,5.744,0.702,65.761
12,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,60711.593,1800.969,1270.070,914.618,0.912,1.542,0.649,1.230,0,1,496995,1802.620,262.432,11278.327,5336.225,671.489,-0.143,-0.195,-1.495,-1.708,6.368,1.844E13,0.033,1.502E-4,4.676E-7,3.977E-7,-3.290E-14,4.873E-9,-1.683E-13,6.194,5.639,0.555,55.859
13,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,5575.133,671.009,1320.055,236.912,1.000,1.200,0.833,1.484,0,1,101745,671.478,204.599,786.635,501.763,84.111,0.075,0.092,-1.622,-1.382,15.281,11136124038.525,0.013,1.057E-5,6.761E-9,1.092E-8,-2.891E-17,3.389E-11,8.932E-17,4.672,4.293,0.379,43.050
14,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,34946.677,892.154,1214.783,661.000,1.000,1.214,0.824,1.369,0,1,297075,902.230,303.321,3257.566,4581.188,-197.247,-0.281,0.112,-1.370,-1.548,-81.702,566700013616.856,0.026,2.161E-5,6.057E-7,7.566E-8,-1.541E-14,1.339E-10,5.006E-15,5.636,5.379,0.257,35.066
15,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,26613.804,62.102,1204.938,606.192,0.910,1.812,0.552,1.337,0,1,184110,83.105,313.214,740.121,5596.363,1380.081,-0.726,0.176,-0.362,-1.365,75.194,5.745E12,0.034,9.205E-4,8.441E-6,1.216E-6,-2.520E-12,-3.097E-8,-2.972E-12,6.697,4.702,1.995,60.090
16,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,29206.355,1035.292,1190.548,611.059,0.983,1.411,0.709,1.243,0,1,282030,1043.330,340.420,2738.526,5002.092,-369.153,-0.335,-0.129,-1.563,-1.453,-80.968,1.599E12,0.027,7.127E-5,8.592E-7,1.125E-7,-2.251E-14,-8.751E-10,-2.678E-14,5.846,5.387,0.459,51.568
17,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,85806.574,622.539,1161.769,1026.805,1.000,1.294,0.773,1.391,0,1,617100,635.520,359.505,12799.427,8002.458,-667.669,-0.205,0.057,-1.453,-1.547,-7.778,1.530E13,0.034,6.511E-5,1.448E-6,1.789E-7,7.450E-14,1.440E-9,5.241E-14,6.065,5.713,0.352,43.070
18,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,6791.109,775.523,1222.357,288.931,1.000,1.850,0.541,1.343,0,1,100980,773.882,298.406,453.553,1524.842,62.689,0.183,0.113,-1.462,-1.601,86.662,117478001451.783,0.020,1.141E-4,7.251E-7,1.114E-7,-2.697E-14,-7.627E-10,1.657E-14,5.600,4.718,0.882,56.665
19,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10069.654,1989.549,1221.600,363.563,0.957,1.351,0.740,1.203,0,1,133110,1984.677,309.015,1658.232,1006.854,27.430,0.230,-0.394,-1.489,-1.523,2.407,56878213117.004,0.020,2.412E-5,1.011E-7,3.997E-7,8.791E-15,6.609E-10,-7.990E-14,5.320,4.959,0.361,45.135
20,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,37222.616,1782.036,1128.446,736.734,0.862,1.760,0.568,1.337,0,1,394995,1774.599,396.279,7700.646,2595.297,-504.426,0.095,-0.079,-1.394,-1.634,-5.589,1.070E13,0.026,1.736E-4,7.705E-7,3.437E-8,-5.580E-15,-2.361E-10,3.820E-16,5.974,5.171,0.803,61.867
21,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10099.480,1955.468,1136.777,363.994,0.958,1.145,0.873,1.170,0,1,163965,1957.952,391.456,1237.425,1580.225,84.844,-0.140,-0.130,-1.757,-1.649,76.832,23989014112.995,0.017,5.442E-6,5.144E-8,6.400E-8,1.365E-15,3.527E-11,3.409E-15,4.967,4.770,0.197,35.953
22,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,156629.118,323.387,998.940,1263.386,1.000,1.258,0.795,1.741,0,1,1052130,339.498,519.443,19456.626,14217.213,-307.269,-0.175,-0.016,-1.265,-1.561,-3.345,2.928E13,0.032,2.514E-5,6.015E-8,3.323E-7,3.582E-14,1.455E-9,3.040E-14,5.890,5.662,0.228,56.925
23,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9580.969,408.967,1131.475,313.964,1.000,1.241,0.806,1.675,0,1,155805,410.567,392.535,1151.070,765.876,-105.032,-0.050,0.098,-1.408,-1.437,-14.303,29992672285.982,0.012,7.930E-6,1.547E-7,4.878E-9,1.191E-16,9.638E-12,-6.140E-17,4.598,4.262,0.336,45.036
24,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,40953.138,872.463,1089.821,682.242,1.000,1.619,0.618,1.618,0,1,376635,876.611,429.827,6886.298,2487.005,533.476,-0.039,0.161,-1.397,-1.386,6.816,7.718E12,0.025,1.445E-4,6.119E-8,8.999E-9,-1.730E-16,3.205E-11,1.211E-16,5.886,5.126,0.760,63.213
25,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,28758.968,517.267,1074.674,502.900,1.000,1.055,0.948,2.035,0,1,274380,512.556,452.389,2716.328,2289.879,1060.678,0.153,-0.017,-1.299,-1.227,39.317,1.285E12,0.018,6.219E-5,1.429E-7,8.604E-9,2.283E-16,5.542E-11,-1.973E-16,5.388,4.720,0.667,58.475
26,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,63336.264,1282.945,1051.954,985.700,0.819,2.411,0.415,1.287,0,1,469200,1275.644,466.868,15684.880,3434.038,89.431,0.104,0.256,-1.413,-1.576,0.418,7.043E13,0.041,6.819E-4,4.338E-6,3.581E-7,2.421E-13,2.100E-9,3.750E-13,6.743,5.647,1.096,64.996
27,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,28988.397,1845.653,1001.969,637.804,0.895,1.400,0.714,1.292,0,1,328440,1843.470,525.988,2525.763,4603.886,104.315,0.017,-0.082,-1.631,-1.469,87.134,1.433E12,0.022,4.044E-5,1.540E-7,7.045E-8,7.014E-15,1.665E-10,2.157E-15,5.491,5.055,0.435,52.790
28,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,56322.609,1536.656,989.852,832.824,1.000,1.136,0.880,1.258,0,1,423555,1544.350,539.393,7754.381,6311.675,416.937,0.044,-0.192,-1.554,-1.513,15.014,1.176E12,0.033,1.548E-5,1.086E-7,2.868E-7,5.013E-14,-1.008E-9,7.004E-15,5.895,5.723,0.172,30.617
29,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,87329.985,159.043,961.072,990.541,1.000,1.137,0.880,2.132,0,1,452370,165.791,582.663,7744.114,6994.542,4940.687,-0.016,-0.607,-1.106,-0.869,42.831,4.442E13,0.033,4.799E-4,5.205E-6,1.257E-6,2.212E-12,2.224E-8,2.335E-12,6.448,5.272,1.176,69.747
30,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,60897.430,1061.042,936.837,892.435,0.961,1.646,0.608,1.254,0,1,469200,1055.359,588.857,4849.604,11648.595,-222.232,0.199,-0.040,-1.701,-1.453,-88.130,2.178E13,0.035,2.109E-4,1.206E-6,1.051E-8,8.079E-16,2.263E-11,8.648E-16,6.315,5.681,0.634,57.739
31,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,23232.015,1947.137,999.697,547.442,0.974,1.470,0.680,1.417,0,1,278460,1953.471,522.773,1688.579,4109.885,-314.023,-0.233,0.040,-1.384,-1.497,-82.729,1.742E12,0.021,8.070E-5,3.624E-8,1.281E-8,-1.546E-16,-4.385E-11,2.285E-16,5.578,4.912,0.666,60.236
32,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25127.102,816.419,1017.873,563.755,0.994,2.000,0.500,1.530,0,1,257805,813.346,511.869,5414.346,1294.981,622.476,-0.021,0.075,-1.472,-1.427,8.408,4.774E12,0.026,2.786E-4,5.639E-7,1.087E-7,2.447E-14,-7.505E-10,1.121E-14,6.097,5.000,1.097,64.101
33,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,21529.649,1720.691,995.153,533.272,0.951,1.109,0.902,1.159,0,1,248625,1717.794,527.866,2855.532,3247.150,270.731,0.108,0.116,-1.718,-1.571,62.938,111022242614.054,0.025,7.224E-6,1.303E-7,1.528E-7,-5.629E-15,4.105E-10,-2.082E-14,5.447,5.289,0.159,34.716
34,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36130.533,637.686,941.381,640.440,1.000,1.024,0.976,1.406,0,1,329460,645.028,580.561,4355.611,4284.954,608.171,-0.185,-0.054,-1.498,-1.505,43.338,489076122320.710,0.026,1.368E-5,1.624E-6,2.404E-8,3.510E-15,-5.558E-11,3.203E-15,5.583,5.379,0.205,40.803
35,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,16913.531,2038.019,975.462,460.199,1.000,1.276,0.784,1.277,0,1,173655,2031.406,561.832,2619.268,1611.369,-128.343,0.429,-0.441,-1.415,-1.341,-7.144,187850748204.434,0.024,3.587E-5,1.807E-7,1.120E-6,-2.670E-13,5.717E-9,4.276E-13,5.604,5.242,0.362,37.590
36,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,29199.472,933.808,897.455,613.417,0.975,1.607,0.622,1.380,0,1,305745,933.179,633.685,2167.216,4880.299,161.013,0.104,-0.040,-1.660,-1.463,86.615,2.282E12,0.023,7.985E-5,1.896E-8,2.020E-8,-1.897E-16,-8.813E-11,-3.469E-16,5.679,5.089,0.590,57.558
37,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,56632.339,1329.900,889.882,829.275,1.000,1.686,0.593,1.459,0,1,436305,1328.524,630.340,10096.958,3925.968,957.671,-8.293E-4,-0.043,-1.434,-1.576,8.622,1.822E13,0.032,2.193E-4,1.533E-7,2.534E-8,1.576E-15,-1.481E-10,-1.034E-16,6.233,5.514,0.719,59.810
38,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9406.603,1182.975,907.301,350.191,0.964,1.640,0.610,1.309,0,1,115770,1187.245,613.434,643.184,1913.387,337.191,-0.434,0.371,-1.260,-1.388,76.018,239436399709.941,0.022,1.543E-4,9.387E-7,8.697E-7,5.485E-13,6.096E-10,-5.628E-13,5.789,4.871,0.918,54.009
39,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25439.125,804.302,886.852,593.796,0.907,1.131,0.884,1.135,0,1,227715,791.619,636.786,3944.424,3151.558,-732.489,0.361,0.095,-1.465,-1.559,-30.789,631863581663.652,0.031,5.351E-5,1.969E-6,4.812E-7,4.297E-13,1.905E-9,-1.863E-13,5.946,5.601,0.345,29.175
40,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,35511.074,437.746,871.706,639.705,1.000,1.303,0.768,1.673,0,1,321555,450.532,665.468,5490.664,2892.774,-1372.986,-0.239,-0.113,-1.505,-1.413,-23.294,4.595E12,0.026,1.382E-4,2.963E-6,1.074E-7,5.146E-15,1.040E-9,6.035E-14,5.921,5.221,0.701,55.902
41,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,71949.042,171.160,830.051,925.239,1.000,1.600,0.625,1.680,0,1,524025,201.037,698.814,10389.042,4499.372,701.123,-0.392,0.068,-1.258,-1.321,6.696,1.921E13,0.028,1.335E-4,1.902E-8,2.141E-6,-5.644E-14,2.384E-8,4.283E-13,6.001,5.378,0.623,63.020
42,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36818.821,624.053,834.596,624.836,1.000,1.153,0.868,1.591,0,1,380715,630.942,694.229,5136.013,3230.529,512.653,-0.125,0.087,-1.538,-1.371,14.142,1.783E12,0.022,3.230E-5,1.915E-7,1.027E-7,2.327E-16,5.696E-10,1.440E-14,5.470,5.088,0.382,45.569
43,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,23211.367,1748.713,873.220,574.770,0.883,2.254,0.444,1.537,0,1,264180,1737.692,645.940,5026.693,1126.120,-488.278,0.243,0.064,-1.203,-1.476,-7.028,4.271E12,0.023,2.317E-4,1.724E-6,2.554E-7,1.354E-13,3.366E-9,1.018E-13,5.947,4.820,1.127,69.525
44,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36857.824,1995.607,844.441,705.007,0.932,1.457,0.686,1.310,0,1,383265,1997.991,678.869,6354.401,3327.574,-137.595,0.016,0.042,-1.634,-1.592,-2.597,3.540E12,0.025,6.289E-5,2.909E-7,1.596E-8,-9.456E-16,-1.264E-10,-5.363E-16,5.733,5.264,0.469,41.726
45,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,59422.200,1516.965,792.184,838.883,1.000,1.321,0.757,1.426,0,1,456705,1519.280,742.646,8776.355,5211.761,-821.079,0.105,-0.200,-1.416,-1.401,-12.367,7.035E12,0.031,7.385E-5,9.207E-7,1.753E-7,-1.424E-14,1.391E-9,6.900E-14,5.974,5.558,0.416,52.560
46,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,49765.519,1788.095,814.147,802.987,0.970,1.826,0.548,1.649,0,1,460530,1781.013,718.100,9691.113,2540.833,-628.198,0.023,-0.108,-1.436,-1.525,-4.983,2.427E13,0.027,2.485E-4,4.180E-8,2.000E-8,-4.870E-16,3.152E-10,3.117E-16,6.083,5.098,0.985,68.080
