 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,306848.951,253.596,4101.438,1953.009,1.000,1.207,0.828,1.350,0,1,1027140,348.602,368.975,16142.837,40907.206,-8390.913,-0.975,-0.455,0.147,-1.354,-72.938,9.192E14,0.056,8.482E-4,5.842E-5,1.327E-5,-3.106E-10,-2.799E-7,2.005E-10,7.084,6.244,0.840,36.690
2,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,26261.847,345.950,4355.034,650.450,0.780,2.552,0.392,1.290,0,1,193545,340.277,69.709,7169.686,663.878,-197.544,-0.006,-0.655,-1.431,-0.795,-1.738,8.222E12,0.040,0.001,2.047E-5,2.819E-6,-2.082E-11,-9.377E-8,4.994E-12,6.892,5.169,1.724,66.377
3,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,284534.289,603.331,4040.121,2260.670,0.700,1.879,0.532,1.284,0,1,1427235,595.598,399.676,17878.369,45230.987,-2338.404,0.066,-0.091,-1.648,-1.213,-85.149,1.099E15,0.044,3.780E-4,1.210E-7,5.036E-7,-2.813E-14,9.693E-9,-1.211E-13,6.672,5.992,0.681,68.078
4,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,58843.317,881.908,4308.100,841.897,1.000,1.543,0.648,1.590,0,1,382245,881.575,120.016,10071.647,2645.582,101.658,-0.050,-0.546,-1.530,-0.958,0.784,2.110E13,0.033,3.777E-4,6.296E-6,1.617E-6,-4.683E-12,-2.931E-8,-2.170E-12,6.400,5.435,0.965,44.812
5,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,217452.770,1188.494,4185.466,1801.341,0.842,1.120,0.893,1.423,0,1,983790,1200.014,254.256,27775.930,14834.540,2998.602,-0.097,-0.231,-1.493,-0.997,12.432,2.001E14,0.043,2.102E-4,4.431E-6,1.769E-6,-3.489E-12,-1.122E-8,-3.517E-12,6.533,6.031,0.502,44.130
6,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,43253.998,1520.061,4321.726,789.865,0.871,1.532,0.653,1.331,0,1,371025,1527.918,100.440,7012.371,2763.477,-884.122,-0.084,-0.380,-1.550,-1.439,-11.298,7.858E12,0.026,1.539E-4,7.241E-7,2.263E-7,-6.965E-14,-2.760E-9,5.956E-14,5.956,5.219,0.737,58.962
7,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,2743.775,1584.406,4389.856,220.956,0.706,2.714,0.368,1.155,0,1,45135,1579.522,26.384,884.624,47.891,94.525,0.278,-1.131,-1.447,0.218,6.366,33213155389.353,0.021,3.612E-4,1.393E-6,5.564E-7,4.225E-13,5.920E-9,2.476E-13,5.990,3.698,2.292,68.760
8,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,44099.823,1749.432,4314.156,748.422,0.989,1.314,0.761,1.217,0,1,299115,1763.245,122.192,7183.561,3240.401,-1187.852,-0.457,-0.743,-1.401,-0.802,-15.534,6.339E12,0.035,2.369E-4,7.321E-6,3.998E-6,-9.410E-12,-3.171E-8,-1.947E-11,6.331,5.647,0.684,37.421
9,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,87161.276,1941.711,4235.428,1149.269,0.829,1.331,0.751,1.356,0,1,592620,1952.212,195.008,6949.514,10105.464,1844.730,-0.168,-0.266,-1.509,-1.202,65.272,1.397E13,0.029,6.712E-5,1.027E-6,1.349E-6,-1.204E-12,1.027E-8,-1.035E-12,5.888,5.466,0.422,54.039
10,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9207.807,2152.157,4376.230,362.574,0.880,2.641,0.379,1.905,0,1,113220,2155.417,30.195,1970.483,264.490,199.473,-0.033,0.089,-1.198,-1.057,6.581,347536547607.580,0.020,2.395E-4,4.073E-6,4.512E-7,-4.900E-13,-5.657E-9,-3.662E-13,5.818,4.295,1.523,63.512
