 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,389405.418,437.121,1267.424,2787.187,0.630,1.949,0.513,1.694,0,1,1998435,484.547,251.219,43540.773,17736.840,-4293.499,-0.151,-0.251,-0.658,-1.389,-9.203,1.478E15,0.031,1.852E-4,3.555E-6,2.502E-7,1.729E-13,1.960E-9,1.606E-13,6.148,5.460,0.688,64.906
2,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,37015.611,973.485,1403.030,692.327,0.970,1.198,0.835,1.242,0,1,226185,969.578,112.078,5594.301,2772.055,591.983,0.207,-0.723,-1.502,-0.862,11.379,2.119E12,0.037,1.831E-4,1.219E-5,6.763E-6,-4.111E-11,-8.793E-8,4.560E-11,6.339,5.785,0.553,36.512
3,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,33732.782,1193.939,1420.455,723.607,0.810,1.699,0.589,1.151,0,1,241230,1191.604,99.414,7959.388,1382.834,-505.617,-0.081,-0.683,-1.611,-0.945,-4.371,1.068E13,0.039,7.608E-4,9.662E-6,2.229E-6,-7.244E-12,-5.422E-8,-7.380E-12,6.731,5.445,1.286,54.907
4,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,6088.154,1363.636,1465.152,303.004,0.833,2.294,0.436,1.597,0,1,97410,1353.570,31.723,1510.386,137.092,-148.035,0.367,-0.422,-1.340,-0.290,-6.083,192247918243.630,0.017,2.080E-4,1.272E-6,4.802E-7,3.315E-13,5.934E-9,1.759E-13,5.650,3.823,1.827,71.181
5,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,46487.603,1368.939,1377.273,740.266,1.000,1.111,0.900,1.376,0,1,306765,1344.207,118.404,3077.700,5898.303,465.508,0.528,-0.029,-0.915,-1.683,80.867,2.706E12,0.029,9.375E-5,1.790E-6,1.104E-6,-3.403E-13,-8.102E-9,1.514E-12,5.963,5.467,0.496,41.682
6,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,129256.198,756.061,1298.485,1372.912,0.862,1.353,0.739,1.333,0,1,779280,741.603,188.791,17809.242,10860.425,853.436,0.077,0.013,-1.451,-1.571,6.900,3.990E13,0.037,8.431E-5,5.362E-7,7.476E-8,7.112E-15,-1.808E-11,1.317E-14,6.203,5.835,0.368,46.658
7,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,20922.865,493.939,1379.545,464.293,1.000,1.054,0.949,1.431,0,1,236385,496.320,112.652,2463.805,2343.287,316.906,0.043,-0.079,-1.561,-1.568,39.617,98393209939.361,0.020,7.449E-6,1.358E-7,5.919E-8,3.767E-15,-1.575E-10,3.739E-15,5.208,5.013,0.195,15.917
8,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,60973.370,350.000,1322.727,791.855,1.000,1.037,0.964,1.618,0,1,507705,360.460,165.217,6521.877,6161.621,-91.635,-0.119,-0.024,-1.525,-1.366,-13.482,82945214088.075,0.025,6.338E-7,5.818E-9,4.825E-8,8.006E-16,2.013E-11,-1.108E-16,5.368,5.322,0.046,26.579
9,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,47061.524,1207.576,1270.455,735.865,1.000,1.312,0.762,1.530,0,1,374595,1208.929,218.054,6067.246,4054.054,1218.950,-0.003,0.019,-1.442,-1.475,25.225,3.745E12,0.027,7.124E-5,1.529E-6,1.483E-7,-4.890E-14,-3.343E-10,-5.090E-14,5.828,5.362,0.466,47.702
10,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,101053.719,1018.939,1187.121,1028.928,1.000,1.090,0.918,1.565,0,1,613530,1017.873,289.517,8817.866,11766.110,-237.429,0.116,0.102,-1.394,-1.439,-85.425,5.471E12,0.034,2.369E-5,1.141E-8,1.984E-7,1.982E-15,-1.576E-11,9.229E-15,5.944,5.733,0.211,28.830
11,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,43452.709,539.394,1195.455,738.187,1.000,1.750,0.571,1.417,0,1,414630,531.687,292.036,3072.120,8062.945,333.071,0.069,0.027,-1.647,-1.470,86.199,1.051E13,0.027,1.475E-4,7.111E-7,5.851E-8,-4.302E-15,-5.560E-10,-1.113E-14,5.965,5.262,0.703,57.238
12,MAX_File_86_01-31-2019_CYM_1_4_Calb2_3B_YFP_Mid_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,86976.584,1340.152,1141.667,1063.417,0.967,1.266,0.790,1.473,0,1,550035,1315.641,362.303,5628.945,11850.971,-1410.621,0.449,-0.222,-0.910,-1.372,-77.805,2.567E13,0.032,1.543E-4,3.222E-6,1.413E-6,-2.380E-12,-3.692E-9,-1.848E-12,6.146,5.551,0.596,52.463
