 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,249139.849,283.205,2726.034,1889.374,0.877,1.274,0.785,1.308,0,1,839970,341.489,283.543,34925.844,15380.942,1788.619,-0.201,-0.443,-1.602,-1.158,5.186,3.316E14,0.060,5.596E-4,3.624E-5,1.277E-5,-1.937E-10,-1.633E-7,-1.949E-10,7.065,6.462,0.603,41.288
2,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,159042.711,938.967,2850.977,2198.183,0.414,4.299,0.233,1.062,0,1,846600,942.085,128.073,69051.798,1976.842,-40.175,0.025,-0.416,-1.304,-0.640,-0.034,3.809E15,0.084,0.006,3.475E-6,9.081E-7,9.114E-13,2.973E-10,1.331E-12,8.030,5.467,2.563,78.780
3,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,654813.212,2115.705,2734.363,3929.065,0.533,3.616,0.277,1.454,0,1,1817130,1972.278,242.438,191036.918,12534.420,13895.012,0.402,0.059,-0.953,-1.301,4.425,5.930E16,0.112,0.010,2.119E-4,1.804E-4,3.526E-8,1.772E-5,-3.352E-10,8.404,6.371,2.034,74.631
4,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,448414.572,1766.621,2629.865,2508.105,0.896,1.587,0.630,1.795,0,1,1811775,1704.304,303.990,57322.798,25976.178,-4671.377,0.192,0.169,-1.094,-1.343,-8.298,1.938E15,0.046,3.259E-4,6.106E-6,4.534E-7,4.895E-13,6.541E-9,-5.740E-13,6.681,6.082,0.599,58.362
5,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,38367.317,837.498,2788.884,629.975,1.000,1.106,0.904,1.636,0,1,319515,836.265,160.050,3954.109,3547.466,1039.405,-0.061,-0.156,-1.351,-1.308,39.466,1.434E12,0.023,4.395E-5,6.172E-7,2.718E-7,9.641E-14,1.539E-9,-5.564E-14,5.592,5.173,0.419,50.265
6,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,77615.375,1437.226,2727.548,938.684,1.000,1.044,0.957,1.455,0,1,514845,1427.553,215.129,8517.774,8969.229,-1842.255,0.195,0.049,-1.503,-1.539,-48.493,7.094E12,0.034,5.198E-5,1.567E-6,2.433E-8,1.694E-15,-1.212E-10,-4.439E-15,6.044,5.733,0.311,41.514
7,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,43741.218,1204.755,2738.907,669.630,1.000,1.393,0.718,1.667,0,1,366690,1193.143,212.070,3047.193,5887.649,-118.861,0.259,-0.095,-1.407,-1.312,-87.608,2.979E12,0.024,6.042E-5,1.985E-6,1.652E-7,9.168E-14,5.788E-10,-2.331E-14,5.686,5.209,0.477,51.823
8,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,71661.193,82.538,2620.021,1135.223,0.699,2.729,0.366,1.267,0,1,367710,105.363,303.686,2381.381,22986.831,-1674.057,-0.439,0.220,-1.180,-1.514,-85.385,1.602E14,0.069,0.003,8.565E-5,2.271E-5,5.496E-10,3.306E-7,-8.376E-10,7.655,5.973,1.682,65.839
9,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,108512.441,671.664,2643.495,1148.694,1.000,1.353,0.739,1.277,0,1,680595,666.828,313.788,11080.513,17475.739,983.679,0.056,-0.046,-1.687,-1.544,81.450,3.047E13,0.042,9.665E-5,1.978E-7,2.781E-8,-1.926E-15,-1.165E-10,-7.377E-16,6.375,6.030,0.344,44.607
10,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,12844.152,1718.916,2780.554,367.398,1.000,1.143,0.875,1.622,0,1,177225,1720.710,168.239,1482.087,1138.015,-348.459,0.018,-0.039,-1.351,-1.501,-31.862,107058123949.339,0.015,1.923E-5,1.331E-7,2.217E-8,1.715E-16,9.545E-11,-1.192E-15,4.941,4.500,0.441,54.220
11,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,26009.408,1079.812,2735.120,535.370,1.000,1.400,0.714,1.513,0,1,259335,1084.769,214.992,2106.616,3648.023,-163.709,-0.077,0.102,-1.508,-1.332,-84.004,643964276907.289,0.022,3.692E-5,6.321E-7,1.423E-7,3.384E-14,3.826E-10,-2.604E-14,5.501,5.096,0.405,45.293
12,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,1675473.741,2506.436,1704.528,6280.605,0.534,2.922,0.342,1.230,0,1,2743290,2379.434,1253.075,36803.149,536524.154,11350.741,0.731,0.117,-0.482,-1.450,88.699,6.865E17,0.209,0.033,8.792E-4,2.495E-4,6.221E-8,2.475E-6,9.895E-8,9.292,7.354,1.938,71.353
