 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,116161.616,140.909,1340.152,1294.266,0.871,1.495,0.669,1.494,0,1,627555,150.630,234.865,7313.738,13656.109,-2653.620,-0.049,-0.253,-1.124,-0.919,-70.039,4.292E13,0.033,1.737E-4,5.903E-8,1.162E-6,1.765E-14,1.171E-8,3.040E-13,6.222,5.621,0.602,61.211
2,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,42890.266,199.242,1429.545,739.379,0.986,1.319,0.758,1.343,0,1,294525,218.182,131.869,4256.852,4683.552,344.666,-0.486,-0.167,-1.368,-1.190,60.879,193577234463.091,0.030,7.577E-6,7.282E-6,9.770E-7,-2.592E-12,2.592E-9,-2.655E-13,5.729,5.598,0.131,52.986
3,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,3044.077,287.121,1528.788,189.843,1.000,1.962,0.510,1.657,0,1,55845,286.678,24.848,611.798,95.850,-48.193,-0.042,-0.162,-1.470,-1.031,-5.291,15384836822.515,0.013,8.834E-5,8.519E-7,1.016E-7,-2.982E-14,-9.487E-10,1.921E-15,5.144,3.767,1.377,55.259
4,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,38471.074,378.030,1453.030,674.119,1.000,1.056,0.947,1.276,0,1,306510,371.658,111.921,5786.866,3740.757,-34.071,0.095,-0.316,-1.732,-1.418,-0.954,1.285E12,0.031,4.461E-5,4.692E-7,5.531E-7,-2.786E-13,-3.289E-9,-4.171E-14,5.919,5.604,0.315,21.863
5,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,39752.066,609.091,1489.394,844.578,0.700,2.846,0.351,1.209,0,1,260865,595.054,89.223,12766.118,678.227,964.335,0.173,-1.068,-1.475,0.388,4.533,3.909E13,0.052,0.002,1.764E-5,4.441E-6,1.854E-11,1.642E-8,3.467E-11,7.302,5.094,2.208,70.166
6,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,48760.331,869.697,1459.091,817.494,0.917,1.525,0.656,1.272,0,1,319770,871.679,109.200,8702.768,2429.890,-53.671,0.042,-0.612,-1.585,-0.904,-0.490,1.259E13,0.035,3.849E-4,2.190E-6,1.122E-6,-1.437E-12,-1.975E-8,1.014E-12,6.447,5.526,0.920,50.677
7,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,180142.332,1172.727,1325.000,1695.201,0.788,1.109,0.902,1.486,0,1,907800,1152.965,266.938,14282.027,15784.354,2417.459,0.300,-0.268,-1.039,-1.205,53.631,2.327E13,0.033,3.110E-5,7.181E-6,4.077E-7,4.005E-13,1.223E-9,-5.713E-13,5.954,5.709,0.245,61.022
8,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,211515.152,1350.000,1284.091,1800.846,0.820,1.322,0.756,1.386,0,1,754800,1297.631,348.778,8265.825,20558.877,7421.523,0.099,-0.492,-1.069,-0.966,64.816,2.804E14,0.038,6.520E-4,1.426E-5,5.672E-6,5.023E-11,1.436E-7,8.856E-12,6.674,5.508,1.166,57.837
9,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,142157.943,648.485,1289.394,1288.647,1.000,1.212,0.825,1.461,0,1,772140,647.387,253.801,17634.526,13198.462,73.372,0.059,0.015,-1.334,-1.568,0.947,1.521E13,0.040,3.304E-5,4.532E-6,3.390E-7,-2.713E-13,-1.874E-9,-3.209E-13,6.194,5.984,0.209,44.364
10,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,75619.835,975.758,1278.030,921.728,1.000,1.017,0.984,1.393,0,1,564570,975.793,283.801,8213.653,9119.613,1529.077,-0.060,-0.254,-1.478,-1.498,53.251,5.743E12,0.031,3.192E-5,2.756E-7,3.034E-7,5.986E-14,7.455E-10,6.411E-14,5.864,5.595,0.269,46.608
11,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,91533.517,412.121,1230.303,1053.527,1.000,1.258,0.795,1.497,0,1,582165,405.223,315.796,7751.829,13035.650,2734.239,0.073,0.115,-1.431,-1.433,67.008,3.366E13,0.036,1.706E-4,4.030E-7,1.520E-7,2.668E-14,1.225E-9,2.655E-14,6.288,5.735,0.553,55.303
12,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,101464.646,75.758,1040.152,1605.741,0.495,4.602,0.217,1.624,0,1,514590,78.736,522.372,1954.312,39311.028,4854.897,0.005,0.113,-1.225,-1.098,82.715,7.666E14,0.080,0.006,1.645E-5,7.332E-6,7.694E-11,2.398E-7,-2.369E-11,7.958,5.506,2.452,78.745
13,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,67830.579,262.879,1111.364,914.159,1.000,1.367,0.731,1.564,0,1,457980,265.669,439.115,5552.347,9324.179,2616.597,-0.067,-0.031,-1.492,-1.235,62.891,1.906E13,0.032,1.984E-4,1.115E-7,5.258E-8,-3.642E-15,6.980E-10,-1.714E-15,6.221,5.551,0.670,63.741
14,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,63875.115,843.939,1122.727,856.101,1.000,1.270,0.787,1.479,0,1,491895,860.853,427.658,8091.106,5400.972,806.607,-0.350,0.057,-1.255,-1.595,15.475,4.840E12,0.027,4.066E-5,4.614E-7,7.265E-7,4.178E-13,2.042E-9,4.884E-14,5.759,5.418,0.342,40.754
15,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,15323.691,959.848,1140.152,390.463,1.000,1.187,0.843,1.881,0,1,189210,961.213,405.701,1636.843,1183.700,532.390,0.143,0.226,-1.384,-1.310,33.473,253370023956.846,0.015,3.740E-5,7.874E-8,1.476E-8,-5.001E-16,7.595E-11,5.500E-17,5.074,4.445,0.629,57.915
16,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,34618.916,1319.697,1106.061,642.624,1.000,1.121,0.892,1.418,0,1,332520,1319.395,442.004,4039.204,3522.772,811.688,-0.172,-0.004,-1.378,-1.538,36.176,964989491881.187,0.023,2.625E-5,6.155E-8,5.623E-8,3.299E-15,1.783E-10,-2.522E-16,5.480,5.150,0.331,50.127
17,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,8484.848,657.576,1133.333,323.759,1.000,1.179,0.848,1.357,0,1,131580,659.296,416.068,1233.047,747.870,-130.348,0.125,-0.060,-1.684,-1.380,-14.125,39916094247.915,0.015,1.752E-5,3.311E-8,4.641E-8,-7.260E-16,1.941E-10,-1.668E-15,4.946,4.534,0.412,15.343
18,MAX_File_172_03-08-19_KM1-Mid2_CGRP-g_Hu-b_Syp-r.lif - 10X _ProjMax001_AdjustClr001-watershed-lines.tif,19926.538,565.152,1062.121,495.573,1.000,1.771,0.565,1.655,0,1,294270,567.457,490.790,1208.752,3683.716,227.359,-0.157,1.233E-4,-1.543,-1.496,84.795,1.863E12,0.017,7.312E-5,2.262E-8,1.282E-10,-2.113E-19,3.224E-13,5.504E-20,5.334,4.514,0.820,64.358
