 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,35083.416,66.773,606.039,727.008,0.834,2.056,0.486,1.311,0,1,237915,89.943,145.823,640.914,6956.881,-756.303,-0.734,0.026,0.655,-1.381,-83.266,1.004E13,0.032,7.452E-4,6.929E-6,1.151E-6,6.380E-13,-1.219E-8,-3.186E-12,6.568,4.731,1.838,66.295
2,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,15133.279,176.368,701.118,515.805,0.715,2.463,0.406,1.155,0,1,157080,175.869,55.947,4717.157,425.428,-203.809,0.099,-1.141,-1.472,0.297,-2.713,2.919E12,0.033,7.532E-4,2.018E-6,1.016E-6,1.241E-12,4.784E-9,7.614E-13,6.591,4.838,1.754,69.454
3,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,86393.701,431.848,614.748,1034.171,1.000,1.370,0.730,1.630,0,1,562020,430.397,141.457,15455.828,4262.070,695.504,-0.030,-0.263,-1.714,-0.889,3.542,7.151E13,0.035,4.028E-4,7.686E-7,1.973E-7,-4.831E-14,-3.958E-9,5.978E-14,6.465,5.527,0.939,61.131
4,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,28378.585,634.345,674.263,620.732,0.926,1.626,0.615,1.503,0,1,188445,614.277,87.285,3201.573,1205.959,1550.068,0.483,-0.757,-0.868,-0.610,28.615,2.562E12,0.023,3.828E-4,5.607E-6,5.388E-7,-3.133E-14,-3.411E-9,9.360E-13,6.105,4.360,1.745,58.772
5,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,33199.657,201.771,614.748,630.680,1.000,1.545,0.647,1.373,0,1,361335,201.851,127.803,5562.755,2757.074,147.046,-0.002,0.048,-1.480,-1.661,2.992,2.876E12,0.023,6.095E-5,8.442E-8,7.112E-9,-6.237E-17,5.351E-11,1.627E-16,5.626,5.117,0.509,57.448
6,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,51402.998,655.393,498.621,833.344,0.930,1.723,0.580,1.259,0,1,348075,627.200,244.251,2722.998,11886.844,48.509,0.629,-0.090,-1.001,-1.692,89.697,2.923E13,0.042,6.932E-4,5.623E-6,2.389E-6,-1.578E-12,-3.645E-8,-8.615E-12,6.774,5.711,1.063,53.069
7,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,88397.565,452.896,489.186,969.924,1.000,1.239,0.807,1.673,0,1,670395,451.351,257.778,11637.493,7951.910,1023.149,-0.007,-0.014,-1.535,-1.504,14.520,1.191E13,0.029,3.954E-5,2.656E-7,3.798E-8,-3.427E-15,2.331E-10,1.676E-15,5.830,5.515,0.315,59.067
8,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,58472.359,222.093,463.783,857.782,0.999,1.776,0.563,1.474,0,1,489090,208.806,281.375,10528.938,3791.162,462.925,0.120,-0.225,-1.402,-1.495,3.912,2.262E13,0.029,1.934E-4,2.114E-6,3.152E-7,2.572E-13,2.702E-9,-8.241E-15,6.113,5.367,0.745,60.849
9,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,11652.330,58.789,420.961,366.249,1.000,1.129,0.886,1.379,0,1,122400,71.439,325.386,1011.027,1185.417,-147.949,-0.764,-0.192,-0.349,-1.392,-60.257,14439250954.571,0.018,7.874E-6,1.391E-6,1.321E-6,-1.787E-12,-2.568E-9,1.126E-13,5.055,4.828,0.227,20.923
10,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,50427.406,193.787,330.962,731.536,1.000,1.556,0.642,1.596,0,1,453390,201.370,411.107,7854.253,3637.671,1265.680,-0.123,0.046,-1.415,-1.493,15.489,1.097E13,0.025,1.177E-4,1.360E-7,1.211E-7,1.244E-14,1.306E-9,9.326E-15,5.858,5.198,0.660,55.682
11,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,47361.558,645.232,264.915,746.661,1.000,1.271,0.787,1.522,0,1,356235,627.653,479.476,2704.090,8242.896,289.445,0.424,-0.029,-0.949,-1.656,87.017,1.105E13,0.031,2.444E-4,8.573E-7,4.877E-7,1.506E-13,-5.054E-9,-2.770E-13,6.215,5.406,0.809,54.250
12,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,92342.078,463.783,258.383,1018.926,1.000,1.415,0.707,1.755,0,1,701760,458.552,471.531,13944.591,6767.283,2028.699,-0.060,0.142,-1.443,-1.332,14.740,4.770E13,0.030,1.380E-4,9.852E-7,6.233E-8,1.403E-14,-1.450E-10,-6.453E-15,6.047,5.439,0.608,62.509
13,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,42416.166,81.289,238.786,758.918,0.925,1.664,0.601,1.364,0,1,288660,95.257,516.148,1726.629,8270.478,517.055,-0.423,-0.182,-0.968,-1.454,85.510,1.267E13,0.035,5.268E-4,1.241E-5,2.870E-6,-2.624E-13,-1.562E-8,1.713E-11,6.528,5.377,1.151,54.902
14,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,43933.286,375.962,183.626,676.170,1.000,1.079,0.927,1.510,0,1,400095,360.466,564.495,4759.181,4635.759,586.227,0.307,-0.082,-1.412,-1.478,41.995,556085272181.220,0.023,8.683E-6,1.082E-6,8.284E-8,2.387E-14,1.705E-10,-6.749E-15,5.404,5.222,0.182,38.982
15,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,6340.300,253.302,218.464,258.127,1.000,1.157,0.864,1.460,0,1,114495,252.093,521.513,779.850,660.476,88.547,0.179,-0.052,-1.377,-1.619,28.009,5222356794.735,0.013,3.479E-6,7.228E-8,4.770E-8,1.460E-15,-2.581E-11,-2.390E-15,4.533,4.317,0.216,37.918
16,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,51525.211,224.271,124.111,772.558,1.000,1.196,0.836,1.520,0,1,436050,225.375,599.270,4506.079,5534.747,258.802,-0.218,0.214,-1.511,-1.270,76.645,578234319247.945,0.023,6.974E-6,1.223E-7,3.832E-7,8.280E-14,-3.277E-10,-5.203E-15,5.362,5.196,0.166,51.014
17,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,41874.638,620.555,86.370,715.868,1.000,1.403,0.713,1.499,0,1,272595,601.806,629.006,4103.216,2404.044,-225.088,0.325,0.706,-0.817,-0.850,-7.419,842276581223.938,0.024,4.158E-5,5.766E-6,1.091E-6,-9.617E-13,6.740E-9,-2.564E-12,5.602,5.203,0.400,52.921
18,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,23068.663,87.821,66.773,561.551,0.919,1.293,0.773,1.284,0,1,153000,115.029,650.232,1680.072,1321.532,1247.732,-0.622,0.811,-0.634,-0.691,40.912,972451072929.474,0.020,2.715E-4,4.176E-6,4.620E-7,-5.737E-13,-6.965E-9,-2.876E-13,5.854,4.092,1.761,46.144
19,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,33671.651,512.411,61.693,682.731,0.908,2.212,0.452,1.496,0,1,238935,495.058,668.530,7759.381,1084.276,550.389,0.215,0.365,-1.440,-1.058,4.682,1.094E13,0.037,8.017E-4,1.517E-5,3.639E-6,1.040E-11,1.016E-8,-2.495E-11,6.710,5.255,1.454,62.206
20,MAX_File_135_04-25-2019_WT_Mid_5_HT-r_Hu-b_2.lif - Series006_ProjMax001_AdjustClr001_AdjustClr001-watershed-lines.tif,12271.821,338.946,46.451,402.375,0.952,1.422,0.703,1.211,0,1,147645,340.395,673.459,2366.207,495.222,-21.241,-0.173,1.181,-1.561,0.560,-0.650,517109939953.945,0.019,1.607E-4,1.138E-6,5.119E-7,-1.947E-13,-3.593E-9,3.388E-13,5.683,4.554,1.129,48.616
