 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,423342.516,787.879,2846.970,3563.071,0.419,5.820,0.172,1.675,0,1,661470,751.506,142.874,191916.942,3903.270,66.988,0.086,0.321,-1.126,-0.741,0.020,2.338E16,0.296,0.081,0.001,3.020E-4,1.304E-7,2.105E-5,1.286E-7,9.861,7.051,2.810,82.576
2,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,257667.585,1933.333,2796.970,2030.577,0.785,1.885,0.530,1.230,0,1,390150,1929.960,242.470,57684.792,12552.298,-2050.889,-0.079,-0.454,-1.692,-1.197,-2.596,8.013E14,0.180,0.013,5.858E-4,1.772E-4,4.680E-9,-1.189E-5,-5.690E-8,8.890,7.784,1.107,47.200
3,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,21790.634,2462.121,2950.000,770.254,0.462,5.381,0.186,1.179,0,1,76755,2453.312,55.779,11845.895,91.199,-249.746,0.324,-1.856,-1.224,4.375,-1.217,1.062E13,0.156,0.023,4.372E-4,4.201E-4,1.800E-7,6.134E-5,7.350E-10,8.951,5.396,3.554,80.178
4,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,202754.821,2687.879,2772.727,1769.971,0.813,1.159,0.863,1.318,0,1,461550,2687.845,260.933,23559.626,14374.237,5755.512,-0.010,-0.361,-1.395,-1.030,25.706,1.001E14,0.082,0.001,8.155E-5,2.736E-5,8.453E-10,2.449E-7,-9.775E-10,7.514,6.923,0.591,48.758
5,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,378595.041,2856.061,2210.606,3678.527,0.352,6.284,0.159,1.459,0,1,884085,2822.139,765.594,3655.398,176845.472,-2014.475,0.255,0.137,-1.060,-1.141,-89.334,2.653E16,0.204,0.038,4.707E-4,1.753E-4,4.535E-8,2.050E-5,2.193E-8,9.324,6.521,2.803,82.133
6,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,289146.006,1421.212,2678.788,1897.570,1.000,1.171,0.854,1.414,0,1,586755,1422.164,346.347,28230.391,37102.365,-4942.643,-0.060,-0.299,-1.483,-1.413,-65.954,1.035E14,0.111,5.125E-4,2.587E-5,3.087E-5,6.592E-10,5.737E-7,5.715E-10,7.746,7.449,0.297,49.927
7,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,153645.546,137.879,2675.758,1516.161,0.840,2.112,0.473,1.547,0,1,321555,153.775,332.046,4228.383,33819.791,-813.348,-0.051,-0.171,-0.727,-1.505,-88.427,2.824E14,0.118,0.008,1.036E-4,6.690E-5,5.510E-9,3.672E-6,-8.170E-10,8.398,6.894,1.504,66.262
8,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,70909.091,2307.576,2830.303,971.063,0.945,1.773,0.564,1.272,0,1,228990,2313.535,164.561,14927.152,5687.089,-900.305,-0.029,-0.215,-1.559,-1.634,-5.514,2.029E13,0.090,0.002,7.998E-6,1.625E-7,1.138E-13,-6.672E-9,1.463E-13,7.715,7.004,0.711,57.609
9,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,72341.598,759.091,2778.788,890.322,1.000,1.295,0.772,1.396,0,1,200175,758.956,212.548,10742.625,5750.717,213.793,0.083,-0.192,-1.536,-1.484,2.448,5.025E12,0.082,6.265E-4,1.838E-5,7.446E-6,-7.122E-11,-1.576E-7,5.016E-11,7.427,6.975,0.453,42.230
10,MAX_File_143_04-8-19_CYM_10_6_Prox_Calb2-g_GFP_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,302846.648,409.091,2630.303,1996.441,0.955,1.141,0.876,1.530,0,1,742050,404.415,370.311,34768.597,31533.353,-1671.287,0.012,-0.254,-1.467,-1.439,-22.967,1.606E13,0.089,3.930E-5,2.601E-6,7.815E-6,2.360E-11,-4.150E-8,-2.616E-11,7.259,7.158,0.101,42.797
