 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,366418.337,604.570,1446.353,3450.480,0.387,3.980,0.251,1.344,0,1,4007070,679.692,196.719,133284.463,4076.407,-8869.512,-0.253,-0.207,-1.195,-0.548,-3.909,6.816E16,0.034,0.001,2.943E-6,2.221E-6,5.676E-12,7.227E-8,6.555E-14,6.742,4.108,2.635,78.534
2,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,143701.010,1465.648,1503.859,2049.754,0.430,4.048,0.247,1.298,0,1,2056065,1470.987,120.409,56043.878,1690.218,-445.940,-0.040,-0.303,-1.264,-0.805,-0.470,6.076E15,0.028,6.990E-4,3.335E-7,5.578E-8,4.191E-16,-2.704E-10,-7.598E-15,6.449,3.922,2.527,78.658
3,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,10792.233,1881.432,1548.880,375.264,0.963,1.115,0.897,1.370,0,1,311610,1880.497,59.950,1369.935,849.158,-33.745,-0.008,-0.486,-1.673,-1.107,-3.692,85930726935.059,0.007,2.840E-6,4.687E-9,7.538E-9,4.227E-17,-1.153E-11,-1.487E-17,3.819,3.471,0.348,30.256
4,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,47998.240,2066.056,1519.749,865.001,0.806,1.957,0.511,1.378,0,1,532185,2036.796,94.599,7648.294,979.555,1114.391,0.274,-0.174,-0.962,0.056,9.240,2.631E13,0.016,1.746E-4,1.875E-6,2.488E-7,-8.550E-15,-1.328E-9,1.697E-13,5.559,3.912,1.647,65.328
5,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,18200.800,1590.118,1487.591,491.168,0.948,1.100,0.909,1.263,0,1,503115,1594.431,111.444,2403.033,1855.789,174.238,-0.035,0.027,-1.508,-1.523,16.244,211766988149.819,0.008,1.663E-6,1.573E-8,6.072E-10,-6.675E-19,3.342E-13,-1.754E-18,3.966,3.745,0.222,33.684
6,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,51281.712,1937.803,1422.140,838.919,0.916,1.275,0.784,1.226,0,1,921315,1932.339,182.672,8217.389,4850.453,501.600,0.093,-0.074,-1.608,-1.531,8.296,1.137E13,0.014,1.454E-5,1.201E-7,6.637E-9,-5.788E-17,-2.386E-11,-1.782E-16,4.850,4.452,0.398,35.285
7,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,24700.758,1208.762,1431.220,484.600,1.000,1.112,0.900,1.738,0,1,567885,1209.914,164.504,2169.092,2356.942,10.115,-0.010,0.082,-1.374,-1.279,86.927,20271592663.638,0.008,1.107E-7,1.743E-8,1.346E-9,-5.282E-18,-4.472E-13,3.826E-18,3.734,3.673,0.060,24.944
8,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,29527.777,1351.392,1421.383,526.333,1.000,1.126,0.888,1.728,0,1,607665,1345.399,175.915,2408.234,2864.744,-78.474,0.106,-0.003,-1.353,-1.261,-80.514,141606684201.258,0.009,6.311E-7,7.326E-9,5.201E-11,2.078E-20,-2.463E-14,2.448E-20,3.924,3.791,0.132,32.603
9,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,194504.084,2126.211,987.061,2566.629,0.371,5.614,0.178,1.286,0,1,2620380,2093.329,626.861,1720.518,87103.631,3364.926,0.409,-0.055,-0.575,-0.997,87.747,1.922E16,0.034,0.001,2.209E-7,8.419E-8,1.126E-14,2.612E-9,-2.249E-15,6.737,3.847,2.890,82.858
10,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,5995.558,836.108,1447.110,259.625,1.000,1.352,0.739,1.365,0,1,245310,836.548,152.772,560.375,933.470,74.711,-0.112,-0.148,-1.595,-1.449,79.087,39624235221.872,0.006,2.684E-6,3.600E-9,3.652E-9,1.277E-17,3.686E-12,3.501E-18,3.630,3.232,0.398,48.876
11,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,23937.573,758.550,1405.872,515.171,1.000,1.222,0.819,1.472,0,1,537540,754.656,190.896,2124.001,2855.954,-444.531,0.084,-0.051,-1.574,-1.304,-64.732,712878326568.420,0.009,4.590E-6,1.224E-8,3.154E-9,-1.845E-17,5.261E-12,-6.586E-18,4.192,3.852,0.340,45.564
12,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,86456.947,892.479,1351.392,957.640,1.000,1.219,0.821,1.879,0,1,1419840,894.069,245.065,9200.870,7962.958,-1216.771,-0.040,0.124,-1.239,-1.471,-31.519,1.058E13,0.012,3.698E-6,2.521E-8,4.663E-9,4.723E-17,-8.369E-12,-1.804E-17,4.489,4.257,0.231,65.357
13,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,56794.052,1737.666,1352.149,819.093,1.000,1.125,0.889,1.489,0,1,999600,1739.424,240.636,5392.292,6838.783,859.035,-0.100,0.097,-1.550,-1.471,65.047,5.042E12,0.012,5.048E-6,8.996E-8,4.880E-10,-7.583E-19,1.048E-12,-3.144E-18,4.536,4.268,0.268,29.399
14,MAX_File_131_09-20-18_DYM_3_6_SenN_Chat-g_CGRP-r_CalbD28-m_Hu-b_PC...3_20x_z2.lif - TileScan_001_Merging002_ProjMax001_AdjustClr001-watershed-lines.tif,32158.563,1544.719,1385.820,585.017,1.000,1.000,1.000,1.654,0,1,658665,1546.424,207.266,3057.367,2720.064,135.344,0.072,0.248,-1.331,-1.193,19.374,123200169922.068,0.009,4.311E-7,8.683E-8,8.456E-10,-7.241E-18,1.609E-13,2.485E-19,3.917,3.809,0.108,31.769
