 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,81758.537,113.550,2182.438,1092.792,0.860,1.628,0.614,1.362,0,1,395760,118.289,224.238,4653.806,9488.596,-3253.544,0.104,-0.310,-1.378,-0.789,-63.306,2.601E13,0.036,4.196E-4,1.612E-5,6.720E-6,6.058E-11,1.364E-7,3.498E-11,6.493,5.552,0.941,57.854
2,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36968.759,366.389,2301.287,790.321,0.744,2.286,0.438,1.323,0,1,284325,373.973,77.133,10838.202,1007.667,-1484.278,-0.162,0.150,-1.459,-0.998,-8.401,2.998E13,0.042,0.001,8.460E-7,1.706E-6,2.036E-12,5.969E-8,2.261E-13,6.961,5.056,1.905,68.972
3,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50038.939,639.667,2275.549,783.935,1.000,1.568,0.638,1.541,0,1,289935,634.371,95.042,8241.295,2252.734,-171.928,0.132,-0.047,-1.235,-0.882,-1.643,1.043E13,0.036,4.280E-4,3.029E-5,3.577E-6,-3.236E-11,-6.328E-8,1.843E-11,6.510,5.572,0.938,54.672
4,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25697.964,856.170,2288.418,568.174,1.000,1.099,0.910,1.467,0,1,206295,846.479,87.171,3321.217,1491.073,-461.959,0.263,0.005,-1.370,-1.016,-13.393,867068165765.912,0.023,9.876E-5,8.019E-6,1.035E-6,-1.213E-12,-1.590E-9,2.723E-12,5.736,5.080,0.656,40.438
5,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,7160.863,990.916,2331.567,327.823,0.837,1.614,0.620,1.073,0,1,62475,974.942,49.051,1358.491,558.199,165.696,0.800,-0.894,-0.725,-1.012,11.247,46874196943.135,0.031,1.922E-4,1.110E-5,7.835E-6,2.503E-11,1.025E-8,6.866E-11,6.157,5.454,0.703,52.567
6,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,11110.341,1146.858,2336.866,488.738,0.585,3.541,0.282,1.113,0,1,122145,1155.822,46.171,3852.458,133.714,-351.537,-0.139,-1.659,-1.298,1.971,-5.353,1.750E12,0.033,9.600E-4,3.334E-6,6.073E-7,2.070E-13,-1.800E-10,-8.390E-13,6.671,4.037,2.634,74.964
7,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,15786.449,1269.493,2291.446,435.462,1.000,1.366,0.732,1.351,0,1,171615,1265.540,92.301,1486.060,1603.857,697.817,0.374,-0.700,-1.471,-0.618,47.412,336651655108.636,0.018,6.661E-5,8.256E-7,4.127E-7,-2.767E-14,-1.875E-9,-2.393E-13,5.390,4.684,0.705,43.285
8,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,15243.195,1376.230,2292.960,454.758,0.926,1.357,0.737,1.251,0,1,148410,1378.405,86.532,1496.918,2007.998,97.652,-0.327,-0.193,-1.525,-1.416,79.543,44425991539.895,0.024,1.359E-5,3.348E-6,1.429E-6,2.637E-12,2.865E-9,-1.676E-12,5.451,5.224,0.227,51.313
9,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,26475.023,1458.743,2251.325,614.481,0.881,1.948,0.513,1.405,0,1,256020,1455.860,126.908,1480.505,4081.803,50.207,0.009,-0.183,-1.626,-1.188,88.895,1.735E12,0.022,1.034E-4,8.838E-8,2.664E-7,1.537E-14,2.569E-9,-3.788E-14,5.675,4.943,0.732,67.590
10,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,37431.785,1573.808,2257.381,694.679,0.975,1.235,0.810,1.237,0,1,289425,1578.938,126.909,4120.888,4457.167,51.875,-0.083,-0.319,-1.686,-1.339,81.427,35844779643.944,0.030,1.478E-6,9.494E-7,1.259E-6,-1.366E-12,1.512E-9,1.676E-13,5.627,5.568,0.059,39.565
11,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,24407.449,1743.376,2298.259,581.263,0.908,1.375,0.727,1.235,0,1,195075,1757.930,93.058,4198.050,1289.451,-884.947,-0.460,-0.956,-1.350,-0.290,-15.660,2.261E12,0.028,3.046E-4,3.679E-6,2.510E-6,9.106E-13,-6.171E-9,-7.575E-12,6.191,5.143,1.047,47.675
12,LeftCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,7949.383,1874.338,2326.268,314.215,1.000,1.333,0.750,1.340,0,1,87210,1875.205,54.442,1173.432,341.344,-358.278,-0.221,-0.595,-1.374,-0.615,-20.367,105159766249.375,0.017,1.585E-4,1.950E-6,2.968E-7,-2.258E-13,-3.654E-9,5.099E-15,5.585,4.261,1.324,44.929
