 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,46703.774,124.905,2786.525,765.641,1.000,1.304,0.767,1.720,0,1,209865,126.811,111.474,4249.974,2955.258,-3486.572,0.264,-0.218,-1.087,-1.267,-39.741,1.056E13,0.034,0.001,3.158E-6,2.670E-6,7.749E-12,9.013E-8,-2.082E-13,6.770,3.278,3.492,56.623
2,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,236569.800,726.722,2754.731,2566.147,0.451,3.701,0.270,1.377,0,1,1280865,676.439,150.988,75902.107,5163.552,1031.364,0.195,-0.378,-1.328,-1.236,0.835,6.415E15,0.063,0.003,1.520E-5,9.245E-6,1.056E-10,3.770E-7,2.918E-11,7.569,5.628,1.941,71.359
3,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,207825.489,1345.950,2724.451,1968.212,0.674,2.116,0.473,1.469,0,1,1126335,1358.327,166.730,42668.837,8353.478,-508.588,-0.184,-0.030,-1.250,-1.309,-0.849,1.327E15,0.045,9.290E-4,2.546E-6,2.878E-6,7.515E-12,6.954E-8,2.046E-12,6.924,5.747,1.177,66.282
4,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,61247.845,1698.713,2754.731,817.128,1.000,1.044,0.958,1.463,0,1,410805,1698.887,148.659,6656.115,5525.579,-999.735,0.208,-0.358,-1.556,-1.101,-30.258,2.167E12,0.030,3.126E-5,2.531E-7,1.159E-6,7.303E-14,3.692E-9,6.233E-13,5.819,5.544,0.275,45.574
5,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,34016.393,1906.132,2800.908,686.697,0.906,1.321,0.757,1.384,0,1,235365,1882.033,90.377,5558.697,1793.999,-647.340,0.512,-0.356,-1.287,-0.757,-9.489,3.730E12,0.031,2.861E-4,1.394E-5,3.304E-6,7.580E-12,3.417E-8,2.111E-11,6.270,5.395,0.875,57.762
6,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50758.693,2144.587,2784.254,836.235,0.912,1.352,0.740,1.262,0,1,380715,2163.262,112.985,7743.076,4167.733,-1823.614,-0.505,-0.257,-1.083,-1.415,-22.785,9.931E12,0.031,1.800E-4,4.543E-6,1.732E-6,2.851E-12,2.625E-9,-3.935E-12,6.162,5.501,0.661,43.684
7,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,3254.938,2205.148,2866.011,249.829,0.655,3.550,0.282,1.338,0,1,51765,2197.361,22.475,1148.079,42.613,146.848,0.468,-0.812,-1.176,-0.033,7.439,67724815441.935,0.023,4.882E-4,3.235E-6,2.215E-6,5.900E-12,4.340E-8,5.815E-13,6.175,3.356,2.819,73.691
8,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50611.991,2350.492,2735.806,944.534,0.713,1.670,0.599,1.053,0,1,271575,2304.115,193.627,2139.576,6977.188,2166.721,1.471,-0.490,0.910,-1.150,69.073,1.146E13,0.034,5.719E-4,2.203E-5,2.250E-6,-9.798E-12,-2.328E-8,-1.245E-11,6.525,5.238,1.287,54.825
9,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,82244.486,221.045,2730.507,930.240,1.000,1.060,0.944,1.511,0,1,543150,222.884,161.448,8661.770,8796.565,-2265.287,-0.143,-0.142,-1.450,-1.434,-45.852,1.116E13,0.032,6.964E-5,7.852E-7,6.846E-8,-1.459E-14,-5.334E-10,-6.248E-15,6.019,5.636,0.383,48.408
10,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,38733.760,416.351,2751.703,687.254,1.000,1.193,0.838,1.467,0,1,384795,413.692,131.847,4595.399,3619.441,-346.497,0.067,-0.060,-1.481,-1.536,-17.689,551308760309.696,0.021,9.676E-6,3.283E-7,2.803E-9,4.285E-17,7.969E-12,-7.344E-17,5.292,5.081,0.212,46.871
11,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,55551.703,1413.323,2701.741,788.254,1.000,1.412,0.708,1.620,0,1,404175,1400.902,177.112,3796.289,7621.058,-1977.980,0.330,0.023,-1.340,-1.288,-67.017,1.224E13,0.028,1.854E-4,1.487E-6,3.274E-8,-6.736E-15,4.449E-10,2.611E-15,6.068,5.309,0.758,62.373
12,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,88708.517,1859.955,2687.358,988.076,1.000,1.308,0.764,1.907,0,1,598740,1867.957,201.084,10214.683,6766.491,-3309.260,-0.004,-0.033,-1.193,-1.442,-31.240,3.335E13,0.028,1.554E-4,7.081E-8,1.465E-9,1.437E-17,-1.587E-11,-4.036E-18,6.031,5.351,0.680,68.381
13,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,57506.958,708.554,2647.994,818.812,1.000,1.531,0.653,1.546,0,1,443190,703.746,228.513,3916.040,8013.445,-1312.727,0.148,0.103,-1.469,-1.276,-73.675,1.050E13,0.027,1.206E-4,2.839E-7,3.738E-8,-1.050E-15,2.816E-11,3.704E-15,5.924,5.299,0.625,60.799
