 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,2594558.818,769.347,2039.603,7869.497,0.526,1.098,0.911,1.380,0,1,15248235,828.786,1081.503,158146.606,155440.945,-41373.182,-0.265,-0.491,-1.035,-0.604,-44.064,1.045E17,0.021,2.948E-5,1.938E-6,2.311E-7,1.033E-13,2.061E-10,1.151E-13,5.380,4.990,0.390,53.016
2,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,89427.981,1179.388,2633.273,972.420,1.000,1.041,0.960,1.483,0,1,1048305,1192.194,262.475,10302.408,9092.474,-1214.780,-0.084,-0.131,-1.423,-1.493,-31.763,7.723E12,0.019,6.703E-6,2.882E-7,2.311E-9,5.708E-18,5.437E-12,-5.938E-17,5.079,4.875,0.203,40.040
3,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,74606.174,1226.715,2380.736,980.533,0.975,1.408,0.710,1.311,0,1,1007760,1233.829,504.989,7151.620,11229.551,215.579,-0.134,-0.137,-1.580,-1.494,86.982,1.695E13,0.018,1.656E-5,4.780E-7,5.414E-8,8.570E-15,7.524E-11,-1.549E-15,5.160,4.832,0.327,37.212
4,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,34226.798,1189.232,2224.368,649.107,1.000,1.538,0.650,1.341,0,1,566610,1182.662,665.514,6189.572,2834.869,192.836,0.079,0.021,-1.539,-1.536,3.279,6.461E12,0.016,3.552E-5,5.377E-7,5.754E-8,-1.012E-14,-3.186E-10,-2.414E-16,5.132,4.565,0.567,50.267
5,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,35382.771,965.092,2140.315,705.092,0.894,1.527,0.655,1.197,0,1,673710,962.150,742.867,7311.252,3085.093,-692.559,-0.022,-0.147,-1.543,-1.653,-9.073,1.333E13,0.015,4.358E-5,2.445E-8,7.104E-9,2.473E-18,-3.786E-11,9.359E-17,5.142,4.482,0.660,53.706
6,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,68838.347,682.644,2108.511,924.225,1.000,1.635,0.612,1.438,0,1,952935,685.698,775.344,12092.148,4755.267,-1584.074,0.050,-0.055,-1.367,-1.616,-11.678,6.086E13,0.018,7.033E-5,4.537E-8,2.629E-8,6.839E-16,1.784E-10,-5.975E-16,5.384,4.640,0.744,62.177
7,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,203403.200,1231.259,1936.620,1638.936,0.952,1.465,0.682,1.297,0,1,1729920,1224.547,945.562,16664.041,36553.230,2047.339,0.027,0.080,-1.602,-1.553,84.183,7.133E14,0.031,1.378E-4,2.990E-7,1.050E-7,1.859E-14,5.275E-10,-3.480E-16,6.089,5.510,0.580,48.765
8,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,808433.282,184.386,1100.636,5491.133,0.337,5.994,0.167,1.279,0,1,5678340,224.190,1785.030,6890.314,399795.344,9164.623,-0.142,-0.028,-0.822,-1.249,88.665,8.785E17,0.072,0.005,5.719E-7,4.029E-7,1.934E-13,2.101E-8,1.617E-15,7.818,4.866,2.952,83.714
9,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,185084.229,403.604,1937.756,1456.382,1.000,1.176,0.851,1.431,0,1,1764090,403.951,956.284,24133.458,18769.751,708.974,0.046,-0.072,-1.564,-1.543,7.404,5.430E13,0.024,9.891E-6,1.062E-7,1.361E-8,-6.736E-17,4.167E-11,5.130E-16,5.460,5.272,0.188,42.231
10,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,30031.233,948.054,2027.488,614.547,0.999,1.271,0.787,1.401,0,1,614295,956.452,856.783,4594.458,2659.690,1163.126,-0.033,0.107,-1.493,-1.493,25.125,5.624E12,0.012,2.426E-5,1.106E-8,1.119E-9,-2.395E-18,1.816E-12,3.122E-18,4.745,4.104,0.641,53.792
11,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,167774.440,760.260,1847.266,1405.929,1.000,1.484,0.674,1.485,0,1,1602420,788.038,1035.130,13867.028,25501.618,2624.546,-0.370,-0.028,-1.391,-1.416,77.858,2.611E14,0.025,6.345E-5,2.330E-6,2.032E-8,2.012E-15,-9.802E-11,-3.937E-15,5.704,5.219,0.485,46.363
12,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,78606.210,999.546,1790.853,1041.200,0.911,1.653,0.605,1.348,0,1,1063095,989.418,1093.293,5377.714,15653.147,-730.034,0.284,0.019,-1.544,-1.537,-85.956,1.145E14,0.020,9.531E-5,2.637E-7,1.471E-8,-1.754E-17,1.420E-10,9.160E-16,5.565,4.785,0.780,55.340
