 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,30358.202,51.562,621.777,765.104,0.652,3.030,0.330,1.166,0,1,170085,80.984,162.545,351.170,9993.052,-1362.412,-1.148,-0.107,0.579,-1.477,-82.110,1.707E13,0.061,0.003,1.492E-5,2.503E-6,1.965E-12,-3.074E-8,1.517E-11,7.584,4.598,2.985,71.448
2,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,17708.951,200.182,731.726,543.170,0.754,2.545,0.393,1.775,0,1,224655,205.865,43.583,4385.023,536.158,383.848,0.058,0.249,-1.317,-1.299,5.640,3.460E12,0.022,3.052E-4,5.286E-8,1.950E-8,5.107E-16,3.406E-10,-3.621E-16,5.979,4.404,1.575,72.821
3,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,13502.500,375.341,730.209,446.049,0.853,1.807,0.553,1.134,0,1,116535,381.995,64.064,3319.959,579.400,78.806,-0.358,-1.137,-1.429,0.022,1.646,878150057794.082,0.033,5.549E-4,6.357E-6,6.323E-6,3.770E-11,7.039E-8,-1.363E-11,6.513,5.251,1.263,58.253
4,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,31400.040,520.928,689.263,615.570,1.000,1.108,0.902,1.357,0,1,256275,514.969,101.486,3923.339,2707.012,-232.709,0.131,-0.331,-1.687,-1.269,-10.469,434658768423.271,0.026,2.582E-5,2.611E-6,1.203E-6,-3.879E-13,-2.391E-9,2.096E-12,5.632,5.345,0.287,26.391
5,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,13458.803,683.197,715.802,412.596,0.993,1.013,0.987,1.536,0,1,131070,691.700,61.894,1381.747,1229.839,398.495,-0.060,0.190,-1.282,-1.305,39.604,86279365747.524,0.020,3.832E-5,4.088E-6,1.875E-7,-1.454E-13,-4.335E-10,7.620E-14,5.387,4.923,0.464,54.560
6,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,4024.762,755.990,720.352,276.072,0.664,2.800,0.357,1.111,0,1,54825,743.209,59.811,39.543,1113.971,109.018,3.001,-0.200,9.690,-1.261,84.264,65896073826.520,0.021,3.999E-4,8.975E-7,2.533E-7,8.769E-14,3.068E-9,-8.310E-14,6.039,3.390,2.649,71.916
7,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,22347.776,637.701,677.131,485.642,1.000,1.557,0.642,1.635,0,1,236385,630.563,93.890,1456.968,3212.015,1.973,0.099,0.149,-1.407,-1.241,89.936,728114541253.791,0.020,5.512E-5,6.931E-7,1.364E-7,3.972E-14,3.352E-10,-1.347E-14,5.444,4.874,0.570,53.037
8,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,48987.099,194.116,647.558,772.958,1.000,1.056,0.947,1.503,0,1,550800,198.821,114.543,4952.345,5223.310,-17.992,-0.145,0.323,-1.414,-1.278,-86.218,41154085455.994,0.018,2.463E-7,1.406E-7,1.066E-7,-7.198E-16,2.749E-11,-1.304E-14,4.926,4.887,0.039,51.770
9,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,10142.399,210.798,715.044,339.866,1.000,1.837,0.544,1.756,0,1,152235,214.195,61.912,1698.474,556.717,310.063,-0.151,-0.150,-1.252,-1.342,14.254,256997679812.001,0.015,7.284E-5,1.749E-8,3.888E-8,7.735E-16,3.306E-10,-6.557E-16,5.225,4.278,0.947,65.478
10,MAX_File_89_07-03-2019_KF_67_2_CGRP_GFP_Pr_GFP-g_Hu-b.lif - Series002_ProjMax001-watershed-lines.tif,53563.828,370.792,567.182,788.617,1.000,1.241,0.806,1.441,0,1,454920,358.104,199.766,4654.775,7758.639,-467.363,0.159,0.052,-1.526,-1.484,-81.620,4.780E12,0.027,5.077E-5,2.155E-6,4.921E-8,1.466E-14,-1.612E-10,6.460E-15,5.785,5.399,0.386,45.867
