 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,349120.561,471.521,1906.514,2601.903,0.648,2.542,0.393,1.351,0,1,4386765,503.375,260.354,87874.062,7908.900,-4028.521,-0.008,-0.643,-1.584,-0.570,-2.877,2.834E16,0.022,3.357E-4,7.627E-7,1.199E-7,-2.042E-14,-1.913E-9,2.997E-14,6.008,4.250,1.757,66.614
2,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,6707.210,1031.003,2073.541,437.009,0.441,5.026,0.199,1.075,0,1,394740,1027.871,29.071,4073.356,79.279,-50.266,0.062,-1.795,-1.420,2.127,-0.721,6.301E12,0.011,1.024E-4,4.987E-8,1.030E-8,4.999E-17,-1.594E-11,2.281E-16,5.048,2.200,2.847,79.316
3,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,11802.768,1241.529,2067.052,587.539,0.430,4.816,0.208,1.048,0,1,511020,1240.339,42.685,6418.932,107.874,12.981,-0.008,-2.263,-1.379,4.261,0.118,2.035E13,0.013,1.525E-4,8.071E-8,1.078E-8,-3.163E-16,-1.320E-10,-3.408E-17,5.331,2.383,2.948,78.584
4,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,12876.356,1446.528,2054.075,462.473,0.757,2.261,0.442,1.237,0,1,415395,1450.073,56.392,2904.753,194.625,-181.717,-0.165,-0.896,-1.323,0.192,-3.819,3.106E12,0.007,4.333E-5,1.116E-7,1.568E-8,-2.785E-16,-5.521E-11,-5.938E-16,4.492,2.493,1.999,65.535
5,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,62765.739,1598.655,1955.781,927.429,0.917,1.179,0.848,1.452,0,1,1538925,1596.172,133.565,6035.662,5673.923,-1383.078,-0.145,0.063,-1.537,-1.158,-41.275,1.198E13,0.008,3.286E-6,3.011E-8,8.551E-9,-2.548E-17,-4.631E-12,1.348E-16,3.916,3.566,0.350,48.099
6,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,6379.150,1685.653,2063.688,307.195,0.849,2.017,0.496,1.399,0,1,350880,1684.520,36.214,1346.098,248.994,-32.481,0.076,-0.570,-1.452,-0.985,-1.694,423813383510.031,0.005,9.811E-6,4.464E-8,7.485E-9,-1.162E-16,-2.075E-11,7.219E-17,3.621,2.400,1.221,58.484
7,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,234664.575,1751.022,1449.412,3162.709,0.295,7.034,0.142,1.201,0,1,4124115,1736.746,656.053,1888.475,145070.059,7542.409,-0.184,-0.084,-1.099,-1.278,86.993,8.549E16,0.036,0.001,3.749E-7,3.010E-7,1.010E-13,1.041E-8,4.540E-15,6.821,3.517,3.304,83.812
8,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,59151.534,1088.200,1934.392,923.009,0.872,1.093,0.915,1.328,0,1,1719210,1088.259,149.816,7294.811,7314.366,-1191.121,0.022,-0.012,-1.642,-1.517,-45.235,9.757E12,0.008,1.920E-6,3.848E-8,3.157E-9,-5.117E-18,2.797E-12,-3.442E-17,3.985,3.748,0.237,40.359
9,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,30832.329,927.902,1981.976,618.698,1.000,1.328,0.753,1.512,0,1,960585,929.451,110.991,4047.186,2388.274,-535.884,0.051,-0.207,-1.446,-1.394,-16.433,3.747E12,0.007,4.227E-6,1.474E-8,5.844E-9,5.281E-17,6.321E-12,-1.233E-17,3.810,3.353,0.457,45.152
10,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,61013.621,1315.069,1951.695,961.428,0.829,1.710,0.585,1.601,0,1,1804635,1289.884,126.909,9646.743,4583.976,-1649.463,0.342,0.261,-1.289,-1.469,-16.544,6.590E13,0.008,1.121E-5,1.540E-7,9.079E-9,2.504E-16,2.771E-11,2.293E-16,4.170,3.516,0.654,49.546
