 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,9417.942,50.804,725.660,337.963,1.000,1.032,0.969,1.368,0,1,90525,67.396,58.485,487.090,923.661,115.922,-0.524,-0.170,-0.548,-1.359,76.015,22119394242.271,0.016,2.982E-5,1.890E-6,4.143E-7,-2.464E-13,-2.116E-9,-2.715E-13,5.075,4.548,0.528,43.689
2,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,13914.176,135.729,735.517,454.171,0.848,2.420,0.413,1.333,0,1,142545,143.155,55.028,3868.659,350.527,487.289,-0.134,-0.907,-1.536,-0.193,7.742,1.900E12,0.030,6.559E-4,4.896E-6,1.410E-6,2.107E-12,5.707E-9,-3.045E-12,6.467,4.571,1.895,64.533
3,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,11043.946,283.591,736.275,386.708,0.928,2.000,0.500,1.429,0,1,142800,280.496,49.090,2359.886,507.225,-164.085,-0.048,-0.500,-1.606,-1.138,-5.022,505519286112.611,0.020,1.736E-4,1.022E-6,2.313E-7,-1.054E-13,-3.005E-9,-3.903E-14,5.736,4.601,1.134,58.255
4,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,21174.846,387.473,702.912,509.045,1.000,1.065,0.939,1.280,0,1,171615,385.186,73.935,3027.305,1629.298,483.410,0.384,0.062,-1.542,-1.054,17.333,495823917063.218,0.027,9.810E-5,7.985E-7,1.138E-6,9.330E-13,6.566E-9,-5.541E-13,5.891,5.339,0.552,33.717
5,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,18090.729,499.697,686.988,538.487,0.784,1.652,0.605,1.180,0,1,250155,501.454,103.258,1366.338,3027.117,39.757,-0.149,-0.267,-1.745,-1.282,88.629,691556092207.912,0.018,4.418E-5,5.170E-8,1.985E-7,6.471E-15,1.320E-9,1.905E-14,5.278,4.703,0.575,63.224
6,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,5892.251,575.523,741.583,275.094,0.978,1.452,0.689,1.485,0,1,100980,576.837,40.380,1004.227,321.247,13.426,0.147,-0.449,-1.555,-1.080,1.126,47176039416.040,0.013,4.582E-5,3.970E-7,1.389E-7,3.028E-15,-4.561E-10,3.249E-14,4.994,4.171,0.823,55.061
7,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,20809.168,696.087,707.461,497.585,1.000,1.195,0.837,1.358,0,1,167790,674.400,89.653,2474.104,797.009,481.609,0.467,-0.667,-1.243,-0.014,14.935,627607768065.487,0.019,1.329E-4,3.466E-6,7.124E-7,-3.437E-13,-4.399E-9,1.065E-12,5.635,4.655,0.980,36.804
8,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,13274.814,580.831,668.790,374.854,1.000,1.054,0.949,1.489,0,1,212160,585.269,106.946,1476.782,1486.958,-95.771,-0.273,-0.002,-1.471,-1.556,-46.520,7805802813.418,0.014,8.174E-7,3.367E-8,2.504E-8,7.269E-16,5.790E-12,2.030E-17,4.575,4.481,0.094,39.754
9,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,14774.325,159.994,641.492,414.068,1.000,1.205,0.830,1.310,0,1,201195,153.440,131.945,1546.768,2302.946,55.142,0.447,-0.013,-1.385,-1.625,85.851,117491103563.352,0.019,1.443E-5,2.695E-8,1.887E-7,-7.249E-16,-7.062E-10,-1.344E-14,5.199,4.909,0.290,39.261
10,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,13293.213,329.087,643.767,389.283,1.000,1.250,0.800,1.551,0,1,181560,329.767,130.581,1098.402,1716.293,348.902,0.069,0.083,-1.447,-1.322,65.762,157724971965.286,0.016,2.635E-5,1.007E-7,7.358E-10,-2.472E-18,-3.224E-12,-5.832E-18,5.047,4.551,0.496,59.950
11,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,14167.161,260.843,638.459,414.741,1.000,1.257,0.795,1.450,0,1,213435,256.833,135.382,1221.965,2013.389,137.110,0.047,-0.033,-1.526,-1.465,80.445,149735009622.236,0.015,1.540E-5,9.975E-8,7.340E-9,1.823E-16,8.598E-12,-7.869E-17,4.934,4.552,0.382,56.027
12,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - Proximal B_ProjMax001-watershed-lines.tif,11536.117,731.726,635.426,366.948,1.000,1.544,0.648,1.649,0,1,114240,727.735,140.286,433.844,1573.086,5.879,-0.090,-0.071,-1.064,-1.265,89.704,148284850737.013,0.018,9.946E-5,4.357E-6,4.431E-7,-6.057E-13,-4.338E-9,-1.105E-13,5.464,4.534,0.929,45.039
