 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,178636.923,320.309,2804.028,1947.328,0.592,2.276,0.439,1.196,0,1,843795,352.015,186.120,31034.440,3261.692,-75.786,-0.059,-0.197,-0.997,-0.193,-0.156,6.509E14,0.041,0.001,3.263E-6,2.416E-7,-2.136E-13,-7.088E-9,2.073E-14,6.881,5.256,1.625,72.530
2,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,1007864.543,1462.214,2637.438,4977.641,0.511,2.679,0.373,1.453,0,1,4017270,1466.974,381.936,270709.191,24897.483,-3169.537,0.040,-0.317,-1.418,-0.988,-0.739,2.429E17,0.074,0.004,4.970E-6,1.300E-6,1.428E-13,-1.943E-8,3.303E-12,7.755,6.032,1.723,69.061
3,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,666868.366,2548.841,2452.673,3456.085,0.702,1.449,0.690,1.233,0,1,1952535,2475.011,698.798,34239.884,53949.028,24214.052,0.421,-1.109,-0.886,0.839,56.073,5.338E15,0.045,7.171E-4,7.276E-5,2.851E-5,1.204E-9,5.429E-7,-4.859E-10,6.849,5.865,0.984,45.492
4,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,105482.597,985.158,2710.889,1117.617,1.000,1.043,0.959,1.458,0,1,582165,988.173,233.870,10349.556,12193.262,2934.135,-8.025E-4,-0.030,-1.345,-1.450,53.721,2.203E13,0.039,1.116E-4,5.007E-7,1.224E-7,-6.034E-15,1.026E-9,-2.968E-14,6.303,5.899,0.404,53.497
5,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,114441.393,1936.998,2612.449,1268.202,0.894,2.104,0.475,1.451,0,1,687735,1937.679,354.607,6282.514,24950.666,-2877.769,-0.132,-0.125,-1.529,-1.363,-81.433,2.625E14,0.045,8.069E-4,3.242E-6,9.363E-7,1.621E-12,2.313E-8,-1.841E-13,6.886,5.827,1.059,67.753
6,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,37844.376,251.401,2747.236,635.818,1.000,1.364,0.733,1.420,0,1,315180,261.608,202.153,5871.303,3016.458,19.027,-0.241,0.074,-1.512,-1.461,0.382,2.569E12,0.028,8.206E-5,6.243E-7,5.370E-7,2.924E-13,3.108E-9,1.056E-13,5.900,5.419,0.480,41.310
7,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,12247.816,417.235,2779.040,353.204,1.000,1.483,0.674,1.553,0,1,172890,412.725,170.109,1891.626,886.915,-313.659,0.160,-0.210,-1.489,-1.394,-15.990,242559893350.284,0.016,4.694E-5,8.526E-9,5.448E-8,6.661E-18,3.613E-10,1.174E-15,5.199,4.542,0.657,51.428
8,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,47523.362,86.324,2664.698,789.128,0.959,1.652,0.605,1.341,0,1,346035,116.401,284.936,2291.152,9093.548,458.662,-0.821,-0.087,-0.587,-1.585,86.160,1.630E13,0.033,3.935E-4,5.835E-6,2.064E-6,-5.693E-12,-3.222E-8,4.351E-12,6.401,5.394,1.007,50.060
9,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,90840.264,829.169,2598.819,1049.752,1.000,1.528,0.654,1.486,0,1,600270,820.703,359.989,6144.922,14700.760,-85.025,0.146,0.003,-1.492,-1.425,-89.431,4.396E13,0.035,2.032E-4,1.902E-6,1.095E-7,4.162E-14,7.689E-10,2.768E-14,6.294,5.665,0.629,54.509
10,MAX_File_162_10-16-19_VOQM_8_1_Prox-mid_Chat-r_ChatVIP-g.lif - PROXTileScan_001_Merging001_ProjMax001-watershed-lines.tif,28578.238,443.738,2702.559,631.167,0.901,1.573,0.636,1.330,0,1,334815,433.973,246.848,4699.168,2060.396,95.594,0.140,-0.042,-1.411,-1.615,2.072,2.344E12,0.020,6.244E-5,2.301E-7,7.110E-8,8.823E-15,3.790E-10,-2.202E-15,5.492,4.896,0.596,53.487
