,area,perim,eccentr,orient,ext,disp,elong,ens_location,sample_id
1,15174.418,437.626,2.94339E+11,-46.57,5.536,3.855,1.682,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,34576.682,692.407,1.18E+13,-4.65,6.728,5.224,1.504,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
3,73702.024,908.413,2.47E+13,-19.723,6.303,5.428,0.874,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
4,13556.608,447.076,1.35E+12,-7.357,6.207,4.409,1.798,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
5,52549.041,809.569,2.53E+13,10.984,6.774,5.692,1.081,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
6,2722.321,176.826,7441120178,2.147,4.755,3.602,1.153,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
7,36820.076,694.915,3.96E+12,1.133,6.07,5.431,0.639,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
8,2165.482,154.898,2287859572,-19.184,4.241,3.309,0.932,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
9,32894.71,628.157,9.69E+12,-3.911,6.448,5.223,1.224,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
10,15222.54,399.863,1.23173E+11,-3.419,5.234,4.878,0.356,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
11,26283.687,656.9,4.91E+12,-9.216,6.409,5.187,1.222,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
12,94896.253,996.375,9.0013E+11,25.356,5.769,5.672,0.097,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
13,5068.833,279.61,2.02545E+11,2.003,6.755,4.649,2.106,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
14,40129.025,751.704,2.52E+13,-1.319,7.174,5.695,1.479,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
15,17296.361,547.263,4.92E+12,-2.308,6.51,4.626,1.884,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
16,27223.208,545.615,1.20559E+11,15.748,5.438,5.269,0.169,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
17,123567.699,1189.251,1.03E+12,-36.617,5.402,5.332,0.07,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
18,14917.768,418.7,7.18279E+11,2.093,6.002,4.964,1.038,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
19,90693.613,1020.863,4.09E+13,-12.528,6.674,5.804,0.87,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
20,14968.181,431.786,2.60664E+11,-8.766,5.632,4.66,0.972,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
21,10233.91,338.666,1.43301E+11,-19.94,5.603,4.572,1.031,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
22,24253.404,538.737,1.33783E+11,-4.717,5.311,5.092,0.22,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
23,39934.246,697.36,6.22E+12,-6.325,6.384,5.492,0.892,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
24,42347.212,729.257,8.56E+12,5.663,6.777,5.553,1.224,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
25,11109.269,419.03,9.57603E+11,-3.677,6.667,5.17,1.497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
26,180113.144,1587.493,4.55E+12,-78.888,5.81,5.721,0.089,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
27,28937.262,685.009,5.62E+12,-4.026,6.151,4.853,1.298,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
28,28783.73,597.299,4.41E+12,-3.992,6.417,5.127,1.29,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
29,111954.297,1195.243,1.90E+12,58.976,6.137,6.028,0.109,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
30,32910.75,656.9,6.46E+12,-11.93,6.609,5.344,1.265,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
31,82040.85,998.264,3.24E+13,-18.287,6.256,5.467,0.79,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
32,41760.584,773.91,2.62E+12,-34.441,5.851,5.278,0.573,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
33,86330.567,1077.41,2.94E+13,-82.762,6.012,5.331,0.68,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
34,49753.392,739.631,1.15E+13,11.902,6.471,5.508,0.962,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
35,22878.494,577.754,4.36E+12,-9.714,6.598,4.999,1.599,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
36,50933.522,886.753,6.62E+13,-0.214,6.852,5.193,1.659,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
37,20531.982,484.634,1.07E+12,11.946,6.042,5.136,0.906,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
38,40965.428,750.324,1.29E+13,21.292,7.041,4.383,2.658,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
39,118077.228,1088.975,2.08631E+11,-52.738,5.768,5.733,0.035,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
40,104561.867,1084.263,3.71E+12,-72.782,5.831,5.68,0.151,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
41,46526.937,689.632,3.08E+12,-48.81,5.693,5.274,0.419,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
42,146565.352,1224.454,1.11E+13,-61.26,6.091,5.923,0.169,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
43,119720.244,1069.377,1.43684E+11,75.355,5.871,5.841,0.031,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
44,42301.382,670.454,4.04733E+11,-75.114,5.319,5.148,0.171,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
