,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
1,97270.5,1560.447919,1.162420318,0.862473742,0.299946576,1.39038E+19,-29.63839727,97269.20918,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,94888.5,1873.704846,1.821705543,1.684280748,0.137424794,1.11E+19,-29.4698306,94696.82398,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
3,95211,1299.763392,0.777561839,0.4507333,0.326828539,2.23437E+18,-64.80499206,95167.62578,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
4,20434.5,631.182462,0.674994559,0.223842694,0.451151865,5.29797E+17,-73.0082602,20531.98655,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
5,104808,1478.123649,0.9811037,0.821610888,0.159492812,1.74735E+18,-67.44802603,104784.2201,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
6,100104.5,1292.662212,0.405539158,0.184836482,0.220702676,3.57747E+17,43.22591972,100194.2346,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
7,86184,1184.452248,0.378573658,0.244844865,0.133728792,9.6457E+17,42.37183207,86135.88352,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
8,172918.5,2575.382503,2.43712671,1.30675109,1.13037562,4.79202E+17,31.06388507,172845.5057,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
9,107170,1356.501973,0.690994869,0.387084796,0.303910073,6.48195E+18,-22.60751768,107290.3246,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
10,61139,1049.281015,0.595772198,0.376528132,0.219244066,3.10514E+18,-30.52250226,61053.00136,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
11,208794,1885.060608,0.553550728,0.395130261,0.158420468,7.1945E+18,-33.26526817,209050.0868,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
12,30210.5,700.4356275,0.437905282,0.110522981,0.327382301,2.56458E+14,-15.23877041,30212.36576,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
13,43693.5,927.6508035,0.823230587,0.570525596,0.252704991,2.02321E+15,-21.78664629,43725.87655,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
14,97584,1172.318285,0.244661646,0.032278892,0.212382754,1.81284E+14,-60.29567726,97565.9373,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
15,49363,1074.68422,1.512590491,0.628503242,0.884087249,7.58619E+18,-33.01086798,49462.23728,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
16,36967,811.8449045,0.728957189,0.126226518,0.602730671,6.71501E+18,-28.66684594,36910.51538,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
17,123820,2228.626256,2.002865555,1.023344094,0.979521461,2.06265E+19,-34.64738401,123668.8754,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
18,45391,919.7691389,0.72890482,0.171302802,0.557602018,5.74365E+17,57.54746019,45548.49493,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
19,94604,1292.360687,1.033215003,0.075748412,0.957466591,1.58843E+18,53.74490623,94474.86775,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
20,127190,1419.126153,0.254189408,0.234144664,0.020044744,7.91031E+17,53.23218952,127159.3738,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
21,100860.5,1229.459831,0.369326962,0.086911845,0.282415117,1.40394E+18,84.44795808,101034.1018,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
22,37694,861.9672643,0.905007312,0.302945514,0.602061798,3.71785E+17,88.56977014,37738.98829,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
23,80201,1188.321952,1.060904689,0.220060293,0.840844396,1.27313E+18,-85.1061961,80100.08468,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
24,94249,1302.2355,0.772754903,0.438982564,0.333772339,1.41898E+19,29.92618877,94363.29585,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
25,30598,736.7934708,1.061475277,0.126507714,0.934967563,5.55457E+18,27.58339221,30588.3737,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
26,86773.5,1250.808879,1.117367868,0.249305063,0.868062805,1.07936E+19,26.76848859,86693.623,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
27,67461.5,1080.451684,0.254510586,0.205015724,0.049494862,1.50822E+18,70.49382098,67413.98473,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
28,55942.5,908.359325,0.165549931,0.117505496,0.048044435,1.66545E+18,62.09584999,55954.2149,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
29,87348.5,1286.428271,0.80372676,0.387550611,0.41617615,1.32168E+18,66.84429165,87506.16105,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
30,33925,774.3004031,0.929885801,0.131886939,0.797998862,7.80117E+18,34.36490912,33799.77445,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
31,61480,1017.504643,0.793339228,0.144168269,0.649170958,1.09641E+19,34.73565607,61473.34986,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
32,52158,1079.666352,1.27848511,0.270958043,1.007527067,8.65229E+18,37.69490164,52096.31347,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
33,133186,1441.797442,0.514966613,0.085543597,0.429423016,3.60016E+18,49.0549706,133061.1935,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
34,47167.5,976.7116641,0.427274302,0.327393607,0.099880694,7.39766E+17,47.24053199,47283.04391,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
35,43202,850.0839624,0.802074318,0.130866011,0.671208307,1.34937E+18,67.64583136,43206.49738,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
36,140127.5,1486.107405,0.176021223,0.072279297,0.103741926,1.04757E+19,8.665918677,140246.5104,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
37,20631,704.6610276,0.895100846,0.49474714,0.400353707,1.06802E+18,8.424897007,20540.0168,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
38,37452.5,937.2162687,1.192081301,0.788537228,0.403544073,1.70375E+18,9.456369875,37442.28137,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
39,38383,883.2471844,0.919285865,0.400519085,0.51876678,4.11544E+18,-28.7193136,38498.7415,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
40,14873.5,503.770085,0.844542312,0.097921938,0.746620374,1.72537E+18,42.49896142,14757.28687,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
41,100037.5,1321.252539,1.069428119,0.141907341,0.927520779,8.88289E+18,41.80854207,99938.75537,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
42,44310.5,927.3901461,1.521836976,0.049686147,1.472150828,4.04277E+18,45.33699107,44175.71555,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
43,19536,753.3044575,1.126483482,0.845956824,0.280526658,1.34478E+17,46.6953671,19488.19329,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
44,54935,1012.376944,0.817983195,0.113062745,0.70492045,6.85702E+17,-48.52309453,54919.67066,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
45,54701,1004.345041,1.218360681,0.036478384,1.181882297,3.83065E+17,-46.60398867,54577.08879,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
46,75555,1139.652673,0.795511698,0.234956571,0.560555128,9.71926E+17,-42.32885882,75547.78638,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
47,91750.5,1406.295,0.937288213,0.258679968,0.678608245,4.68487E+18,2.926929433,91709.76173,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
48,28276,857.0188932,1.489085464,1.230252612,0.258832852,1.09943E+18,28.40751506,28216.55943,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
49,72599,1111.194397,0.608979412,0.367334932,0.241644481,5.05361E+18,31.03295133,72662.74199,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
50,72661,1091.976756,0.171154614,0.16436921,0.006785405,2.89468E+18,25.03933558,72676.70179,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
51,63004.5,1044.277748,0.416236258,0.332638548,0.08359771,1.58338E+17,7.551157702,63194.29553,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
52,25133.5,794.7323895,1.39821028,0.874663541,0.523546739,3.17376E+16,-3.405258974,25078.31518,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
53,68383.5,1258.051838,1.242446135,0.506691766,0.735754369,4.88582E+16,-7.738786057,68229.85132,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
54,85797.5,1204.99157,0.465516312,0.171148902,0.29436741,4.292E+17,31.72900597,85819.67628,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
55,32629.5,686.5995591,0.443678376,0.035710138,0.407968238,2.02594E+17,39.17506697,32665.61808,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
56,1534,282.1326455,2.754461976,0.309156289,2.445305687,9.77252E+15,34.99690364,1533.02193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
57,41540.5,900.1996376,1.298429993,0.368633803,0.92979619,1.31556E+18,-67.21510981,41471.80989,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
58,6144.5,432.2999891,1.481855656,0.963247554,0.518608103,1.211E+17,43.008166,6094.328552,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
59,3339,260.0187021,0.697105111,0.48750701,0.2095981,3.89192E+17,-23.92531531,3382.344951,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
60,102808.5,1227.005729,0.251442348,0.07371296,0.177729388,1.57209E+19,-24.00289691,102824.8399,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
61,49819,1016.65251,1.100021827,0.619505176,0.480516651,6.74691E+18,-27.10516421,49748.81097,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
62,62584.5,1036.202884,0.519328124,0.16894765,0.350380474,9.40884E+16,46.8083315,62344.13531,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
63,35648.5,764.1399972,0.580192652,0.214466445,0.365726207,2.32675E+18,-16.32268291,35654.74773,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
64,58357,978.9728632,0.717979909,0.283294995,0.434684914,2.71348E+18,-20.62020245,58256.03394,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
65,64818,1038.977214,0.591707518,0.331032961,0.260674557,2.96737E+16,72.85276884,64795.73214,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
66,21842,578.3248589,0.212459542,0.14457037,0.067889171,2.27739E+16,58.87918656,21853.07193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
67,35975,792.9405504,0.370655676,0.311820024,0.058835652,1.5414E+16,61.45310314,35955.04811,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
68,52161.5,909.7412298,0.565757548,0.200839846,0.364917703,2.84411E+18,52.02351881,52128.66533,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
69,40996.5,850.0548104,0.665089792,0.277411336,0.387678456,1.70688E+18,48.30786141,40953.87881,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
70,41431.5,862.368538,0.462818029,0.24325999,0.219558039,1.4079E+18,50.13256369,41400.85248,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
71,82255,1119.344625,0.437390271,0.053386781,0.384003489,3.27268E+18,56.51032575,82325.04779,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
72,20543.5,622.3959713,0.682728036,0.281643674,0.401084362,9.27269E+16,14.28665994,20534.27874,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
73,57462,946.0927785,0.69889018,0.178908817,0.519981363,3.62072E+17,11.49350923,57467.75998,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
74,22647,664.0080157,0.690866315,0.546259564,0.144606751,8.2841E+16,4.275526026,22683.73714,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
75,24756,738.8889047,1.025187081,0.751396787,0.273790294,5.49452E+18,-31.51703805,24836.65124,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
76,38734,855.1810984,1.116293396,0.469501246,0.64679215,7.54287E+18,-35.45209625,38681.75841,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
77,25427,698.0068615,0.712219351,0.342013631,0.37020572,2.26682E+18,32.46933289,25435.93181,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
78,5436,351.9950792,1.201652525,0.799415245,0.40223728,4.81676E+17,34.73624398,5438.901291,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
79,172621.5,2404.051573,1.780210294,1.031179815,0.749030479,1.96134E+19,32.52412903,172692.1708,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
80,6584,340.7120042,0.582828535,0.210831432,0.371997103,3.20964E+17,-4.276861739,6541.189445,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
81,27665.5,717.6523468,0.91670022,0.469784188,0.446916033,1.671E+18,-1.992249531,27459.1953,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
82,140050,1479.786523,0.335976455,0.249333259,0.086643196,8.83232E+18,-6.900677459,140255.6785,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
83,33014.5,702.2913846,0.273972677,0.10869087,0.165281807,2.29148E+18,-10.77799155,32926.80429,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
84,47366,866.3616528,0.565809661,0.12523753,0.440572132,2.26625E+18,-10.85003776,47543.16955,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
85,137017,1521.837932,0.732895053,0.16872882,0.564166233,7.42243E+18,-5.986817369,136824.1451,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
86,49710.5,953.4649948,1.0320096,0.357347789,0.674661811,3.61252E+18,46.20901256,49823.37167,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
87,63271.5,1001.882402,0.312761772,0.081969383,0.230792389,5.17936E+18,42.96103644,63252.68825,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
88,27782.5,675.6565127,0.244908687,0.087734721,0.157173966,1.6527E+18,42.35672079,27697.48755,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
89,24468,680.1564058,1.049319949,0.278958134,0.770361815,8.29829E+17,-8.85700125,24398.95005,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
90,139627.5,1626.200943,0.534721655,0.479458843,0.055262812,3.3985E+18,-8.672902492,139748.2727,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
91,27884.5,788.7745442,1.256715536,0.6089169,0.647798636,5.50046E+17,39.15845215,27938.03188,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
92,79450.5,1316.436459,1.466524309,0.22071545,1.245808859,7.15401E+17,41.52653233,79435.2434,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
93,78515.5,1125.718949,0.667308694,0.243704997,0.423603697,1.42897E+18,43.503653,78398.55759,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
94,116974.5,1548.461024,1.037322854,0.373249187,0.664073668,5.53338E+18,43.47991803,117121.7716,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
95,25528,696.0199232,0.509398622,0.354250537,0.155148085,1.18554E+18,39.76515579,25459.87498,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
96,39324,789.1129608,0.351565526,0.137750842,0.213814683,1.30975E+18,39.85735779,39387.77596,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
97,20042,576.3275342,0.721037409,0.103261269,0.617776139,2.98309E+18,36.04432232,20007.24095,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
98,29314.5,775.1006842,1.377761536,0.370603483,1.007158053,3.888E+18,32.21980507,29380.7891,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
99,23911.5,726.6021293,1.613631436,0.079982941,1.533648495,4.93045E+18,27.61231141,23877.56781,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
100,18214,556.3088817,0.769584732,0.079330035,0.690254697,3.35048E+18,24.60072891,18192.37731,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
101,6855.5,324.8441274,0.136540315,0.118495011,0.018045304,2.83106E+15,-34.60468944,6864.295976,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
102,45119,867.2025516,0.706505089,0.171405893,0.535099196,7.81831E+15,-42.18909203,45192.02743,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
103,78858,1119.009667,0.304595559,0.071790622,0.232804937,1.96245E+16,-21.40672464,78809.71384,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
104,58428.5,951.4681584,0.136449839,0.072587968,0.063861871,1.52941E+17,-44.95192808,58517.34125,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
105,27361.5,701.0928298,0.67558237,0.239234369,0.436348001,3.59868E+16,-39.59194604,27396.20305,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
106,80605.5,1102.026856,0.613363922,0.044666265,0.568697657,1.09241E+17,-29.07528184,80576.67297,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
107,80141,1160.627513,0.58255123,0.399105163,0.183446067,5.92752E+17,63.09730974,80181.33199,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
108,30779.5,815.3992837,0.625720104,0.528007779,0.097712326,1.33682E+17,60.99646247,30783.16191,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
109,25566,617.0578359,0.280091353,0.138861656,0.141229696,1.63233E+16,-14.20108544,25530.97771,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
110,42658,847.644686,0.174837293,0.155026148,0.019811145,5.9103E+16,-13.35189125,42789.44336,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
111,40377,777.0278335,0.176027222,0.060813643,0.115213579,4.82557E+16,-23.64524929,40488.70306,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
112,17057.5,678.3397936,1.668756285,1.136793445,0.53196284,1.29362E+18,4.188587864,16945.85944,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
113,85020.5,1165.960766,0.274693362,0.172188196,0.102505166,9.59728E+18,5.099072034,85074.9109,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
114,31738.5,707.1396122,0.29323581,0.170512214,0.122723596,4.90183E+18,24.13821325,31870.31994,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
115,34244,790.2570693,0.951533405,0.284434938,0.667098467,3.86554E+18,24.03913559,34341.84398,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
116,28634.5,686.1547126,0.529170439,0.135554272,0.393616166,6.67121E+17,87.39743506,28547.73784,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
117,24962,682.8734392,0.840594349,0.207185647,0.633408702,5.03484E+17,83.49163468,24966.06494,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
118,82095.5,1127.620689,0.374304259,0.154315619,0.219988641,3.77337E+18,14.33115499,82090.24076,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
119,73690,1046.358775,0.295888175,0.076817104,0.219071071,2.18089E+18,9.587449248,73645.92072,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
