,Node_Count,Convexity,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
1,8,0.999840914,97270.5,1560.447919,1.162420318,0.862473742,0.299946576,5.27621E+13,37.64520934,97269.20918,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,10,0.916448296,94888.5,1873.704846,1.821705543,1.684280748,0.137424794,1.75098E+14,41.92267318,94696.82398,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
3,8,1,95211,1299.763392,0.777561839,0.4507333,0.326828539,1.97743E+13,35.41892379,95167.62578,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
4,5,1,20434.5,631.182462,0.674994559,0.223842694,0.451151865,33184242999,8.023954839,20531.98655,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
5,9,0.999620353,104808,1478.123649,0.9811037,0.821610888,0.159492812,5.9553E+13,41.07568379,104784.2201,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
6,7,1,100104.5,1292.662212,0.405539158,0.184836482,0.220702676,3.43909E+12,59.19801408,100194.2346,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
7,8,0.999758945,86184,1184.452248,0.378573658,0.244844865,0.133728792,5.86347E+12,39.74388094,86135.88352,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
8,21,0.912618868,172918.5,2575.382503,2.43712671,1.30675109,1.13037562,1096397437994551,68.90879924,172845.5057,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
9,9,0.999570702,107170,1356.501973,0.690994869,0.387084796,0.303910073,2.17986E+13,35.30973515,107290.3246,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
10,6,1,61139,1049.281015,0.595772198,0.376528132,0.219244066,3.50485E+12,52.37821865,61053.00136,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
11,12,0.995148012,208794,1885.060608,0.553550728,0.395130261,0.158420468,1.54577E+14,50.09407123,209050.0868,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
12,5,1,30210.5,700.4356275,0.437905282,0.110522981,0.327382301,65064925844,-71.86696858,30212.36576,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
13,7,1,43693.5,927.6508035,0.823230587,0.570525596,0.252704991,2.66577E+12,38.22212286,43725.87655,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
14,10,1,97584,1172.318285,0.244661646,0.032278892,0.212382754,6.80227E+11,-75.96701253,97565.9373,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
15,4,1,49363,1074.68422,1.512590491,0.628503242,0.884087249,7.00889E+12,24.22070811,49462.23728,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
16,5,1,36967,811.8449045,0.728957189,0.126226518,0.602730671,3.74084E+11,15.1871001,36910.51538,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
17,14,0.850065398,123820,2228.626256,2.002865555,1.023344094,0.979521461,2.11234E+14,22.47474675,123668.8754,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
18,4,1,45391,919.7691389,0.72890482,0.171302802,0.557602018,6.42129E+11,-74.8929251,45548.49493,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
19,7,1,94604,1292.360687,1.033215003,0.075748412,0.957466591,1.22118E+13,87.05873974,94474.86775,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
20,8,1,127190,1419.126153,0.254189408,0.234144664,0.020044744,1.56589E+13,45.85390788,127159.3738,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
21,8,1,100860.5,1229.459831,0.369326962,0.086911845,0.282415117,2.64532E+12,-24.50766829,101034.1018,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
22,5,1,37694,861.9672643,0.905007312,0.302945514,0.602061798,8.58927E+11,-24.13636391,37738.98829,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
23,10,0.994821366,80201,1188.321952,1.060904689,0.220060293,0.840844396,9.86425E+12,-72.89297353,80100.08468,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
24,8,1,94249,1302.2355,0.772754903,0.438982564,0.333772339,1.809E+13,34.97971935,94363.29585,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
25,6,1,30598,736.7934708,1.061475277,0.126507714,0.934967563,4.41959E+11,83.57832847,30588.3737,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
26,6,1,86773.5,1250.808879,1.117367868,0.249305063,0.868062805,1.53964E+13,19.05491986,86693.623,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
27,8,0.999930356,67461.5,1080.451684,0.254510586,0.205015724,0.049494862,5.0201E+11,40.52648011,67413.98473,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
28,10,1,55942.5,908.359325,0.165549931,0.117505496,0.048044435,6.44953E+11,47.7265095,55954.2149,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
29,7,1,87348.5,1286.428271,0.80372676,0.387550611,0.41617615,1.24495E+13,58.27674193,87506.16105,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
30,5,1,33925,774.3004031,0.929885801,0.131886939,0.797998862,3.89139E+11,0.805553199,33799.77445,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
31,7,1,61480,1017.504643,0.793339228,0.144168269,0.649170958,2.11282E+12,15.51469748,61473.34986,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
32,5,1,52158,1079.666352,1.27848511,0.270958043,1.007527067,3.17081E+12,7.529063829,52096.31347,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
33,9,0.998084693,133186,1441.797442,0.514966613,0.085543597,0.429423016,1.05558E+13,-69.82641405,133061.1935,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
34,5,1,47167.5,976.7116641,0.427274302,0.327393607,0.099880694,4.06306E+11,51.44031313,47283.04391,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
35,5,1,43202,850.0839624,0.802074318,0.130866011,0.671208307,7.10288E+11,-13.51219358,43206.49738,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
36,9,0.998642573,140127.5,1486.107405,0.176021223,0.072279297,0.103741926,5.0124E+11,-76.72169301,140246.5104,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
37,3,1,20631,704.6610276,0.895100846,0.49474714,0.400353707,1.47631E+11,59.35015498,20540.0168,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
38,7,0.997965834,37452.5,937.2162687,1.192081301,0.788537228,0.403544073,2.642E+12,55.14678314,37442.28137,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
39,6,1,38383,883.2471844,0.919285865,0.400519085,0.51876678,1.10187E+12,28.11596756,38498.7415,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
40,5,1,14873.5,503.770085,0.844542312,0.097921938,0.746620374,27203856793,3.33135139,14757.28687,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
41,8,0.998824663,100037.5,1321.252539,1.069428119,0.141907341,0.927520779,1.71994E+13,11.43128636,99938.75537,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
42,6,1,44310.5,927.3901461,1.521836976,0.049686147,1.472150828,3.36273E+12,1.757931723,44175.71555,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
43,3,1,19536,753.3044575,1.126483482,0.845956824,0.280526658,3.55376E+11,37.59324709,19488.19329,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
44,5,1,54935,1012.376944,0.817983195,0.113062745,0.70492045,1.26373E+12,-88.48607127,54919.67066,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
45,8,1,54701,1004.345041,1.218360681,0.036478384,1.181882297,3.60044E+12,89.16931498,54577.08879,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
46,9,0.989638497,75555,1139.652673,0.795511698,0.234956571,0.560555128,5.38036E+12,-66.00916394,75547.78638,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
47,12,0.952171375,91750.5,1406.295,0.937288213,0.258679968,0.678608245,7.24511E+12,-81.57517505,91709.76173,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
48,6,1,28276,857.0188932,1.489085464,1.230252612,0.258832852,2.64041E+12,39.32410815,28216.55943,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
49,11,1,72599,1111.194397,0.608979412,0.367334932,0.241644481,5.98865E+12,53.02852372,72662.74199,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
50,8,1,72661,1091.976756,0.171154614,0.16436921,0.006785405,1.3922E+12,44.60158323,72676.70179,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
51,7,0.999814724,63004.5,1044.277748,0.416236258,0.332638548,0.08359771,3.25626E+12,47.93799109,63194.29553,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
52,5,0.999924338,25133.5,794.7323895,1.39821028,0.874663541,0.523546739,9.88707E+11,57.72231057,25078.31518,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
53,13,0.957609097,68383.5,1258.051838,1.242446135,0.506691766,0.735754369,9.18265E+12,67.42031805,68229.85132,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
54,10,0.982551319,85797.5,1204.99157,0.465516312,0.171148902,0.29436741,2.69813E+12,-27.79585752,85819.67628,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
55,8,1,32629.5,686.5995591,0.443678376,0.035710138,0.407968238,75932609156,1.337294371,32665.61808,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
56,3,1,1534,282.1326455,2.754461976,0.309156289,2.445305687,1027194098,-2.367329025,1533.02193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
57,7,1,41540.5,900.1996376,1.298429993,0.368633803,0.92979619,2.38202E+12,19.79908286,41471.80989,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
58,4,1,6144.5,432.2999891,1.481855656,0.963247554,0.518608103,16269545340,57.41655888,6094.328552,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
59,5,1,3339,260.0187021,0.697105111,0.48750701,0.2095981,700399050.2,37.99024766,3382.344951,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
60,8,1,102808.5,1227.005729,0.251442348,0.07371296,0.177729388,1.29263E+12,-26.55318015,102824.8399,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
61,9,0.996776015,49819,1016.65251,1.100021827,0.619505176,0.480516651,4.547E+12,-57.73290203,49748.81097,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
62,7,0.999970973,62584.5,1036.202884,0.519328124,0.16894765,0.350380474,8.6588E+11,-21.51495802,62344.13531,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
63,6,0.999654928,35648.5,764.1399972,0.580192652,0.214466445,0.365726207,4.27322E+11,30.38363908,35654.74773,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
64,7,1,58357,978.9728632,0.717979909,0.283294995,0.434684914,2.76961E+12,29.99308517,58256.03394,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
65,8,1,64818,1038.977214,0.591707518,0.331032961,0.260674557,4.02092E+12,36.33450849,64795.73214,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
66,7,1,21842,578.3248589,0.212459542,0.14457037,0.067889171,44094039891,-41.3539119,21853.07193,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
67,6,1,35975,792.9405504,0.370655676,0.311820024,0.058835652,4.56527E+11,47.34627966,35955.04811,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
68,6,1,52161.5,909.7412298,0.565757548,0.200839846,0.364917703,1.30411E+12,30.45774812,52128.66533,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
69,5,1,40996.5,850.0548104,0.665089792,0.277411336,0.387678456,7.27451E+11,-60.28049357,40953.87881,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
