,mean_Node_degree,sd_Node_degree,mean_Edge_angle,sd_Edge_angle,mean_Edge_length,sd_Edge_length,mean_Face_area,sd_Face_area,mean_Face_node_count,sd_Face_node_count,ens_location,sample_id
1,2.858913251,0.544727326,84.56902742,48.5509565,0.024706028,0.013952744,0.00146653,0.001241394,5.997792494,1.92454216,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,2.598639456,0.824786099,71.67423312,54.60328876,0.031899152,0.019035352,0.002190633,0.001456082,5.822222222,1.849924923,distal,dist-sub-CYM1-4-sam-1-4-1
3,2.911174785,0.449285571,77.52172377,52.51998786,0.031729606,0.01974444,0.002042453,0.001503008,5.70625,1.367166077,distal,dist-sub-DYF6-5-sam-6-5-1-103
4,2.837772397,0.502737049,88.58777704,49.58681831,0.023876238,0.013730866,0.001233236,0.000920788,5.988505747,1.914316328,distal,dist-sub-DYF6-5-sam-6-5-1-104
5,2.285714286,0.9258201,105.0787694,49.64055816,0.028379518,0.014848786,0.001421259,0.00094449,8.333333333,8.755950358,distal,dist-sub-DYM13-6-sam-13-6-2
6,2.876080692,0.588108238,80.67822161,52.18664718,0.024121972,0.015173216,0.001217682,0.001108434,5.699346405,1.589790483,distal,dist-sub-DYM3-6-sam-3-6-7-001
7,2.690265487,0.780105831,79.47297542,54.14629591,0.029572387,0.019459005,0.001781941,0.001648475,5.925,2.634947574,distal,dist-sub-DYM3-6-sam-3-6-7-002
8,2.788059701,0.615096206,85.27723024,54.33534791,0.024674497,0.014444757,0.00156926,0.00138243,6.110831234,2.055494869,distal,dist-sub-DYM34-8-sam-34-8-5-cropped
9,2.894067797,0.453117041,92.9128863,51.03114546,0.025228483,0.016933624,0.001407989,0.002006957,5.858490566,2.025611741,distal,dist-sub-DYM8-6-sam-6-8-3
10,2.808988764,0.572747064,88.07987579,48.86533339,0.026176592,0.013749744,0.001472119,0.001071326,5.935779817,1.882055758,distal,dist-sub-DYM8-6-sam-6-8-4
11,2.785340314,0.624916638,92.20768499,56.69648572,0.026592936,0.017638329,0.001432499,0.001321152,5.684210526,1.593407471,distal,dist-sub-DYM8-6-sam-A8-6-4
12,2.843462247,0.546983504,90.02085014,47.31666448,0.027763871,0.014926546,0.001895188,0.001823789,6.005797101,2.247390621,middle,mid-sub-COQF2-1-sam-2-1-2-cropped
13,2.661971831,0.752181923,84.14055381,54.48787986,0.024965872,0.013911431,0.001479008,0.001027024,5.770833333,1.258834032,middle,mid-sub-CYM1-4-sam-1-4-2
14,2.844262295,0.524872008,96.93166818,50.91210379,0.029342335,0.016573544,0.001860373,0.00129935,5.946859903,1.527126019,middle,mid-sub-DYM13-8-sam-13-8-1
15,2.894736842,0.484996376,86.83939194,50.16625079,0.028817342,0.019933525,0.001729356,0.00171599,5.83974359,1.836886548,middle,mid-sub-DYM8-6-sam-6-8-8
16,2.632352941,0.777544316,98.61618081,48.23507694,0.026619138,0.01604006,0.00158471,0.001331831,5.863636364,1.924032938,middle,mid-sub-KM1-2-sam-1-2-1
17,2.8,0.617914381,94.12355613,51.56004268,0.044283026,0.027141068,0.004257959,0.003799381,5.761904762,2.387563785,middle,mid-sub-KM139-2-sam-139-2-1
18,2.909336942,0.461125016,87.01964531,54.24523895,0.026080877,0.01524059,0.001573861,0.001459948,5.84272997,1.742897738,middle,mid-sub-WT1-sam-1-1
19,2.301886792,0.972405931,80.12767187,52.79068223,0.022636181,0.012002665,0.000890182,0.000620909,5.363636364,1.963299634,middle,mid-sub-WT2-sam-2-3
