"","Sinkhorn_distance","Category"
"1",0.142406063347601,"Vag vs. Vag"
"2",0.197001884047039,"Vag vs. Vag"
"3",0.119539588870669,"Vag vs. Vag"
"4",0.192840036734392,"Vag vs. Vag"
"5",0.136208239938764,"Vag vs. Vag"
"6",0.0346087730811751,"Vag vs. Vag"
"7",0.209022855250182,"Vag vs. Vag"
"8",0.140398082128124,"Vag vs. Vag"
"9",0.0580820240299272,"Vag vs. Vag"
"10",0.046188726,"Vag vs. Vag"
"11",0.206537908229214,"Vag vs. Vag"
"12",0.0370081847393706,"Vag vs. Vag"
"13",0.123836070543889,"Vag vs. Vag"
"14",0.15134788,"Vag vs. Vag"
"15",0.095483899,"Vag vs. Vag"
"16",0.178962350139998,"Vag vs. Vag"
"17",0.0782354778445849,"Vag vs. Vag"
"18",0.0546906402824803,"Vag vs. Vag"
"19",0.090762894,"Vag vs. Vag"
"20",0.061208403,"Vag vs. Vag"
"21",0.080847097,"Vag vs. Vag"
"22",0.120524112308466,"Vag vs. Vag"
"23",0.0568413747690081,"Vag vs. Vag"
"24",0.146252729512131,"Vag vs. Vag"
"25",0.165941803,"Vag vs. Vag"
"26",0.119147163,"Vag vs. Vag"
"27",0.025495519,"Vag vs. Vag"
"28",0.094727583,"Vag vs. Vag"
"29",0.274311264924054,"Vag vs. Vag"
"30",0.0822711110596591,"Vag vs. Vag"
"31",0.0976817465184736,"Vag vs. Vag"
"32",0.12228495,"Vag vs. Vag"
"33",0.053249172,"Vag vs. Vag"
"34",0.110087372,"Vag vs. Vag"
"35",0.045011351,"Vag vs. Vag"
"36",0.134101537,"Vag vs. Vag"
"37",0.199256233669215,"Vag vs. Vag"
"38",0.0656645194791777,"Vag vs. Vag"
"39",0.116252423229433,"Vag vs. Vag"
"40",0.140162034,"Vag vs. Vag"
"41",0.077521405,"Vag vs. Vag"
"42",0.064007097,"Vag vs. Vag"
"43",0.052580289,"Vag vs. Vag"
"44",0.084464464,"Vag vs. Vag"
"45",0.055685652,"Vag vs. Vag"
"46",0.118695733801097,"Vag vs. Vag"
"47",0.121598266731709,"Vag vs. Vag"
"48",0.178190189804505,"Vag vs. Vag"
"49",0.185657165,"Vag vs. Vag"
"50",0.145107313,"Vag vs. Vag"
"51",0.097118974,"Vag vs. Vag"
"52",0.139422765,"Vag vs. Vag"
"53",0.093960911,"Vag vs. Vag"
"54",0.229353386,"Vag vs. Vag"
"55",0.181089347,"Vag vs. Vag"
"56",0.168079010896759,"Vag vs. Vag"
"57",0.0479351678075831,"Vag vs. Vag"
"58",0.0972570762120295,"Vag vs. Vag"
"59",0.123923919,"Vag vs. Vag"
"60",0.057070803,"Vag vs. Vag"
"61",0.058252531,"Vag vs. Vag"
"62",0.047482901,"Vag vs. Vag"
"63",0.066907132,"Vag vs. Vag"
"64",0.039565545,"Vag vs. Vag"
"65",0.052602036,"Vag vs. Vag"
"66",0.121782401,"Vag vs. Vag"
"67",0.181322095297175,"Vag vs. Vag"
"68",0.0769445734273873,"Vag vs. Vag"
"69",0.125356472008232,"Vag vs. Vag"
"70",0.160339304,"Vag vs. Vag"
"71",0.107181879,"Vag vs. Vag"
"72",0.071159175,"Vag vs. Vag"
"73",0.073144225,"Vag vs. Vag"
"74",0.084594301,"Vag vs. Vag"
"75",0.154257041,"Vag vs. Vag"
"76",0.100347003,"Vag vs. Vag"
"77",0.098113943,"Vag vs. Vag"
"78",0.092953611,"Vag vs. Vag"
"79",0.16071687340972,"Vag vs. Vag"
"80",0.0452142364628993,"Vag vs. Vag"
"81",0.124727002723378,"Vag vs. Vag"
"82",0.141703316,"Vag vs. Vag"
"83",0.081402566,"Vag vs. Vag"
