"","Sinkhorn_distance","Category"
"1",0.105662963,"Pelvic vs. Abd Vagus"
"2",0.115438796,"Pelvic vs. Abd Vagus"
"3",0.124882778,"Pelvic vs. Abd Vagus"
"4",0.093123157,"Pelvic vs. Abd Vagus"
"5",0.038580603,"Pelvic vs. Abd Vagus"
"6",0.079473013,"Pelvic vs. Abd Vagus"
"7",0.079374459,"Pelvic vs. Abd Vagus"
"8",0.060428754,"Pelvic vs. Abd Vagus"
"9",0.033457579,"Pelvic vs. Abd Vagus"
"10",0.090827405,"Pelvic vs. Abd Vagus"
"11",0.042889534,"Pelvic vs. Abd Vagus"
"12",0.033066335,"Pelvic vs. Abd Vagus"
"13",0.138349439,"Pelvic vs. Abd Vagus"
"14",0.162882577,"Pelvic vs. Abd Vagus"
"15",0.133098754,"Pelvic vs. Abd Vagus"
"16",0.092606419,"Pelvic vs. Abd Vagus"
"17",0.124695778,"Pelvic vs. Abd Vagus"
"18",0.056571266,"Pelvic vs. Abd Vagus"
"19",0.07430647,"Pelvic vs. Abd Vagus"
"20",0.090750145,"Pelvic vs. Abd Vagus"
"21",0.13268196,"Pelvic vs. Abd Vagus"
"22",0.056812007,"Pelvic vs. Abd Vagus"
"23",0.127939876,"Pelvic vs. Abd Vagus"
"24",0.095744817,"Pelvic vs. Abd Vagus"
"25",0.135913254,"Pelvic vs. Abd Vagus"
"26",0.085838658,"Pelvic vs. Abd Vagus"
"27",0.046298599,"Pelvic vs. Abd Vagus"
"28",0.069138836,"Pelvic vs. Abd Vagus"
"29",0.064380489,"Pelvic vs. Abd Vagus"
"30",0.061166479,"Pelvic vs. Abd Vagus"
"31",0.036785474,"Pelvic vs. Abd Vagus"
"32",0.08798809,"Pelvic vs. Abd Vagus"
"33",0.05404262,"Pelvic vs. Abd Vagus"
"34",0.08414229,"Pelvic vs. Abd Vagus"
"35",0.230940906,"Pelvic vs. Abd Vagus"
"36",0.261693056,"Pelvic vs. Abd Vagus"
"37",0.239588171,"Pelvic vs. Abd Vagus"
"38",0.200831395,"Pelvic vs. Abd Vagus"
"39",0.231652064,"Pelvic vs. Abd Vagus"
"40",0.172249172,"Pelvic vs. Abd Vagus"
"41",0.163317752,"Pelvic vs. Abd Vagus"
"42",0.163531303,"Pelvic vs. Abd Vagus"
"43",0.233329802,"Pelvic vs. Abd Vagus"
"44",0.108024197,"Pelvic vs. Abd Vagus"
"45",0.061009244,"Pelvic vs. Abd Vagus"
"46",0.185283345,"Pelvic vs. Abd Vagus"
"47",0.196462936,"Pelvic vs. Abd Vagus"
"48",0.172602174,"Pelvic vs. Abd Vagus"
"49",0.109988765,"Pelvic vs. Abd Vagus"
"50",0.144989042,"Pelvic vs. Abd Vagus"
"51",0.097796707,"Pelvic vs. Abd Vagus"
"52",0.095402936,"Pelvic vs. Abd Vagus"
"53",0.093504667,"Pelvic vs. Abd Vagus"
"54",0.178110138,"Pelvic vs. Abd Vagus"
"55",0.071484084,"Pelvic vs. Abd Vagus"
"56",0.225521267,"Pelvic vs. Abd Vagus"
"57",0.091605179,"Pelvic vs. Abd Vagus"
"58",0.082072648,"Pelvic vs. Abd Vagus"
"59",0.075393252,"Pelvic vs. Abd Vagus"
"60",0.061774648,"Pelvic vs. Abd Vagus"
"61",0.069601376,"Pelvic vs. Abd Vagus"
"62",0.095288367,"Pelvic vs. Abd Vagus"
"63",0.145034118,"Pelvic vs. Abd Vagus"
