"","Sinkhorn_distance","Category"
"1",0.080847097,"Abd vs. Abd"
"2",0.025495519,"Abd vs. Abd"
"3",0.094727583,"Abd vs. Abd"
"4",0.110087372,"Abd vs. Abd"
"5",0.045011351,"Abd vs. Abd"
"6",0.134101537,"Abd vs. Abd"
"7",0.064007097,"Abd vs. Abd"
"8",0.052580289,"Abd vs. Abd"
"9",0.084464464,"Abd vs. Abd"
"10",0.055685652,"Abd vs. Abd"
"11",0.097118974,"Abd vs. Abd"
"12",0.139422765,"Abd vs. Abd"
"13",0.093960911,"Abd vs. Abd"
"14",0.229353386,"Abd vs. Abd"
"15",0.181089347,"Abd vs. Abd"
"16",0.042943358,"Abd vs. Abd"
"17",0.034617817,"Abd vs. Abd"
"18",0.033083388,"Abd vs. Abd"
"19",0.111838373,"Abd vs. Abd"
"20",0.082847801,"Abd vs. Abd"
"21",0.11422211,"Abd vs. Abd"
"22",0.071555644,"Abd vs. Abd"
"23",0.041824865,"Abd vs. Abd"
"24",0.08742036,"Abd vs. Abd"
"25",0.096344467,"Abd vs. Abd"
"26",0.049770886,"Abd vs. Abd"
"27",0.170740189,"Abd vs. Abd"
"28",0.065292365,"Abd vs. Abd"
"29",0.041230245,"Abd vs. Abd"
"30",0.10412094,"Abd vs. Abd"
"31",0.050032376,"Abd vs. Abd"
"32",0.215261324,"Abd vs. Abd"
"33",0.134829707,"Abd vs. Abd"
"34",0.070379387,"Abd vs. Abd"
"35",0.063550501,"Abd vs. Abd"
"36",0.171768852,"Abd vs. Abd"
"37",0.047883807,"Abd vs. Abd"
"38",0.02407967,"Abd vs. Abd"
"39",0.053107901,"Abd vs. Abd"
"40",0.057761427,"Abd vs. Abd"
"41",0.041787451,"Abd vs. Abd"
"42",0.11966307,"Abd vs. Abd"
"43",0.048930262,"Abd vs. Abd"
"44",0.030454907,"Abd vs. Abd"
"45",0.111626326,"Abd vs. Abd"
"46",0.042135951,"Abd vs. Abd"
"47",0.103833998,"Abd vs. Abd"
"48",0.051258322,"Abd vs. Abd"
"49",0.206784885,"Abd vs. Abd"
"50",0.126368812,"Abd vs. Abd"
"51",0.138156027,"Abd vs. Abd"
"52",0.058465633,"Abd vs. Abd"
"53",0.133938421,"Abd vs. Abd"
"54",0.056685047,"Abd vs. Abd"
"55",0.11530169,"Abd vs. Abd"
"56",0.142406063347601,"Cerv vs. Cerv"
"57",0.197001884047039,"Cerv vs. Cerv"
"58",0.119539588870669,"Cerv vs. Cerv"
"59",0.192840036734392,"Cerv vs. Cerv"
"60",0.136208239938764,"Cerv vs. Cerv"
"61",0.0346087730811751,"Cerv vs. Cerv"
"62",0.209022855250182,"Cerv vs. Cerv"
"63",0.140398082128124,"Cerv vs. Cerv"
"64",0.0580820240299272,"Cerv vs. Cerv"
"65",0.046188726,"Cerv vs. Cerv"
"66",0.168079010896759,"Cerv vs. Cerv"
"67",0.0479351678075831,"Cerv vs. Cerv"
"68",0.0972570762120295,"Cerv vs. Cerv"
"69",0.123923919,"Cerv vs. Cerv"
"70",0.057070803,"Cerv vs. Cerv"
"71",0.181322095297175,"Cerv vs. Cerv"
"72",0.0769445734273873,"Cerv vs. Cerv"
"73",0.125356472008232,"Cerv vs. Cerv"
"74",0.160339304,"Cerv vs. Cerv"
"75",0.107181879,"Cerv vs. Cerv"
"76",0.092953611,"Cerv vs. Cerv"
"77",0.206537908229214,"Abd vs. Cerv"
"78",0.178962350139998,"Abd vs. Cerv"
"79",0.120524112308466,"Abd vs. Cerv"
"80",0.274311264924054,"Abd vs. Cerv"
"81",0.199256233669215,"Abd vs. Cerv"
"82",0.118695733801097,"Abd vs. Cerv"
"83",0.16071687340972,"Abd vs. Cerv"
"84",0.236739147449115,"Abd vs. Cerv"
"85",0.161005237648112,"Abd vs. Cerv"
"86",0.178669072575332,"Abd vs. Cerv"
"87",0.174258548782353,"Abd vs. Cerv"
"88",0.0370081847393706,"Abd vs. Cerv"
"89",0.0782354778445849,"Abd vs. Cerv"
"90",0.0568413747690081,"Abd vs. Cerv"
"91",0.0822711110596591,"Abd vs. Cerv"
"92",0.0656645194791777,"Abd vs. Cerv"
"93",0.121598266731709,"Abd vs. Cerv"
"94",0.0452142364628993,"Abd vs. Cerv"
"95",0.0350850599118494,"Abd vs. Cerv"
"96",0.0760827356425568,"Abd vs. Cerv"
