"","Sinkhorn_distance","Category"
"1",0.0992379191886112,"Abd vs. Abd"
"2",0.0783315412637171,"Abd vs. Abd"
"3",0.0983747233580776,"Abd vs. Abd"
"4",0.102523142519516,"Abd vs. Abd"
"5",0.0943840067606461,"Abd vs. Abd"
"6",0.103661362960118,"Abd vs. Abd"
"7",0.13548537754155,"Abd vs. Abd"
"8",0.111586089447285,"Abd vs. Abd"
"9",0.140198341234948,"Abd vs. Abd"
"10",0.119162538670188,"Abd vs. Abd"
"11",0.0812301835618491,"Abd vs. Abd"
"12",0.117922834934198,"Abd vs. Abd"
"13",0.0766397406949009,"Abd vs. Abd"
"14",0.122531183850035,"Abd vs. Abd"
"15",0.164709856512757,"Abd vs. Abd"
"16",0.0780335931485119,"Abd vs. Abd"
"17",0.0953862464909631,"Abd vs. Abd"
"18",0.0754124708892253,"Abd vs. Abd"
"19",0.104618754109227,"Abd vs. Abd"
"20",0.132038664313856,"Abd vs. Abd"
"21",0.0807065764916803,"Abd vs. Abd"
"22",0.0857958666719279,"Abd vs. Abd"
"23",0.0960334688462709,"Abd vs. Abd"
"24",0.0856471808331892,"Abd vs. Abd"
"25",0.0945738062389199,"Abd vs. Abd"
"26",0.132236194595105,"Abd vs. Abd"
"27",0.0943107236429673,"Abd vs. Abd"
"28",0.0867295164529287,"Abd vs. Abd"
"29",0.0791958624225177,"Abd vs. Abd"
"30",0.114160558327973,"Abd vs. Abd"
"31",0.075714764651733,"Abd vs. Abd"
"32",0.116671143679771,"Abd vs. Abd"
"33",0.160742858553036,"Abd vs. Abd"
"34",0.0617116316567375,"Abd vs. Abd"
"35",0.0792576658384727,"Abd vs. Abd"
"36",0.0898537114686174,"Abd vs. Abd"
"37",0.0932852546000678,"Abd vs. Abd"
"38",0.0933370436947493,"Abd vs. Abd"
"39",0.0949154439728587,"Abd vs. Abd"
"40",0.0899823112540424,"Abd vs. Abd"
"41",0.12167745301179,"Abd vs. Abd"
"42",0.109613553774124,"Abd vs. Abd"
"43",0.0952419044459801,"Abd vs. Abd"
"44",0.0889212922694898,"Abd vs. Abd"
"45",0.104449646030221,"Abd vs. Abd"
"46",0.0773308976588503,"Abd vs. Abd"
"47",0.111373729706536,"Abd vs. Abd"
"48",0.0750076058283751,"Abd vs. Abd"
"49",0.114353781775524,"Abd vs. Abd"
"50",0.156891328798412,"Abd vs. Abd"
"51",0.0635371703170677,"Abd vs. Abd"
"52",0.0780969169065551,"Abd vs. Abd"
"53",0.0889500392211089,"Abd vs. Abd"
"54",0.0639379133167942,"Abd vs. Abd"
"55",0.102413946717782,"Abd vs. Abd"
"56",0.0912334195389562,"Cerv vs. Cerv"
"57",0.254139031647463,"Cerv vs. Cerv"
"58",0.197728688968953,"Cerv vs. Cerv"
"59",0.276389349881355,"Cerv vs. Cerv"
"60",0.21813650028481,"Cerv vs. Cerv"
"61",0.114263457194685,"Cerv vs. Cerv"
